quarter,scenario,spec_id,prior_basis,horizon_q,revenue,nights,gbv,cor,ops,pd,sm,ga,other_net,adj_ebitda_musd,adj_ebitda_margin_pct,total_cash_costs_musd,flags,signal_x,cons_revenue_musd,cons_ebitda_musd,cons_margin_pct,ws31b_base_margin_pct,ws30_margin_pct,mgmt_3q26_ceiling_margin_pct
2026Q3,base,none_rw,PIT,0,4804.0355,146.813,26028.0,617.4248791049705,364.80540374915,374.74936368980354,730.0779121113239,271.81994531883157,32.51498424666773,2477.672980272588,51.57482662800032,2326.362519727412,,,4744.32212,2361.52179,49.775747309501824,51.30028661149946,50.8,50.085470085470085
2026Q4,base,none_rw,PIT,1,3178.1078,131.7983,22987.300000000003,543.8839154594368,318.28945042540175,377.0001106188714,781.7159268353145,273.9352756325968,21.510275070034734,904.7933960984136,28.46956280395566,2273.3144039015865,,,3161.81627,913.68388,28.897437484563262,24.652755022655093,29.7,
2027Q1,base,none_rw,PIT,2,3053.1293,169.0178,32599.600000000002,644.0082604379614,316.380655663393,422.0150492002292,858.2741537931149,239.03232545547058,20.66438749100411,594.0832429408351,19.458175025238372,2459.046057059165,,,3010.32375,610.73207,20.287919862440045,19.26264433404212,,
2027Q2,base,none_rw,PIT,3,4028.9807,157.1001,29647.9,688.1674688605063,334.0450646878938,420.8896757356953,987.7779777968275,240.0899906123532,27.269208146073925,1385.2797304527978,34.38288325513195,2643.7009695472025,,,4036.93556,1451.71427,35.96079869057905,35.46452805333932,,
2027Q3,base,none_rw,PIT,4,5280.7325,155.958,28390.8,671.6252746940066,378.08248326947916,421.7329897474854,886.6546449203443,287.49448510946536,35.74139575953723,2670.8840180187563,50.577907856888345,2609.848481981244,,,5269.96729,2695.55277,51.14932639363688,51.880223594286015,,
2027Q4,base,none_rw,PIT,5,3465.7641,139.7655,24834.2,587.0414290476064,329.43693355398943,424.2659206168397,946.2095223182937,289.7317962776324,23.457209072282367,912.5357072579205,26.330000569222832,2553.2283927420794,,,3528.91936,1068.39608,30.27544613544244,26.271689742408,,
2026Q3,base,none_rw,full_sample,0,4804.0355,146.813,26028.0,617.4248791049705,364.80540374915,374.74936368980354,730.0779121113239,271.81994531883157,32.51498424666773,2477.672980272588,51.57482662800032,2326.362519727412,,,4744.32212,2361.52179,49.775747309501824,51.30028661149946,50.8,50.085470085470085
2026Q4,base,none_rw,full_sample,1,3178.1078,131.7983,22987.300000000003,543.8839154594368,318.28945042540175,377.0001106188714,781.7159268353145,273.9352756325968,21.510275070034734,904.7933960984136,28.46956280395566,2273.3144039015865,,,3161.81627,913.68388,28.897437484563262,24.652755022655093,29.7,
2027Q1,base,none_rw,full_sample,2,3053.1293,169.0178,32599.600000000002,644.0082604379614,316.380655663393,422.0150492002292,858.2741537931149,239.03232545547058,20.66438749100411,594.0832429408351,19.458175025238372,2459.046057059165,,,3010.32375,610.73207,20.287919862440045,19.26264433404212,,
2027Q2,base,none_rw,full_sample,3,4028.9807,157.1001,29647.9,688.1674688605063,334.0450646878938,420.8896757356953,987.7779777968275,240.0899906123532,27.269208146073925,1385.2797304527978,34.38288325513195,2643.7009695472025,,,4036.93556,1451.71427,35.96079869057905,35.46452805333932,,
