spec_id,line,window,horizon_q,n,n_signal_used,mape_aug,mape_none,iv_eq,iv_rw,margin_mae_aug,margin_mae_none,iv_margin_eq,iv_margin_rw,kind
best1_rw,cor,W1,0,14,2,0.04206950165142493,0.037604326028543834,1.118741009199095,1.052330494915634,2.430931166011469,2.2590052259941173,1.076106924428071,1.2330783071760352,best1
best1_rw,cor,W1,1,13,0,0.05673581834174952,0.046504274625102565,1.2200129729821452,1.0978084772616226,3.365089386033176,3.1537321431469625,1.0670181338467477,1.0342277693565303,best1
best1_rw,cor,W1,2,12,0,0.058151911478047276,0.047873815100816654,1.2146913997889275,1.0988981089202143,2.880884166452607,2.6734157389355553,1.0776042515555986,1.0360346575002668,best1
best1_rw,cor,W2,0,10,2,0.040328295690519766,0.04037434461528935,0.998859450841658,1.0032068790768935,2.1565473115545393,1.9104757081829469,1.1288012207209015,1.2902884984495715,best1
best1_rw,cor,W2,1,9,0,0.04511209607862274,0.04486498724466634,1.0055078324798983,1.007129444926823,2.674715689525458,2.5239241803644825,1.0597448648949508,1.0254136342207967,best1
best1_rw,cor,W2,2,8,0,0.051631616953101075,0.05215389718627954,0.9899857870388282,1.003985440173786,2.2776957231023243,2.278531238963254,0.9996333094553884,0.995372671688364,best1
best1_rw,ops,W1,0,14,2,0.059273161500871786,0.060656892326872984,0.9771875746857516,0.928731177040355,2.430931166011469,2.2590052259941173,1.076106924428071,1.2330783071760352,best1
best1_rw,ops,W1,1,13,0,0.07446182424872978,0.07446182424872978,1.0,1.0,3.365089386033176,3.1537321431469625,1.0670181338467477,1.0342277693565303,best1
best1_rw,ops,W1,2,12,0,0.0763962959632285,0.0763962959632285,1.0,1.0,2.880884166452607,2.6734157389355553,1.0776042515555986,1.0360346575002668,best1
best1_rw,ops,W2,0,10,2,0.05502564396670904,0.05823391768452738,0.9449071289484826,0.9113306719455919,2.1565473115545393,1.9104757081829469,1.1288012207209015,1.2902884984495715,best1
best1_rw,ops,W2,1,9,0,0.05796310184913959,0.05796310184913959,1.0,1.0,2.674715689525458,2.5239241803644825,1.0597448648949508,1.0254136342207967,best1
best1_rw,ops,W2,2,8,0,0.04658648455044492,0.04658648455044492,1.0,1.0,2.2776957231023243,2.278531238963254,0.9996333094553884,0.995372671688364,best1
best1_rw,pd,W1,0,14,2,0.03537447017328154,0.037724435616801506,0.9377070748681168,0.9055412936498486,2.430931166011469,2.2590052259941173,1.076106924428071,1.2330783071760352,best1
best1_rw,pd,W1,1,13,0,0.04448474622329891,0.04435308993456347,1.0029683679069414,1.0083814453866218,3.365089386033176,3.1537321431469625,1.0670181338467477,1.0342277693565303,best1
best1_rw,pd,W1,2,12,0,0.04730171804632154,0.04730171804632154,1.0,1.0,2.880884166452607,2.6734157389355553,1.0776042515555986,1.0360346575002668,best1
best1_rw,pd,W2,0,10,2,0.03263430126347407,0.03592425288440203,0.908419762228196,0.890128512087269,2.1565473115545393,1.9104757081829469,1.1288012207209015,1.2902884984495715,best1
best1_rw,pd,W2,1,9,0,0.04569037323511296,0.045500203040272864,1.0041795460708556,1.0096630202356498,2.674715689525458,2.5239241803644825,1.0597448648949508,1.0254136342207967,best1
best1_rw,pd,W2,2,8,0,0.05543862614931498,0.05543862614931498,1.0,1.0,2.2776957231023243,2.278531238963254,0.9996333094553884,0.995372671688364,best1
best1_rw,sm,W1,0,14,2,0.0721100349316762,0.07706784129674712,0.935669583036833,0.8990922171031622,2.430931166011469,2.2590052259941173,1.076106924428071,1.2330783071760352,best1
best1_rw,sm,W1,1,13,0,0.08798465900412125,0.08798465900412125,1.0,1.0,3.365089386033176,3.1537321431469625,1.0670181338467477,1.0342277693565303,best1
