method,object,target,quarter,vintage_date,horizon_q,point,window,prior_basis,spec_id,n_params,n_train,knowable_from,actual,target_print_date,notes,q05,q10,q25,q50,q75,q90,q95,sd,sigma_n,sigma_kind
alt-augmented,lines_aug,cor_cash_musd,2023Q1,2023-02-14,0,436.67482351381426,W1,PIT,none_rw,10.0,12.0,2023-02-14,428.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,386.1923441314623,397.34250881725865,415.9739451195534,436.67482351381426,457.3757019080752,476.0071382103699,487.15730289616624,30.691168232345905,4.0,relative
alt-augmented,lines_aug,ops_cash_musd,2023Q1,2023-02-14,0,262.5443504107612,W1,PIT,none_rw,10.0,12.0,2023-02-14,267.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,232.60436594816585,239.21726930656996,250.26714087055552,262.5443504107612,274.82155995096684,285.8714315149524,292.4843348733565,18.202218101367055,4.0,relative
alt-augmented,lines_aug,pd_cash_musd,2023Q1,2023-02-14,0,264.51092501040284,W1,PIT,none_rw,10.0,12.0,2023-02-14,271.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,240.54119237365035,245.83543444821316,254.68188082463286,264.51092501040284,274.33996919617283,283.1864155725925,288.48065764715534,14.572562715612186,4.0,relative
alt-augmented,lines_aug,sm_cash_musd,2023Q1,2023-02-14,0,383.5456863869481,W1,PIT,none_rw,10.0,12.0,2023-02-14,422.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,275.46434851405513,299.33648656053253,339.2257825436764,383.5456863869481,427.8655902302197,467.75488621336365,491.62702425984105,65.70878776198951,4.0,relative
alt-augmented,lines_aug,ga_cash_ex_reserves_musd,2023Q1,2023-02-14,0,196.39412220661967,W1,PIT,none_rw,10.0,12.0,2023-02-14,191.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,174.82380099152695,179.5880803378756,187.54898223207874,196.39412220661967,205.2392621811606,213.20016407536374,217.9644434217124,13.113824149246994,4.0,relative
alt-augmented,margin_aug,adj_ebitda_margin_pct,2023Q1,2023-02-14,0,17.309647990999867,W1,PIT,none_rw,10.0,12.0,2023-02-14,14.411441144114413,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,9.606189637987452,11.30766766238674,14.150762838526322,17.309647990999867,20.46853314347341,23.311628319612993,25.013106344012282,4.683370135061684,4.0,additive
alt-augmented,margin_aug,adj_ebitda_musd,2023Q1,2023-02-14,0,319.3884054608909,W1,PIT,none_rw,10.0,12.0,2023-02-14,262.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,127.47909711229397,169.86648416230852,240.69394941482304,319.3884054608909,398.0828615069588,468.91032675947326,511.2977138094878,116.67257511799183,4.0,relative
alt-augmented,margin_aug,total_cash_costs_musd,2023Q1,2023-02-14,0,1525.758333669544,W1,PIT,none_rw,10.0,12.0,2023-02-14,1556.0,2023-05-09,rev_leg=guide_cushion;scenario=backtest;,1380.6248691457963,1412.6807834087099,1466.2448106254644,1525.758333669544,1585.2718567136237,1638.8358839303783,1670.8917981932916,88.2348812962368,4.0,relative
alt-augmented,lines_aug,cor_cash_musd,2023Q2,2023-02-14,1,473.52722201986654,W1,PIT,none_rw,10.0,12.0,2023-02-14,432.0,2023-08-03,rev_leg=naive;scenario=backtest;,449.64889705763653,454.9229497390289,463.7356605246803,473.52722201986654,483.31878351505276,492.13149430070416,497.40554698209655,14.516990795397062,3.0,relative
alt-augmented,lines_aug,ops_cash_musd,2023Q2,2023-02-14,1,287.67637066957997,W1,PIT,none_rw,10.0,12.0,2023-02-14,298.0,2023-08-03,rev_leg=naive;scenario=backtest;,258.7762762265613,265.15949702746707,275.82557910848385,287.67637066957997,299.527162230676,310.19324431169287,316.5764651125986,17.570009859528547,3.0,relative
