quarter,revenue,nights,gbv,cor,ops,pd,sm,ga,other_net,sum_lines,adj_ebitda_musd,adj_ebitda_margin_pct,total_cash_costs_musd,vintage_date,horizon_q,spec_id,prior_basis,rev_leg,scenario,n_train,knowable_from,flags,signal_x
2022Q1,1581.7529973227795,102.09197145944222,19693.31562689441,338.5166473732608,193.80832000321357,222.50918944824977,321.574165635475,130.82169642049948,45.82480319979943,1207.2300188806987,420.3477816418802,26.57480544391864,1161.4052156808993,2022-02-15,0,none_rw,PIT,naive,backtest,8,2022-02-15,added_2021_obs,
2022Q2,2380.6541729717146,131.70784775729456,25614.820761831434,391.56510158797704,215.92189093457372,208.891601896376,460.78986746904144,155.80431241011476,68.96968689034075,1432.9727742980829,1016.6510855639725,42.70469424355369,1364.003087407742,2022-02-15,1,none_rw,PIT,naive,backtest,8,2022-02-15,added_2021_obs,
2022Q3,3989.156093586311,126.3132316605202,22746.43709000327,414.3691328705921,241.84391081253528,216.20659175309248,422.623026808572,152.53528085747288,115.56943039227885,1447.5779431022647,2657.147580876325,66.60926568274517,1332.008512709986,2022-02-15,2,none_rw,PIT,naive,backtest,8,2022-02-15,added_2021_obs,
2022Q1,1581.7529973227795,102.09197145944222,19693.31562689441,436.1409475431557,244.88455489059103,246.8461679516626,302.208975327979,148.81877589916812,45.82480319979943,1378.8994216125564,248.67837891002256,15.721694811448247,1333.074618412757,2022-02-15,0,none_rw,full_sample,naive,backtest,8,2022-02-15,,
2022Q2,2380.6541729717146,131.70784775729456,25614.820761831434,504.44533743788685,272.7927155314734,231.73915456375894,433.0837836605794,177.2382386646039,68.96968689034075,1619.2992298583024,830.324630003753,34.8780028376519,1550.3295429679615,2022-02-15,1,none_rw,full_sample,naive,backtest,8,2022-02-15,,
2022Q3,3989.156093586311,126.3132316605202,22746.43709000327,533.8137697111018,305.5343694669736,239.85422261651323,397.22008980847875,173.51948797300463,115.56943039227885,1649.941939576072,2454.7835844025176,61.53641338701366,1534.3725091837932,2022-02-15,2,none_rw,full_sample,naive,backtest,8,2022-02-15,,
2022Q2,2271.1555806087936,131.72370469766645,22372.733977491225,384.99471458847785,223.96170894813903,214.49939557797083,448.2801013375059,166.73118294970823,51.193686436890864,1438.467103401802,883.8821636438824,38.917728542707486,1387.2734169649111,2022-05-03,0,none_rw,PIT,naive,backtest,9,2022-05-03,added_2021_obs,
2022Q3,3805.6741826381062,126.3284391171504,19867.40374575227,407.41685317038235,250.84900567391782,222.0107597911814,411.1495697049486,163.2328876237278,85.7829786961235,1454.659075964158,2436.7980853700715,64.03065444979514,1368.8760972680348,2022-05-03,1,none_rw,PIT,naive,backtest,9,2022-05-03,added_2021_obs,
2022Q4,2606.2998872604285,116.33198780433773,18863.96057695837,386.34858187662365,246.7762253202093,251.5447647193688,499.2331755412234,154.9846315792517,58.748110577765395,1538.8873790366767,1126.160618801517,43.20917267833148,1480.1392684589114,2022-05-03,2,none_rw,PIT,naive,backtest,9,2022-05-03,added_2021_obs,
2022Q2,2271.1555806087936,131.72370469766645,22372.733977491225,452.088748177509,272.81780632716357,231.73915456375894,424.63349492496405,177.2382386646039,51.193686436890864,1558.5174426579995,763.831824387685,33.63185820070223,1507.3237562211086,2022-05-03,0,none_rw,full_sample,naive,backtest,9,2022-05-03,,
2022Q3,3805.6741826381062,126.3284391171504,19867.40374575227,478.4090187736637,305.56247175858243,239.85422261651323,389.46956998504567,173.51948797300463,85.7829786961235,1586.8147711068098,2304.6423902274196,60.55805829993133,1501.0317924106866,2022-05-03,1,none_rw,full_sample,naive,backtest,9,2022-05-03,,
2022Q4,2606.2998872604285,116.33198780433773,18863.96057695837,453.65194095037646,300.58589955016737,271.7619364564441,472.92766614839127,164.75144382244778,58.748110577765395,1663.678886927827,1001.3691109103668,38.42110095638074,1604.9307763500617,2022-05-03,2,none_rw,full_sample,naive,backtest,9,2022-05-03,,
2022Q3,2955.342560553633,83.36259752619083,12653.954511285874,365.6475160355425,244.42900183137368,225.88465257067188,311.8596954918143,167.64983483450726,48.275705832432685,1315.4707007639097,1688.1475656221562,57.121891321658175,1267.194994931477,2022-08-02,0,none_rw,PIT,guide_cushion,backtest,10,2022-08-02,added_2021_obs,
2022Q4,2414.4779026217225,91.57815362272886,14333.117366947214,366.31185445459107,245.91327883499915,255.93399994689358,444.47285103415476,159.17838778937067,39.44064776843997,1471.8103720600093,982.1081783301531,40.675798990073446,1432.3697242915694,2022-08-02,1,none_rw,PIT,naive,backtest,10,2022-08-02,added_2021_obs,
2023Q1,2378.229213483146,127.42753376629427,21823.900507119,449.59893146404295,254.75340318273658,259.7122923108843,443.2422734073,171.1242521992195,38.84852316095034,1578.4311525641833,838.6465840799129,35.263488452891146,1539.582629403233,2022-08-02,2,none_rw,PIT,naive,backtest,10,2022-08-02,added_2021_obs,
2022Q3,2955.342560553633,83.36259752619083,12653.954511285874,332.0157822586661,222.42284395873747,239.85422261651323,350.35997494485986,173.51948797300463,48.275705832432685,1318.1723117517813,1685.4459546342846,57.03047684321729,1269.8966059193485,2022-08-02,0,none_rw,full_sample,guide_cushion,backtest,10,2022-08-02,,
2022Q4,2414.4779026217225,91.57815362272886,14333.117366947214,363.1840435898356,250.3720684273376,271.7619364564441,458.03715276174336,164.75144382244778,39.44064776843997,1508.1066450578085,945.811905332354,39.172522734847114,1468.6659972893685,2022-08-02,1,none_rw,full_sample,naive,backtest,10,2022-08-02,,
2023Q1,2378.229213483146,127.42753376629427,21823.900507119,445.83248142251296,259.4263890807733,275.77389285750763,456.69604426230546,177.11554950640553,38.84852316095034,1614.844357129505,802.2333795145913,33.732382689036235,1575.9958339685545,2022-08-02,2,none_rw,full_sample,naive,backtest,10,2022-08-02,,
2022Q4,1898.302175162312,88.22847017157078,14234.162925786566,368.9694550170569,251.16234998059574,257.0524269162436,378.9788874796227,162.0386167976732,25.390370765816165,1418.2017361911921,505.4908097369361,26.628574541548673,1392.811365425376,2022-11-01,0,none_rw,PIT,guide_cushion,backtest,11,2022-11-01,added_2021_obs,
2023Q1,1945.4430040232455,127.73291856681966,22549.989310435936,458.26143766204785,261.08560584384236,260.8472303498025,390.495491792253,174.19913288473032,26.02089373452353,1544.888898532676,426.5749992250931,21.92688237809696,1518.8680047981525,2022-11-01,1,none_rw,PIT,naive,backtest,11,2022-11-01,added_2021_obs,
2023Q2,2712.532856504247,129.7225962843634,22285.716277123796,492.98043441785745,284.8576209795668,244.95163436850225,422.427637967825,193.31579705340855,36.280954550985754,1638.53312478716,1110.2806862680727,40.931511063756744,1602.2521702361742,2022-11-01,2,none_rw,PIT,naive,backtest,11,2022-11-01,added_2021_obs,
2022Q4,1898.302175162312,88.22847017157078,14234.162925786566,361.15236790730586,243.34495126388927,271.7619364564441,414.1781438563651,164.75144382244778,25.390370765816165,1455.188843306452,468.50370262167615,24.680143591028507,1429.7984725406359,2022-11-01,0,none_rw,full_sample,guide_cushion,backtest,11,2022-11-01,,
