quarter,share,n,last
2019Q1,56.590983111185416,3,2019-01-20
2019Q2,59.2968253968254,3,2019-04-21
2019Q3,61.72280878163232,3,2019-07-21
2019Q4,61.09145412550985,3,2019-10-20
2020Q1,60.2461902666221,3,2020-01-19
2020Q2,63.33906608296852,3,2020-04-19
2020Q3,71.30290118098846,3,2020-07-19
2020Q4,67.91005228230864,3,2020-10-18
2021Q1,69.1951951951952,3,2021-01-17
2021Q2,65.73784059078177,3,2021-04-18
2021Q3,64.57255481645726,3,2021-07-18
2021Q4,63.172905525846694,3,2021-10-17
2022Q1,67.06752476873156,3,2022-01-16
2022Q2,67.20218579234972,3,2022-04-17
2022Q3,69.03865779374068,3,2022-07-17
2022Q4,67.33793120412365,3,2022-10-16
2023Q1,66.47389500620348,4,2023-01-22
2023Q2,66.95735465600534,3,2023-04-16
2023Q3,68.99603338052462,3,2023-07-16
2023Q4,69.3386957426987,4,2023-10-22
2024Q1,68.27583035013375,3,2024-01-21
2024Q2,70.34898255087245,3,2024-04-21
2024Q3,70.86929490224246,3,2024-07-21
2024Q4,69.92578597224333,3,2024-10-20
2025Q1,69.21400056030257,3,2025-01-19
2025Q2,69.82094243776487,3,2025-04-20
2025Q3,66.92316197734154,3,2025-07-20
2025Q4,61.65636262506606,3,2025-10-19
2026Q1,63.007148097456934,3,2026-01-18
2026Q2,60.95923556648402,3,2026-04-19
2026Q3,65.00213843447158,3,2026-07-19
