metric,quarter,adjustment,pts
nights_yoy_pct,3Q26,"v3: replace pattern with the team baseline 9.89% (146.8mm); team baseline (PR #32 base, nights_baseline_reconciliation.csv); band = reviews stays index 8.5 to 11.0 (q3nowcast E)",0.39833333333333343
nights_yoy_pct,4Q26,"v3: replace pattern with the team baseline 8.12% (131.8mm); ADR v3 N memo case B (WS-D global lap, 45% ex-NA split), adopted baseline; lo = case B range 8.0; hi = case A 8.9 (PR #32 NA-only lap)",-2.498333333333335
nights_yoy_pct,3Q26,"RETIRED in v3 (comparison only; v1/v2 applied -1.5): RNPL US lap, half assumed to lap in Q3 -- unfitted, and the baseline already carries the lap",0.0
nights_yoy_pct,4Q26,"RETIRED in v3 (comparison only; v1/v2 applied -2.5): RNPL US lap, fuller -- unfitted; the case B global lap in the baseline replaces it",0.0
nights_yoy_pct,3Q26,RETIRED in v3 (comparison only; v1/v2 applied +0.5): World Cup residual -- WS10 says no lift to 3Q26 booked nights,0.0
nights_yoy_pct,3Q26,"Middle East cancellation drag (was -1 in 1Q26, not cited in 2Q26): assumed faded",0.0
fx_pts_adr,3Q26,"replace pattern with the ADR v3 midpoint FX estimator (mean of EUR fit and regional baskets; FX through 2026-09-04, flat spot after)",-5.796666666666667
fx_pts_adr,4Q26,"replace pattern with the ADR v3 midpoint FX estimator (mean of EUR fit and regional baskets; FX through 2026-09-04, flat spot after)",-4.916666666666666
adr_yoy_exfx_pct,3Q26,"v3: replace pattern with the ADR v3 card ex-FX (v3_with_K, midpoint FX) +3.86, central +2.46 to +5.27; v3_without_K +3.69",0.3599999999999999
adr_yoy_exfx_pct,4Q26,"v3: replace pattern with the ADR v3 card ex-FX (v3_with_K, midpoint FX) +4.07, central +2.62 to +5.51; v3_without_K +3.69",0.2366666666666668
adr_yoy_exfx_pct,3Q26,RETIRED in v3 (comparison only; v1/v2 applied -0.49): seats/hotel dilution -- already inside the card ex-FX as new_business_seats -0.48,0.0
adr_yoy_exfx_pct,4Q26,RETIRED in v3 (comparison only; v1/v2 applied -0.49): seats/hotel dilution -- already inside the card ex-FX as new_business_seats -0.48,0.0
fx_pts_revenue,3Q26,management: ~3 pts FX in the Q3 revenue guide (after hedging); fx_lag_v2 kernel gives +2.9 on the same basis,-3.0
fx_pts_revenue,4Q26,"fx_lag_v2 kernel output: Phi (0, 2/3, 1/3) x 0.851 on the revenue-weighted basket, spot held from 2026-09-04; CS +0.3 to +2.2; replaces v1 assumed 2.0 (range 1-3)",-5.02
