object,unit,v1,v2,delta
fx_pts_adr q3_adjusted,pct or pts,1.1237308725051616,-0.4299999999999997,-1.5537308725051613
fx_pts_adr q4_adjusted,pct or pts,2.0953670576073185,0.15000000000000036,-1.945367057607318
adr_yoy_reported_pct q3_adjusted,pct or pts,4.137357561693889,3.43,-0.7073575616938892
adr_yoy_reported_pct q4_adjusted,pct or pts,5.442327080129379,4.220000000000001,-1.2223270801293786
gbv_yoy_reported_pct q3_adjusted,pct or pts,12.98035484130773,13.659227000000001,0.6788721586922719
gbv_yoy_reported_pct q4_adjusted,pct or pts,14.002486666917877,12.682664000000003,-1.319822666917874
fx_pts_revenue q3_adjusted,pct or pts,3.0,3.0,0.0
fx_pts_revenue q4_adjusted,pct or pts,2.0,0.9800000000000004,-1.0199999999999996
revenue_yoy_reported_pct q3_adjusted,pct or pts,12.833333333333332,12.833333333333332,0.0
revenue_yoy_reported_pct q4_adjusted,pct or pts,12.833333333333334,11.813333333333334,-1.0199999999999996
lagged_gbv_busd 3Q26,$bn / $m / pct,27.866666666666667,27.866666666666667,0.0
revenue_musd 3Q26,$bn / $m / pct,4804.035502546225,4804.035502546225,0.0
revenue_low 3Q26,$bn / $m / pct,4777.874425727413,4777.874425727413,0.0
revenue_high 3Q26,$bn / $m / pct,4846.232081911263,4846.232081911263,0.0
yoy_pct 3Q26,$bn / $m / pct,17.314664286843097,17.314664286843097,0.0
implied_guide_mid_if_cushion_holds 3Q26,$bn / $m / pct,,,
gbv_3q26_assumed_busd 3Q26,$bn / $m / pct,,,
lagged_gbv_busd 4Q26,$bn / $m / pct,26.31500083910631,26.418641988666664,0.10364114956035309
revenue_musd 4Q26,$bn / $m / pct,3165.6400328893906,3178.107848266214,12.467815376823637
revenue_low 4Q26,$bn / $m / pct,3143.626850689648,3156.007967550951,12.381116861302871
revenue_high 4Q26,$bn / $m / pct,3188.658082132751,3201.2165536755692,12.558471542818097
yoy_pct 4Q26,$bn / $m / pct,13.953924870028466,14.402730319158174,0.44880544912970777
implied_guide_mid_if_cushion_holds 4Q26,$bn / $m / pct,3047.400878792251,3059.4030114230018,12.002132630750566
gbv_3q26_assumed_busd 4Q26,$bn / $m / pct,25.87250125865947,26.027962983,0.15546172434052963
