period,kernel_musd,vendor,as_of_timestamp,register_id,consensus_musd,gap_pct,n_consensus,age_days,stale_over_30_days
2026Q4,3214.775750893802,S&P Global Market Intelligence via StockAnalysis,2026-09-10,CU-2026Q4-revenue-SPGlobal-20260910,3160.0,1.7334098384114593,1,2.0,False
2026Q4,3214.775750893802,Alpha Vantage (aggregated sell-side panel),2026-09-11,CU-2026Q4-revenue-AlphaVantage,3158.0,1.7978388503420595,1,1.0,False
2026Q4,3214.775750893802,Yahoo Finance,2026-09-11,CU-2026Q4-revenue-Yahoo-20260911,3160.0,1.7334098384114593,1,1.0,False
2026Q4,3214.775750893802,Zacks,2026-09-11,CU-2026Q4-revenue-Zacks-20260911,3200.0,0.46174221543131555,1,1.0,False
2027Q1,3121.4228476563517,unavailable,,,,,0,,
FY2026,14309.13868038772,S&P Global Market Intelligence,2026-09-03,CU-FY2026-revenue-S&P-8,14160.0,1.0532392682748526,1,9.0,False
FY2026,14309.13868038772,S&P Global Market Intelligence via StockAnalysis,2026-09-10,CU-FY2026-revenue-SPGlobal-20260910,14160.0,1.0532392682748526,1,2.0,False
FY2026,14309.13868038772,Alpha Vantage (aggregated sell-side panel),2026-09-11,CU-FY2026-revenue-AlphaVantage,14155.0,1.0889345135126849,1,1.0,False
FY2026,14309.13868038772,Yahoo Finance,2026-09-11,CU-FY2026-revenue-Yahoo-20260911,14160.0,1.0532392682748526,1,1.0,False
FY2026,14309.13868038772,Zacks,2026-09-11,CU-FY2026-revenue-Zacks-20260911,14100.0,1.4832530523951837,1,1.0,False
