case,p_ge5,p_lt0,mean,p_accel
base,0.23,0.522,-0.28,0.121
no Q4 seasonal uplift,0.132,0.681,-3.28,0.121
Q4 uplift at full n-4 spread (+7),0.422,0.304,3.72,0.121
cell means unshrunk,0.21,0.59,-1.52,0.121
cell means market-neutral (shrink 0),0.319,0.375,2.02,0.121
"4Q26 nights centred on the Street 9.9, no tail",0.31,0.432,1.34,0.528
4Q26 nights RNPL module 7.6,0.221,0.532,-0.46,0.07
P(1Q27 guide >= Street) 0.50,0.279,0.463,0.73,0.121
P(1Q27 guide >= Street) 0.15,0.195,0.566,-1.04,0.121
residual sd 8.5 (options Feb sd),0.251,0.519,-0.28,0.121
residual sd 6.5,0.207,0.526,-0.29,0.121
normal residual,0.256,0.518,-0.3,0.121
"joint bull: Street nights, guide>=Street 0.5, uplift 5",0.461,0.291,4.27,0.528
"joint bear: module nights, guide>=Street 0.15, no uplift",0.103,0.734,-4.23,0.07
