period,window,years_hit,years,rate
1851-2025,after 17 Sep,28,175,0.16
1851-2025,after 1 Oct,15,175,0.086
1851-2025,after 15 Oct,6,175,0.034
1851-2025,after 1 Nov,0,175,0.0
1851-2025,any month,57,175,0.326
1900-2025,after 17 Sep,22,126,0.175
1900-2025,after 1 Oct,10,126,0.079
1900-2025,after 15 Oct,6,126,0.048
1900-2025,after 1 Nov,0,126,0.0
1900-2025,any month,42,126,0.333
1950-2025,after 17 Sep,11,76,0.145
1950-2025,after 1 Oct,6,76,0.079
1950-2025,after 15 Oct,3,76,0.039
1950-2025,after 1 Nov,0,76,0.0
1950-2025,any month,21,76,0.276
1966-2025,after 17 Sep,8,60,0.133
1966-2025,after 1 Oct,4,60,0.067
1966-2025,after 15 Oct,1,60,0.017
1966-2025,after 1 Nov,0,60,0.0
1966-2025,any month,15,60,0.25
1991-2025,after 17 Sep,6,35,0.171
1991-2025,after 1 Oct,4,35,0.114
1991-2025,after 15 Oct,1,35,0.029
1991-2025,after 1 Nov,0,35,0.0
1991-2025,any month,11,35,0.314
2000-2025,after 17 Sep,5,26,0.192
2000-2025,after 1 Oct,3,26,0.115
2000-2025,after 15 Oct,1,26,0.038
2000-2025,after 1 Nov,0,26,0.0
2000-2025,any month,7,26,0.269
