year,date,storm,state,wind_kt,lat,lon
1851,18510823,UNNAMED,FL,100,30.1,-85.7
1871,18710817,UNNAMED,FL,100,27.1,-80.2
1873,18731007,UNNAMED,FL,100,26.5,-82.2
1875,18750916,UNNAMED,TX,100,27.7,-97.2
1877,18771003,UNNAMED,FL,100,30.0,-85.5
1879,18790818,UNNAMED,NC,100,34.5,-76.8
1880,18800813,UNNAMED,TX,130,25.8,-97.0
1882,18820910,UNNAMED,FL,110,30.4,-86.8
1886,18860820,UNNAMED,TX,130,28.1,-96.8
1888,18880816,UNNAMED,FL,110,25.8,-80.1
1893,18931013,UNNAMED,SC,105,33.0,-79.5
1894,18941009,UNNAMED,FL,105,30.2,-85.5
1896,18960929,UNNAMED,FL,110,29.2,-83.1
1898,18981002,UNNAMED,FL,115,30.9,-81.4
1899,18990818,UNNAMED,NC,105,35.2,-75.8
1900,19000909,UNNAMED,TX,120,29.1,-95.1
1906,19061018,UNNAMED,FL,105,24.7,-81.1
1906,19061018,UNNAMED,FL,105,25.3,-80.7
1909,19090721,UNNAMED,TX,100,28.9,-95.3
1909,19091011,UNNAMED,FL,100,24.7,-81.0
1915,19150817,UNNAMED,TX,115,29.2,-95.1
1916,19160818,UNNAMED,TX,115,27.0,-97.4
1917,19170929,UNNAMED,FL,100,30.4,-86.6
1919,19190910,UNNAMED,FL,130,24.6,-82.9
1919,19190914,UNNAMED,TX,100,27.2,-97.3
1921,19211025,UNNAMED,FL,100,28.1,-82.8
1926,19260918,UNNAMED,FL,125,25.6,-80.3
1926,19260920,UNNAMED,FL,100,30.3,-87.5
1928,19280917,UNNAMED,FL,125,26.7,-80.0
1929,19290928,UNNAMED,FL,100,25.0,-80.5
1932,19320814,UNNAMED,TX,130,29.0,-95.2
1933,19330905,UNNAMED,TX,110,26.1,-97.2
1933,19330904,UNNAMED,FL,110,26.9,-80.1
1935,19350903,UNNAMED,FL,160,24.8,-80.8
1941,19410923,UNNAMED,TX,110,28.8,-95.6
1942,19420830,UNNAMED,TX,100,28.3,-96.6
1944,19441018,UNNAMED,FL,105,24.6,-82.9
1945,19450827,UNNAMED,TX,100,28.2,-96.7
1945,19450915,UNNAMED,FL,115,25.3,-80.3
1945,19450915,UNNAMED,FL,115,25.4,-80.4
1947,19470917,UNNAMED,FL,115,26.1,-80.1
1948,19480921,UNNAMED,FL,105,24.6,-81.6
1948,19480922,UNNAMED,FL,115,25.8,-81.3
1949,19490826,UNNAMED,FL,115,26.6,-80.0
1950,19500905,EASY,FL,105,29.1,-82.8
1950,19501018,KING,FL,115,25.7,-80.2
1954,19541015,HAZEL,SC,115,33.9,-78.6
1959,19590929,GRACIE,SC,115,32.5,-80.4
1960,19600910,DONNA,FL,125,24.8,-80.9
1960,19600910,DONNA,FL,105,25.9,-81.6
1961,19610911,CARLA,TX,125,28.3,-96.4
1965,19650908,BETSY,FL,100,25.0,-80.5
1967,19670920,BEULAH,TX,110,25.9,-97.2
1970,19700803,CELIA,TX,120,27.8,-97.1
1983,19830818,ALICIA,TX,100,29.1,-95.1
1989,19890922,HUGO,SC,120,32.8,-79.8
1992,19920824,ANDREW,FL,145,25.5,-80.2
1992,19920824,ANDREW,FL,145,25.5,-80.3
1995,19951004,OPAL,FL,100,30.3,-87.1
1996,19960906,FRAN,NC,100,33.9,-78.0
1999,19990823,BRET,TX,100,26.9,-97.4
2004,20040813,CHARLEY,FL,130,26.6,-82.2
2004,20040813,CHARLEY,FL,125,26.9,-82.1
2004,20040926,JEANNE,FL,105,27.2,-80.2
2005,20050710,DENNIS,FL,105,30.4,-87.1
2005,20051024,WILMA,FL,105,25.9,-81.7
2017,20170826,HARVEY,TX,115,28.0,-96.9
2017,20170826,HARVEY,TX,105,28.2,-97.1
2017,20170910,IRMA,FL,115,24.7,-81.5
2017,20170910,IRMA,FL,100,25.9,-81.7
2018,20181010,MICHAEL,FL,140,30.0,-85.5
2022,20220928,IAN,FL,110,24.6,-82.9
2022,20220928,IAN,FL,130,26.7,-82.2
2022,20220928,IAN,FL,125,26.8,-82.0
2023,20230830,IDALIA,FL,100,29.9,-83.6
2024,20240927,HELENE,FL,120,30.0,-83.7
2024,20241010,MILTON,FL,100,27.4,-82.6
