domain,owner,vendor,metric,value,period,mom_change_pct,global_rank,us_rank,category_rank,category,bounce_rate_pct,pages_per_visit,avg_visit_duration,top_channel,top_channel_pct,retrieved,source_url,note
kay.com,Signet,SimilarWeb,total_visits_last_3_months,8600000,2026-07,18.56,5636,1098,2,Lifestyle > Jewelry and Luxury Products (US),46.95,4.84,00:03:23,Display,26.6,2026-08-29,https://www.similarweb.com/website/kay.com/,Free tier headline is a 3-month aggregate; monthly split gated
zales.com,Signet,SimilarWeb,total_visits_last_3_months,3100000,2026-07,-6.95,18550,3679,11,Lifestyle > Jewelry and Luxury Products (US),51.90,3.35,00:02:36,Direct,28.61,2026-08-29,https://www.similarweb.com/website/zales.com/,Only top 3 channels shown free
jared.com,Signet,SimilarWeb,total_visits_last_3_months,3100000,2026-07,-0.18,15460,3090,9,Lifestyle > Jewelry and Luxury Products (US),55.29,4.60,00:02:24,Direct,29.23,2026-08-29,https://www.similarweb.com/website/jared.com/,
bluenile.com,Signet,SimilarWeb,total_visits_last_3_months,,2026-07,10.13,12257,2875,8,Lifestyle > Jewelry and Luxury Products (US),51.75,4.65,00:02:40,Paid Search,25.57,2026-08-29,https://www.similarweb.com/website/bluenile.com/,Visits figure gated on free tier
brilliantearth.com,Brilliant Earth (BRLT),SimilarWeb,total_visits_last_3_months,6100000,2026-07,-3.45,9817,2162,5,Lifestyle > Jewelry and Luxury Products (US),58.40,3.03,00:02:19,Paid Search,28.31,2026-08-29,https://www.similarweb.com/website/brilliantearth.com/,
diamondsdirect.com,Signet,SimilarWeb,total_visits_last_3_months,639100,2026-07,-9.94,92680,18474,98,Lifestyle > Jewelry and Luxury Products (US),53.56,2.80,00:03:09,Direct,36.94,2026-08-29,https://www.similarweb.com/website/diamondsdirect.com/,
banter.com,Signet,SimilarWeb,total_visits_last_3_months,,2026-07,6.08,31748,6435,27,Lifestyle > Jewelry and Luxury Products (US),46.50,6.90,00:01:52,Organic Search,35.53,2026-08-29,https://www.similarweb.com/website/banter.com/,Visits gated; highest pages/visit in set (6.90)
jamesallen.com,Signet (winding down),SimilarWeb,total_visits_last_3_months,56500,2026-07,-53.60,712482,365113,1866,Lifestyle > Jewelry and Luxury Products (US),58.81,1.36,00:00:04,Referrals,24.39,2026-08-29,https://www.similarweb.com/website/jamesallen.com/,4-second visit duration and 1.36 pages/visit = redirect/shell behaviour; consistent with wind-down
kayoutlet.com,Signet,SimilarWeb,rank_only,,2026-07,,70694,14055,,Lifestyle > Jewelry and Luxury Products (US),,,,,,2026-08-29,https://www.similarweb.com/website/kay.com/competitors/,From kay.com competitor panel
helzberg.com,Berkshire Hathaway,SimilarWeb,rank_only,,2026-07,,45000,9142,,Lifestyle > Jewelry and Luxury Products (US),,,,,,2026-08-29,https://www.similarweb.com/website/kay.com/competitors/,
tiffany.com,LVMH,SimilarWeb,rank_only,,2026-07,,15486,4492,29,Lifestyle > Jewelry and Luxury Products (US),46.37,3.59,00:01:44,,,2026-08-29,https://www.similarweb.com/top-websites/lifestyle/jewelry-and-luxury-products/,
rarecarat.com,independent,SimilarWeb,rank_only,,2026-07,,14118,2824,,Lifestyle > Jewelry and Luxury Products (US),,,,,,2026-08-29,https://www.similarweb.com/website/kay.com/competitors/,Ranks ABOVE jared.com and zales.com globally
pandora.net,Pandora,SimilarWeb,category_rank_1,,2026-07,,,,1,Lifestyle > Jewelry and Luxury Products (US),42.85,4.82,00:03:40,,,2026-08-29,https://www.similarweb.com/top-websites/lifestyle/jewelry-and-luxury-products/,Category leader
kay.com,Signet,Semrush,monthly_visits,4440000,2026-06,,,2314,,Retail,,,,,,2026-08-29,https://www.semrush.com/website/kay.com/overview/,Semrush May 2026 = 5.61M; organic search traffic 2.62M (-9% m/m); paid 92.76K
zales.com,Signet,Semrush,monthly_visits,3560000,2026-07,30.9,16165,3572,,Retail,43.82,4.39,00:09:25,,,2026-08-29,https://www.semrush.com/website/zales.com/overview/,"Jun-26 2.72M, May-26 4.24M; organic 1.24M (-2.26% m/m); paid 37.5K; Authority Score 59"
