run_date,ticker,spot,expiry,dte,atm_iv_pct,straddle_pct_spot,iv_put25_pct,k_put25,iv_call25_pct,k_call25,skew25_pts,put_call_oi,put_call_vol,n_calls,n_puts,event_implied_move_pct
2026-09-02,SIG,81.73,2026-09-18,16,72.5,10.95,70.0,75.0,77.3,93.0,-7.4,1.28,1.37,9,15,7.67
2026-09-02,SIG,81.73,2026-10-16,44,56.2,15.48,53.6,75.0,54.3,95.0,-0.7,0.92,2.04,10,11,
2026-09-02,GAP,22.06,2026-09-18,16,52.2,6.3,51.5,21.0,42.9,23.5,8.6,0.5,0.49,22,23,6.08
2026-09-02,GAP,22.06,2026-10-16,44,37.5,9.07,39.5,20.0,34.9,24.0,4.6,0.23,1.27,10,8,
2026-09-02,M,22.42,2026-09-18,16,62.6,9.3,55.1,21.0,53.5,24.5,1.6,0.98,0.11,22,16,6.26
2026-09-02,M,22.42,2026-10-16,44,50.2,11.71,49.5,20.0,45.4,25.0,4.1,3.57,0.78,11,9,
2026-09-02,URBN,78.75,2026-09-18,16,60.0,6.13,44.2,75.0,50.7,85.0,-6.5,2.46,0.11,15,11,6.92
2026-09-02,URBN,78.75,2026-10-16,44,43.5,9.68,49.3,70.0,41.4,90.0,7.9,0.93,1.54,5,3,
2026-09-02,ANF,136.6,2026-09-18,16,55.6,7.54,49.2,130.0,50.3,148.0,-1.0,1.42,3.47,42,33,4.37
2026-09-02,ANF,136.6,2026-10-16,44,49.1,13.03,46.8,125.0,53.0,155.0,-6.2,1.34,2.66,21,15,
2026-09-02,AEO,16.66,2026-09-18,16,94.4,15.7,97.3,15.0,106.4,20.0,-9.2,0.25,0.24,20,19,10.7
2026-09-02,AEO,16.66,2026-10-16,44,69.5,19.48,65.6,15.0,64.5,20.0,1.2,0.83,0.12,10,9,
2026-09-02,XRT,86.38,2026-09-18,16,71.2,6.15,40.7,83.0,27.5,90.0,13.2,3.99,21.81,20,26,9.45
2026-09-02,XRT,86.38,2026-10-16,44,43.4,6.16,45.4,81.0,53.0,91.0,-7.6,134.85,34.58,8,14,
