variant,base,scenario,fy2026_margin_before_cut,fy2026_phi,fy2026_cut_musd,fy2026_margin_after_cut,fy2026_floor_reachable,fy2027_margin_before_cut,fy2027_phi,fy2027_floor_reachable,fy2027_cut_musd,fy2027_margin_after_cut
held,M6_l0_rw,bear,,,,,,,,,,
flex,M6_l0_rw,bear,,,,,,,,,,
flex_dl,M6_l0_rw,bear,,,,,,,,,,
hold_disc,M6_l0_rw,bear,,,,,,,,,,
cut,M6_l0_rw,bear,35.633223937701715,0.0,0.0,35.633223937701715,True,31.604042230798637,0.5295608966514626,True,507.63910644321123,35.00000000000001
held,M6_l0_rw,base,,,,,,,,,,
flex,M6_l0_rw,base,,,,,,,,,,
flex_dl,M6_l0_rw,base,,,,,,,,,,
hold_disc,M6_l0_rw,base,,,,,,,,,,
cut,M6_l0_rw,base,35.9727314769888,0.0,0.0,35.9727314769888,True,34.35586794052077,0.10636002689264219,True,101.95712967944588,35.0
held,M6_l0_rw,bull,,,,,,,,,,
flex,M6_l0_rw,bull,,,,,,,,,,
flex_dl,M6_l0_rw,bull,,,,,,,,,,
hold_disc,M6_l0_rw,bull,,,,,,,,,,
cut,M6_l0_rw,bull,36.38053042583434,0.0,0.0,36.38053042583434,True,36.46031982060012,0.0,True,0.0,36.46031982060012
held,M1_b_elastic_rw,bear,,,,,,,,,,
flex,M1_b_elastic_rw,bear,,,,,,,,,,
flex_dl,M1_b_elastic_rw,bear,,,,,,,,,,
hold_disc,M1_b_elastic_rw,bear,,,,,,,,,,
cut,M1_b_elastic_rw,bear,35.84222529003139,0.0,0.0,35.84222529003139,True,32.416236517900856,0.4033767116803365,True,386.2295924904466,34.99999999999999
held,M1_b_elastic_rw,base,,,,,,,,,,
flex,M1_b_elastic_rw,base,,,,,,,,,,
flex_dl,M1_b_elastic_rw,base,,,,,,,,,,
hold_disc,M1_b_elastic_rw,base,,,,,,,,,,
cut,M1_b_elastic_rw,base,36.1817670864786,0.0,0.0,36.1817670864786,True,35.14385592646108,0.0,True,0.0,35.14385592646108
held,M1_b_elastic_rw,bull,,,,,,,,,,
flex,M1_b_elastic_rw,bull,,,,,,,,,,
flex_dl,M1_b_elastic_rw,bull,,,,,,,,,,
hold_disc,M1_b_elastic_rw,bull,,,,,,,,,,
cut,M1_b_elastic_rw,bull,36.589600248984276,0.0,0.0,36.589600248984276,True,37.2295410291082,0.0,True,0.0,37.2295410291082
