view,p,detail
V1_decomposition,0.4211,"Q3 N(9.67,1.70) -> Q4 8.1+0.5*(Q3-9.67)+N(0,1.4); 12% tail 5.5+/-1.5"
V2_guide_route,0.1558,10.75:w0.21:p0.000; 9.75:w0.19:p0.004; 8.0:w0.39:p0.096; 6.0:w0.17:p0.593; None:w0.04:p0.419
V3_street_dispersion,0.0245,"N(134.0, 1.5) on the 12 Sep Bloomberg bar (28 estimates, 130-136m)"
"blend (0.5, 0.3, 0.2)",0.2622,
"blend (0.6, 0.3, 0.1)",0.3019,
"blend (0.4, 0.4, 0.2)",0.2357,
"blend (0.7, 0.2, 0.1)",0.3284,
"blend (0.5, 0.5, 0.0)",0.2885,
"blend (0.34, 0.33, 0.33)",0.2027,
"blend (1.0, 0.0, 0.0)",0.4211,
