case,p_le_131,p_ge_134,mean,sd,e_q4_given_yes
adopted object (base),0.3089,0.307,8.612,2.278,5.925
V2 cushion 1.5 (auditor A17: 4 of 4 Q4 guides met),0.2889,0.3286,8.756,2.325,5.923
"V2 cushion 2.0 (4Q25 style, +4.8)",0.2718,0.3506,8.9,2.392,5.904
V2 cushion 0.6 (no low-ball),0.3259,0.2903,8.497,2.257,5.908
V1 centre 7.61 (RNPL unified module base),0.3487,0.2808,8.391,2.341,5.828
"V1 centre 8.9 (case A, NA-only lap)",0.2495,0.3607,8.973,2.23,6.02
V1 residual sd 1.4 (revision 1),0.2936,0.2766,8.613,2.067,6.156
V1 residual sd 2.5,0.3172,0.3267,8.612,2.491,5.709
no short tail,0.279,0.3193,8.772,2.166,6.088
short tail 25%,0.3411,0.2936,8.44,2.381,5.781
Q3 centre 9.2 (external stack),0.322,0.2984,8.535,2.307,5.878
Q3 centre 9.9 (team),0.2917,0.3192,8.715,2.243,5.985
Q3 sd 2.159 (naive),0.3101,0.3118,8.612,2.328,5.869
pass-through 0.3,0.3073,0.3013,8.613,2.225,5.984
pass-through 0.8,0.3115,0.3186,8.612,2.402,5.786
V3 sd 2.0m (0.164 in growth pts),0.318,0.3063,8.612,2.329,5.946
V3 re-centred on the measured at-print beat +0.9% (A17-25),0.3078,0.3513,8.81,2.47,5.919
blend 0.6/0.3/0.1,0.3513,0.2737,8.399,2.327,5.896
blend 0.4/0.4/0.2,0.2894,0.3267,8.747,2.259,5.985
blend 0.7/0.2/0.1,0.3702,0.2542,8.267,2.324,5.851
equal thirds,0.245,0.3579,8.945,2.167,6.004
V1 only,0.4514,0.1813,7.783,2.287,5.765
"joint weak (V1 7.61, tail 25%, Q3 9.2, cushion 0.6)",0.4048,0.2485,8.06,2.418,5.657
"joint strong (V1 8.9, beta 0.8, no tail, Q3 9.9, cushion 2.0)",0.1636,0.4579,9.633,2.217,6.235
