case,p_yes_le_131,q4_mean,q4_sd,e_q4_given_yes,e_q4_given_no,n,p_ge_134_check
V1_base,0.4211,7.788,1.8544,6.0712,9.0368,400000,0.1219
q4 centre = RNPL module 7.61,0.522,7.3576,1.7861,6.0053,8.8346,400000,0.0732
q4 centre = case A NA-only lap 8.9,0.278,8.4997,1.9827,6.0379,9.4477,400000,0.2424
"q4 centre = Street bar 9.93, no short tail",0.07,9.9249,1.6363,6.7841,10.1614,400000,0.5097
"q4 centre = bridge no-lap 10.6, no tail",0.0296,10.598,1.6354,6.8738,10.7114,400000,0.6684
q4 centre = short case 5.0 as the centre,0.9373,5.0013,1.6364,4.7859,8.2239,400000,0.0014
no short tail,0.3575,8.099,1.6372,6.3898,9.0501,400000,0.1378
short tail 25%,0.4875,7.453,2.0049,5.8139,9.0119,400000,0.1048
beta 0.3,0.4117,7.7871,1.7204,6.1645,8.9227,400000,0.1018
beta 0.8,0.4351,7.7892,2.1383,5.8559,9.2782,400000,0.1613
residual sd 1.0,0.3923,7.7874,1.6095,6.2326,8.791,400000,0.0776
residual sd 2.0,0.4507,7.792,2.2879,5.7715,9.4496,400000,0.1818
Q3 centre 9.2 (external stack),0.4719,7.5532,1.8517,6.0034,8.9379,400000,0.0963
Q3 centre 9.9 (team baseline),0.3962,7.9045,1.8523,6.1005,9.0881,400000,0.1367
Q3 sd 2.16 (naive),0.4274,7.7878,1.9672,5.9838,9.1343,400000,0.1382
"joint weak: q4 7.61, tail 25%, Q3 9.2",0.6246,6.847,1.8915,5.7134,8.7334,400000,0.0474
"joint strong: q4 8.9, beta 0.8, no tail, Q3 9.9",0.2097,9.0832,1.9534,6.3985,9.7957,400000,0.3406
"V2 cushion N(0.6,1.3)",0.2269
"V2 cushion N(1.2,1.3)",0.1562
"V2 cushion N(2.0,1.5)",0.099
"V2 cushion N(1.2,0.8)",0.1339
V2 with C02 vector shifted up (a .30 b .22 c .32 d .12 e .04),0.1199
V2 with C02 vector shifted down (a .12 b .15 c .45 d .24 e .04),0.2026
"V3 Street N(134.0,1.0)",0.0016
"V3 Street N(134.0,1.5)",0.0242
"V3 Street N(134.0,2.5)",0.1187
