region,spec,window,n,first_q,last_q,term,coef,se_hac3,t_hac3,p_hac3,r2,contamination
NAM,R-a: v,W1,11,4Q23,2Q26,const,5.725051527493763,0.8336767825877242,6.867231578314154,6.545976223103265e-12,0.5412158804898425,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-a: v,W1,11,4Q23,2Q26,v_pct,0.9810008507505595,0.21351917798636214,4.59443905696011,4.339149137534476e-06,0.5412158804898425,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-b: c+nl,W1,11,4Q23,2Q26,const,-1.3398407614209855,3.308352812441535,-0.4049872662862081,0.6854868710065701,0.6081816437201691,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-b: c+nl,W1,11,4Q23,2Q26,c_pct,0.9794368473698198,0.27138705787320044,3.609003520821689,0.00030737543852529445,0.6081816437201691,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-b: c+nl,W1,11,4Q23,2Q26,nl_pct,1.5545471484546347,0.41102478378841123,3.782125092619451,0.00015549518175355618,0.6081816437201691,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-a: v,W2,10,1Q24,2Q26,const,5.637918706073748,0.8449225992882419,6.672704352828412,2.5113199343344186e-11,0.5440972555658884,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-a: v,W2,10,1Q24,2Q26,v_pct,0.9799884068680282,0.22034435010394698,4.447531359010207,8.686278127532272e-06,0.5440972555658884,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-b: c+nl,W2,10,1Q24,2Q26,const,-3.146083573919393,5.264081570510768,-0.5976509922535512,0.5500728321319112,0.6142924900862239,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-b: c+nl,W2,10,1Q24,2Q26,c_pct,0.9805212896553072,0.2767149145778867,3.543434914417382,0.0003949507846927718,0.6142924900862239,"USD revenue: ADR and FX contaminated, not nights"
NAM,R-b: c+nl,W2,10,1Q24,2Q26,nl_pct,1.713267592190953,0.5890302593638249,2.908624073135644,0.0036302309438960207,0.6142924900862239,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-a: v,W1,11,4Q23,2Q26,const,12.986572023225133,2.496972843254677,5.200926417084215,1.9829760426901416e-07,0.1431069795162585,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-a: v,W1,11,4Q23,2Q26,v_pct,0.5876152180385384,0.19413757577118895,3.026797958634774,0.0024715909821514223,0.1431069795162585,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-b: c+nl,W1,11,4Q23,2Q26,const,25.97491475234447,9.334012716381753,2.7828240159515674,0.0053888027135844735,0.2471073842854521,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-b: c+nl,W1,11,4Q23,2Q26,c_pct,1.3869223082803472,0.6311337679971545,2.197509273955692,0.02798409487718572,0.2471073842854521,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-b: c+nl,W1,11,4Q23,2Q26,nl_pct,0.10102043705578667,0.38773915387944835,0.260537106054538,0.7944494967979914,0.2471073842854521,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-a: v,W2,10,1Q24,2Q26,const,13.872775257850751,2.281503293345888,6.080541412458775,1.197774106266645e-09,0.03111830706971208,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-a: v,W2,10,1Q24,2Q26,v_pct,0.39090852126498754,0.2825854981603976,1.3833283158893916,0.16656421949796907,0.03111830706971208,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-b: c+nl,W2,10,1Q24,2Q26,const,32.2075420753646,9.911184488537849,3.249615836796519,0.0011556100295632037,0.1790676211369837,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-b: c+nl,W2,10,1Q24,2Q26,c_pct,2.426979682446296,0.9637407292642678,2.5182910805264855,0.011792581981351297,0.1790676211369837,"USD revenue: ADR and FX contaminated, not nights"
EMEA,R-b: c+nl,W2,10,1Q24,2Q26,nl_pct,0.29476201672890556,0.36243001201927405,0.8132936207093967,0.4160497336755251,0.1790676211369837,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-a: v,W1,11,4Q23,2Q26,const,10.972078730435346,6.6476607455406125,1.6505172496649505,0.09883718820838443,0.1642387758168905,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-a: v,W1,11,4Q23,2Q26,v_pct,0.4509899069748746,0.20721849899917308,2.176397904400776,0.029525520362869744,0.1642387758168905,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-b: c+nl,W1,11,4Q23,2Q26,const,-11.062691302458395,16.84202647560871,-0.6568503688365426,0.5112771335201486,0.2972421306146028,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-b: c+nl,W1,11,4Q23,2Q26,c_pct,-0.011028256520797197,0.14283008493723393,-0.07721242009793328,0.9384545613351679,0.2972421306146028,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-b: c+nl,W1,11,4Q23,2Q26,nl_pct,1.0686139026965855,0.45683934665178544,2.33914593943921,0.01932788181736897,0.2972421306146028,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-a: v,W2,10,1Q24,2Q26,const,14.032777127897996,6.786236685158209,2.0678290161302924,0.03865610416569885,0.049222564983647965,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-a: v,W2,10,1Q24,2Q26,v_pct,0.2987780056381324,0.2144655101598153,1.393128458816008,0.16358094864612405,0.049222564983647965,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-b: c+nl,W2,10,1Q24,2Q26,const,-12.588327144682015,22.17813341705522,-0.5676008394377074,0.5703060370274813,0.17568818819384557,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-b: c+nl,W2,10,1Q24,2Q26,c_pct,-0.001657616805998685,0.14758332418985645,-0.011231735123856322,0.9910385603711109,0.17568818819384557,"USD revenue: ADR and FX contaminated, not nights"
LatAm,R-b: c+nl,W2,10,1Q24,2Q26,nl_pct,1.1240724439941312,0.6568091417986308,1.7114141269652992,0.08700469114442792,0.17568818819384557,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-a: v,W1,11,4Q23,2Q26,const,13.215198218322392,1.2518937446313385,10.556166028462778,4.756961983559727e-26,0.652593634670364,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-a: v,W1,11,4Q23,2Q26,v_pct,0.739169394419475,0.07904317472283477,9.351463893136575,8.644289585543193e-21,0.652593634670364,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-b: c+nl,W1,11,4Q23,2Q26,const,32.55165682171389,2.5403500760020306,12.813846850959715,1.371623238854917e-37,0.8245120572153406,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-b: c+nl,W1,11,4Q23,2Q26,c_pct,1.1632903333084714,0.07001151562970742,16.61569990087262,5.364509244780964e-62,0.8245120572153406,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-b: c+nl,W1,11,4Q23,2Q26,nl_pct,-0.23642076703496928,0.13877665711826803,-1.7036061535441593,0.08845469108986312,0.8245120572153406,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-a: v,W2,10,1Q24,2Q26,const,13.304029613840132,1.2313439456020305,10.804478847163622,3.278131783240313e-27,0.5787460046763482,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-a: v,W2,10,1Q24,2Q26,v_pct,0.7094804045600623,0.10411680909700936,6.814273417647808,9.474136668379303e-12,0.5787460046763482,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-b: c+nl,W2,10,1Q24,2Q26,const,33.22007116832459,3.268042321041752,10.165128815631446,2.8374670598005443e-24,0.7886164596027325,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-b: c+nl,W2,10,1Q24,2Q26,c_pct,1.2074799620780214,0.0982606005071959,12.288546536916332,1.0436563022188223e-34,0.7886164596027325,"USD revenue: ADR and FX contaminated, not nights"
APAC,R-b: c+nl,W2,10,1Q24,2Q26,nl_pct,-0.2466174294719563,0.16783783257530976,-1.4693792554863796,0.1417299507377367,0.7886164596027325,"USD revenue: ADR and FX contaminated, not nights"
