spec,spec_label,window,wf_n,scored_first,scored_last,mae,mae_naive,mae_ratio,rmse,rmse_naive,rmse_ratio,bias_pp,jk_mae_ratio_min,jk_mae_ratio_max,jk_rmse_ratio_min,jk_rmse_ratio_max,single_index_mae_ratio_same_set,single_index_rmse_ratio_same_set,published_single_index_rmse_ratio,note
a,g_N(t) on v(t),W1,14,1Q23,2Q26,1.7523451174371416,2.1284556143709277,0.823294178936897,2.169115738001332,2.8766590944900523,0.7540399007154003,1.1097552947537748,0.7687198074926996,0.9062985220090654,0.7232073120926372,0.812297548405684,0.9575250891963738,0.8371181429443374,0.837125,
a,g_N(t) on v(t),W2,10,1Q24,2Q26,1.1977503696072556,1.6558287238988867,0.7233540234686714,1.4730510661723113,2.1593217121480146,0.682182306548001,-0.018803577527436843,0.661909279254502,0.9158188351715164,0.594167469624667,0.8806183268687714,0.7652396973960778,0.6831441943652724,0.683209,
b,g_N(t) on c(t) and nl(t),W1,13,2Q23,2Q26,6.495075645486946,2.1726228863777313,2.9895089875978202,15.208005824223713,2.9539615638932903,5.148342486954949,6.013258849159079,1.5075892926129313,3.414992298950075,1.7085853019091455,5.652080416847324,0.903102775640918,0.7968710046742001,0.837125,
b,g_N(t) on c(t) and nl(t),W2,9,2Q24,2Q26,1.5897350927770502,1.5596034124641946,1.0193200912950344,1.8153733981980322,2.1152079546759177,0.8582481898221564,0.48891867788990595,0.8490764040456259,1.2797023838551473,0.7381925315546155,1.1136558578643234,0.7602053702522078,0.6640848953233522,0.683209,
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W1,13,2Q23,2Q26,1.3916502217290894,2.1726228863777313,0.6405392442722974,2.046116638373968,2.9539615638932903,0.6926686736157825,0.1971660994441609,0.5367683234745099,0.6985774483626191,0.545985857407366,0.7876374220702335,0.903102775640918,0.7968710046742001,0.837125,
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W2,9,2Q24,2Q26,1.587088150867063,1.5596034124641946,1.0176229021962975,2.2587327405015865,2.1152079546759177,1.0678537471970027,-0.3042596381876385,0.8339394454633434,1.213060489220596,0.6952919013698377,1.3744099262804634,0.7602053702522078,0.6640848953233522,0.683209,
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W1,12,2Q23,1Q26,1.3875411683335563,2.254689422872737,0.6154023495465141,2.088646899080311,3.0553999881652074,0.6835919706652092,0.33367651293746486,0.5021232722278989,0.6736407328817319,0.5301345475731958,0.7733952553755785,0.9313804133248497,0.8013465132554393,0.837125,
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W2,8,2Q24,1Q26,1.6882518958667028,1.6060757829675119,1.051165775470044,2.379913953878673,2.2038606836473433,1.0798840287580997,-0.24506981910235037,0.8576334244241749,1.291825933832341,0.6976095237267685,1.412840460455664,0.7663811518908193,0.6629959355280741,0.683209,
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W1,14,1Q23,2Q26,2.038049652001045,2.1284556143709277,0.9575250891963738,2.408103519063452,2.8766590944900523,0.8371181429443374,1.6318614956989248,0.8848215333976095,1.0407198616789048,0.7968710046742001,0.9266015301140702,0.9575250891963738,0.8371181429443374,0.837125,
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W2,10,1Q24,2Q26,1.2671058716161177,1.6558287238988867,0.7652396973960778,1.475128091420796,2.1593217121480146,0.6831441943652724,0.5183951890385459,0.6742375952526263,0.9341337907266367,0.627521967293841,0.8597426852937369,0.7652396973960778,0.6831441943652724,0.683209,
