spec,spec_label,window,n,first_q,last_q,term,coef,se_hac3,t_hac3,p_hac3,r2,r2_adj,loo_slope_min,loo_slope_max
a,g_N(t) on v(t),W1,14,1Q23,2Q26,const,7.4775802539468685,0.2899735309673379,25.78711315133494,1.2369600591536595e-146,0.7454437801978545,0.7242307618810091,,
a,g_N(t) on v(t),W1,14,1Q23,2Q26,v_pct,0.322194289471132,0.02006024159854851,16.06133644444466,4.7617979899121166e-58,0.7454437801978545,0.7242307618810091,0.24766097619278418,0.35103767702918254
a,g_N(t) on v(t),W2,10,1Q24,2Q26,const,8.130941032113702,0.925716566287006,8.783402315815112,1.5860262850257313e-18,0.10204088076482531,-0.010204009139571424,,
a,g_N(t) on v(t),W2,10,1Q24,2Q26,v_pct,0.19110032195823567,0.15204991511123794,1.256826232480491,0.20881656486971234,0.10204088076482531,-0.010204009139571424,0.13015418168176474,0.41057368392473625
b,g_N(t) on c(t) and nl(t),W1,14,1Q23,2Q26,const,10.432177868074938,1.8174171505952768,5.740111930086047,9.461399536697305e-09,0.7600802267625415,0.7164584498102763,,
b,g_N(t) on c(t) and nl(t),W1,14,1Q23,2Q26,c_pct,0.370353739704121,0.026712473732375567,13.864449373524383,1.0402126446960242e-43,0.7600802267625415,0.7164584498102763,0.29953940560909487,0.4001971570202095
b,g_N(t) on c(t) and nl(t),W1,14,1Q23,2Q26,nl_pct,0.15107578562693003,0.10835693592658713,1.394241949858063,0.16324455403340699,0.7600802267625415,0.7164584498102763,0.08217164651413433,0.2528864769674658
b,g_N(t) on c(t) and nl(t),W2,10,1Q24,2Q26,const,11.342840166289427,1.6812661061603633,6.746606099253344,1.5134340908621786e-11,0.18357643160404402,-0.049687445080514925,,
b,g_N(t) on c(t) and nl(t),W2,10,1Q24,2Q26,c_pct,0.41840967074278257,0.09123453719034627,4.586088597893994,4.51627012258586e-06,0.18357643160404402,-0.049687445080514925,0.31949326244052934,0.5680849686133703
b,g_N(t) on c(t) and nl(t),W2,10,1Q24,2Q26,nl_pct,0.10880720162166346,0.14456183677980025,0.7526689204108618,0.4516488906901911,0.18357643160404402,-0.049687445080514925,0.012398321339678109,0.3089246111963704
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W1,14,1Q23,2Q26,const,7.975947906524018,1.8922920220552002,4.2149667247771925,2.4981501945347672e-05,0.7329776828997816,0.6844281706997419,,
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W1,14,1Q23,2Q26,c_pct_t1_incl,0.6495392927005198,0.15863823582499975,4.094468709404036,4.2313755160228627e-05,0.7329776828997816,0.6844281706997419,0.3492935503361284,0.8448664675056023
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W1,14,1Q23,2Q26,nl_pct_t1_incl,0.49149597204694123,0.07533941365080792,6.523756268199608,6.856810028781736e-11,0.7329776828997816,0.6844281706997419,0.4286270726310262,0.5379590507809778
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W2,10,1Q24,2Q26,const,8.434274812196282,2.6547129120842743,3.177094884272946,0.0014875835825127663,0.005825638398426425,-0.27822417920202325,,
