quarter,qi,region,c_pct,v_pct,nl_pct,a_pct,new_share_pct,new_share_yoy_pp,c_eq_pct,v_eq_pct,nl_eq_pct,a_eq_pct,c_n_markets,v_n_markets,a_n_markets
1Q23,8092,APAC,38.47537562123082,53.34596848894637,14.870592867715551,79.08829932407453,4.8012338083720305,1.0070443852033435,62.883360683422396,80.11724870222254,17.233888018800144,111.31695192703728,17.0,16.0,17.0
2Q23,8093,APAC,8.58821950592156,18.132796150740678,9.544576644819118,45.05075861703209,4.585102618542109,0.9782274570016596,53.3231728066065,65.52965268119942,12.206479874592922,103.06005942122822,17.0,16.0,17.0
3Q23,8094,APAC,1.22136518555253,14.79939614735852,13.57803096180599,39.676702264481214,4.906411922564094,0.9582917771838075,24.96724924292973,44.030643717283816,19.063394474354087,75.55252990542581,17.0,16.0,17.0
4Q23,8095,APAC,-0.97162220096955,16.51676057827393,17.48838277924348,37.66515529786123,5.485801133718542,0.3069856108443094,23.18755012442516,49.43720814836135,26.24965802393619,76.14543438195054,17.0,16.0,17.0
1Q24,8096,APAC,-0.375471918689,21.7708666275189,22.1463385462079,38.8180277526472,5.095865150476371,0.2946313421043403,5.34984149911931,28.55020312851187,23.20036162939256,48.99312892367398,17.0,16.0,17.0
2Q24,8097,APAC,-13.08072626286003,4.87612958750844,17.95685585036847,23.36000390003716,4.184337772495205,-0.4007648460469042,-10.69129382411702,6.681389762676041,17.37268358679306,24.33604146160097,17.0,16.0,17.0
3Q24,8098,APAC,-15.24224233042617,2.08007170424358,17.32231403466975,20.80623192626651,4.447899038398468,-0.45851288416562586,-10.163242857653069,6.65891470595901,16.82215756361208,24.2603799749056,17.0,16.0,17.0
4Q24,8099,APAC,-8.12398425721054,8.657367103914309,16.781351361124848,28.13540662643723,5.582615404397583,0.09681427067904025,-5.49838635741855,8.74208958385446,14.24047594127301,27.518049806720903,17.0,16.0,17.0
1Q25,8100,APAC,-14.15741071241102,-0.82253826049181,13.33487245191921,17.29014255160956,4.6396588882283,-0.45620626224807115,-11.32798710930287,-0.19390692824265,11.13408018106022,18.11578464763994,17.0,16.0,17.0
2Q25,8101,APAC,-9.46247798507996,4.71509928127664,14.1775772663566,26.024155901894442,4.299892593051596,0.11555482055639121,-8.56621434754184,4.8426485042283005,13.40886285177014,23.91329193501096,17.0,16.0,17.0
3Q25,8102,APAC,-10.74831570520767,4.9485043393544,15.69682004456207,24.28498026314187,4.934362623886778,0.4864635854883099,-10.473292143408,5.6495758838666,16.1228680272746,24.2860256396721,17.0,16.0,17.0
4Q25,8103,APAC,-7.24475978435619,6.24424513180779,13.48900491616398,28.776035864207984,5.494692538606753,-0.08792286579082997,-7.53941539829831,6.71699292318296,14.25640832148127,27.620710447046946,17.0,16.0,17.0
1Q26,8104,APAC,-5.55144792240303,8.86372606686458,14.41517398926761,29.245402623584084,4.799812362378657,0.1601534741503574,-7.4121350104621495,7.98108018310847,15.393215193570619,29.54884290099697,17.0,16.0,17.0
