spec,spec_label,window,n,fitted_gN_3q26_pct,basis,x_used
a,g_N(t) on v(t),W1,14,9.281772592614772,July-2026 partial corrected to full quarter,v=5.600
a,g_N(t) on v(t) [E6 day-matched basis],W1,14,9.184601756645058,"E6 Jul+Aug-to-date day-matched, corrected to full quarter",v=5.298
a,g_N(t) on v(t),W2,10,9.20104608382012,July-2026 partial corrected to full quarter,v=5.600
a,g_N(t) on v(t) [E6 day-matched basis],W2,10,9.14341198338574,"E6 Jul+Aug-to-date day-matched, corrected to full quarter",v=5.298
b,g_N(t) on c(t) and nl(t),W1,14,10.038147693096612,July-2026 partial corrected to full quarter,c=-5.655; nl=11.255
b,g_N(t) on c(t) and nl(t),W2,10,10.201336274099663,July-2026 partial corrected to full quarter,c=-5.655; nl=11.255
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W1,14,,not obtainable: g_N(3Q26) needs stays at 4Q26,
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W2,10,,not obtainable: g_N(3Q26) needs stays at 4Q26,
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W1,13,,not obtainable: g_N(3Q26) needs stays at 4Q26,
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W2,9,,not obtainable: g_N(3Q26) needs stays at 4Q26,
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W1,14,9.910508191123629,July-2026 partial corrected to full quarter,a=26.028
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W2,10,9.551448848620014,July-2026 partial corrected to full quarter,a=26.028
