value_status,missing_reason,guidance_event_id,issuer_id,reported_period,event_type,published_at_utc,published_at_precision,release_timing,research_cutoff_at_utc,initial_event_id,is_initial_guide,primary_document_id,event_notes
observed,,ABNB-2020Q4-INITIAL,ABNB,2020Q4,initial,2021-02-25T22:00:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2020Q4-INITIAL,True,ABNB-2020Q4-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2021Q1-INITIAL,ABNB,2021Q1,initial,2021-05-13T21:00:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2021Q1-INITIAL,True,ABNB-2021Q1-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2021Q2-INITIAL,ABNB,2021Q2,initial,2021-08-12T21:00:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2021Q2-INITIAL,True,ABNB-2021Q2-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2021Q3-INITIAL,ABNB,2021Q3,initial,2021-11-04T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2021Q3-INITIAL,True,ABNB-2021Q3-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2021Q4-INITIAL,ABNB,2021Q4,initial,2022-02-15T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2021Q4-INITIAL,True,ABNB-2021Q4-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2022Q1-INITIAL,ABNB,2022Q1,initial,2022-05-03T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2022Q1-INITIAL,True,ABNB-2022Q1-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2022Q2-INITIAL,ABNB,2022Q2,initial,2022-08-02T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2022Q2-INITIAL,True,ABNB-2022Q2-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2022Q3-INITIAL,ABNB,2022Q3,initial,2022-11-01T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2022Q3-INITIAL,True,ABNB-2022Q3-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2022Q4-INITIAL,ABNB,2022Q4,initial,2023-02-14T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2022Q4-INITIAL,True,ABNB-2022Q4-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2023Q1-INITIAL,ABNB,2023Q1,initial,2023-05-09T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2023Q1-INITIAL,True,ABNB-2023Q1-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
