value_status,missing_reason,evidence_claim_id,guidance_event_id,source_excerpt_id,driver_family,driver_code,claim_type,evidence_stance,direction,attribution_strength,time_horizon,scope_code,quantified_value,quantified_unit,coder_confidence,contradicts_claim_id,adjudication_note
observed,,ABNB-2020Q4-CLAIM-001-01,ABNB-2020Q4-INITIAL,ABNB-2020Q4-DRIVER-001,calendar_effects,target_quarter,explicit_management_outlook_rationale,supporting,negative,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2020Q4-CLAIM-002-01,ABNB-2020Q4-INITIAL,ABNB-2020Q4-DRIVER-002,external_conditions,consumer_confidence_change,explicit_management_outlook_rationale,supporting,negative,risk,next_quarter,consolidated,,,high,,
observed,,ABNB-2020Q4-CLAIM-002-02,ABNB-2020Q4-INITIAL,ABNB-2020Q4-DRIVER-002,booking_behavior,demand_volatility,explicit_management_outlook_rationale,supporting,negative,risk,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q1-CLAIM-003-01,ABNB-2021Q1-INITIAL,ABNB-2021Q1-DRIVER-003,booking_behavior,booking_lead_time,explicit_management_outlook_rationale,supporting,positive,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q1-CLAIM-004-01,ABNB-2021Q1-INITIAL,ABNB-2021Q1-DRIVER-004,mix,regional_mix,explicit_management_outlook_rationale,supporting,negative,risk,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q1-CLAIM-004-02,ABNB-2021Q1-INITIAL,ABNB-2021Q1-DRIVER-004,external_conditions,consumer_confidence_change,explicit_management_outlook_rationale,supporting,negative,risk,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-005-01,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-005,demand_volume,nights_booked_yoy,explicit_management_outlook_rationale,supporting,positive,driver,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-005-02,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-005,booking_economics,adr_yoy,explicit_management_outlook_rationale,supporting,positive,driver,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-005-03,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-005,booking_behavior,bookings_on_books,explicit_management_outlook_rationale,supporting,positive,driver,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-006-01,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-006,booking_behavior,cancellation_rate,explicit_management_outlook_rationale,supporting,negative,risk,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-006-02,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-006,booking_behavior,demand_volatility,explicit_management_outlook_rationale,supporting,negative,risk,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-007-01,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-007,booking_economics,adr_yoy,explicit_management_outlook_rationale,supporting,negative,driver,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-007-02,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-007,mix,regional_mix,explicit_management_outlook_rationale,supporting,negative,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q2-CLAIM-007-03,ABNB-2021Q2-INITIAL,ABNB-2021Q2-DRIVER-007,mix,urban_mix,explicit_management_outlook_rationale,mixed,mixed,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q3-CLAIM-008-01,ABNB-2021Q3-INITIAL,ABNB-2021Q3-DRIVER-008,mix,cross_border_growth,explicit_management_outlook_rationale,supporting,positive,driver,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q3-CLAIM-008-02,ABNB-2021Q3-INITIAL,ABNB-2021Q3-DRIVER-008,external_conditions,consumer_confidence_change,explicit_management_outlook_rationale,supporting,positive,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q3-CLAIM-009-01,ABNB-2021Q3-INITIAL,ABNB-2021Q3-DRIVER-009,booking_economics,adr_yoy,explicit_management_outlook_rationale,supporting,neutral,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q3-CLAIM-010-01,ABNB-2021Q3-INITIAL,ABNB-2021Q3-DRIVER-010,calendar_effects,target_quarter,explicit_management_outlook_rationale,supporting,negative,driver,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q3-CLAIM-010-02,ABNB-2021Q3-INITIAL,ABNB-2021Q3-DRIVER-010,booking_economics,take_rate,explicit_management_outlook_rationale,supporting,negative,contributor,next_quarter,consolidated,,,high,,
observed,,ABNB-2021Q4-CLAIM-011-01,ABNB-2021Q4-INITIAL,ABNB-2021Q4-DRIVER-011,demand_volume,nights_booked_yoy,explicit_management_outlook_rationale,supporting,positive,driver,next_quarter,consolidated,,,high,,
