value_status,missing_reason,source_excerpt_id,document_id,page_number,section_heading,speaker,timecode,source_anchor,exact_excerpt,excerpt_word_count,context_paraphrase,copyright_handling,extraction_method,verified_against_source
observed,,ABNB-2020Q4-ACTUAL-REVENUE-EXCERPT,ABNB-2020Q4-SHAREHOLDER-LETTER,,Key Financial Measures / financial statements,,,Revenue table; whitespace normalized,Revenue $859M,2,Airbnb reported 2020Q4 revenue of $859 million.,Short data-cell excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2020Q4-NEXTQ-REVENUE-GUIDE-EXCERPT,ABNB-2020Q4-SHAREHOLDER-LETTER,,Outlook,,,Outlook section; whitespace normalized,"For revenue, the year-over-year decline in Q1 2021 is expected to be less than that of Q4 2020",18,Management issued a qualitative revenue outlook for 2021Q1.,Short pinpoint excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q1-ACTUAL-REVENUE-EXCERPT,ABNB-2021Q1-SHAREHOLDER-LETTER,,Key Financial Measures / financial statements,,,Revenue table; whitespace normalized,Revenue $887M,2,Airbnb reported 2021Q1 revenue of $887 million.,Short data-cell excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q1-NEXTQ-REVENUE-GUIDE-EXCERPT,ABNB-2021Q1-SHAREHOLDER-LETTER,,Outlook,,,Outlook section; whitespace normalized,We expect revenue in Q2 2021 to be significantly higher than that of Q2 2020,15,Management issued a qualitative revenue outlook for 2021Q2.,Short pinpoint excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q2-ACTUAL-REVENUE-EXCERPT,ABNB-2021Q2-SHAREHOLDER-LETTER,,Key Financial Measures / financial statements,,,Revenue table; whitespace normalized,"Revenue $1,335M",2,"Airbnb reported 2021Q2 revenue of $1,335 million.",Short data-cell excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q2-NEXTQ-REVENUE-GUIDE-EXCERPT,ABNB-2021Q2-SHAREHOLDER-LETTER,,Outlook,,,Outlook section; whitespace normalized,we expect Q3 2021 revenue to be our strongest quarterly revenue on record,13,Management issued a qualitative revenue outlook for 2021Q3.,Short pinpoint excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q3-ACTUAL-REVENUE-EXCERPT,ABNB-2021Q3-SHAREHOLDER-LETTER,,Key Financial Measures / financial statements,,,Revenue table; whitespace normalized,"Revenue $2,237M",2,"Airbnb reported 2021Q3 revenue of $2,237 million.",Short data-cell excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q3-NEXTQ-REVENUE-GUIDE-EXCERPT,ABNB-2021Q3-SHAREHOLDER-LETTER,,Outlook,,,Outlook section; whitespace normalized,We expect to deliver Q4 revenue of between $1.39 billion and $1.48 billion,13,"Management guided 2021Q4 revenue to $1,390-$1,480 million.",Short pinpoint excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q4-ACTUAL-REVENUE-EXCERPT,ABNB-2021Q4-SHAREHOLDER-LETTER,,Key Financial Measures / financial statements,,,Revenue table; whitespace normalized,"Revenue $1,532M",2,"Airbnb reported 2021Q4 revenue of $1,532 million.",Short data-cell excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
observed,,ABNB-2021Q4-NEXTQ-REVENUE-GUIDE-EXCERPT,ABNB-2021Q4-SHAREHOLDER-LETTER,,Outlook,,,Outlook section; whitespace normalized,We expect to deliver Q1 2022 revenue of between $1.41 billion and $1.48 billion,14,"Management guided 2022Q1 revenue to $1,410-$1,480 million.",Short pinpoint excerpt from a public SEC-filed issuer exhibit; not a transcript.,manual dual-field verification against SEC HTML,True
