value_status,missing_reason,actual_observation_id,fiscal_period,metric_code,scope_code,value,unit,currency,accounting_basis,yoy_growth_reported,yoy_growth_constant_currency,is_company_stated,derivation_formula,public_available_at_utc,source_excerpt_id
observed,,ABNB-2020Q4-REVENUE-ACTUAL,2020Q4,revenue,consolidated,859.0,USD_millions,USD,GAAP,-0.22,-0.22,True,,2021-02-25T22:00:00Z,ABNB-2020Q4-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2021Q1-REVENUE-ACTUAL,2021Q1,revenue,consolidated,887.0,USD_millions,USD,GAAP,0.05,0.03,True,,2021-05-13T21:00:00Z,ABNB-2021Q1-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2021Q2-REVENUE-ACTUAL,2021Q2,revenue,consolidated,1335.0,USD_millions,USD,GAAP,2.99,,True,,2021-08-12T21:00:00Z,ABNB-2021Q2-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2021Q3-REVENUE-ACTUAL,2021Q3,revenue,consolidated,2237.0,USD_millions,USD,GAAP,0.67,0.64,True,,2021-11-04T21:30:00Z,ABNB-2021Q3-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2021Q4-REVENUE-ACTUAL,2021Q4,revenue,consolidated,1532.0,USD_millions,USD,GAAP,0.78,0.79,True,,2022-02-15T21:30:00Z,ABNB-2021Q4-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2022Q1-REVENUE-ACTUAL,2022Q1,revenue,consolidated,1509.0,USD_millions,USD,GAAP,0.7,0.74,True,,2022-05-03T21:30:00Z,ABNB-2022Q1-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2022Q2-REVENUE-ACTUAL,2022Q2,revenue,consolidated,2104.0,USD_millions,USD,GAAP,0.58,0.64,True,,2022-08-02T20:30:00Z,ABNB-2022Q2-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2022Q3-REVENUE-ACTUAL,2022Q3,revenue,consolidated,2884.0,USD_millions,USD,GAAP,0.29,0.36,True,,2022-11-01T20:30:00Z,ABNB-2022Q3-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2022Q4-REVENUE-ACTUAL,2022Q4,revenue,consolidated,1902.0,USD_millions,USD,GAAP,0.24,0.31,True,,2023-02-14T21:30:00Z,ABNB-2022Q4-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2023Q1-REVENUE-ACTUAL,2023Q1,revenue,consolidated,1818.0,USD_millions,USD,GAAP,0.2,0.24,True,,2023-05-09T20:30:00Z,ABNB-2023Q1-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2023Q2-REVENUE-ACTUAL,2023Q2,revenue,consolidated,2484.0,USD_millions,USD,GAAP,0.18,0.19,True,,2023-08-03T20:30:00Z,ABNB-2023Q2-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2023Q3-REVENUE-ACTUAL,2023Q3,revenue,consolidated,3397.0,USD_millions,USD,GAAP,0.18,0.14,True,,2023-11-01T20:30:00Z,ABNB-2023Q3-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2023Q4-REVENUE-ACTUAL,2023Q4,revenue,consolidated,2218.0,USD_millions,USD,GAAP,0.17,0.14,True,,2024-02-13T21:30:00Z,ABNB-2023Q4-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2024Q1-REVENUE-ACTUAL,2024Q1,revenue,consolidated,2142.0,USD_millions,USD,GAAP,0.18,0.18,True,,2024-05-08T20:30:00Z,ABNB-2024Q1-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2024Q2-REVENUE-ACTUAL,2024Q2,revenue,consolidated,2748.0,USD_millions,USD,GAAP,0.11,0.11,True,,2024-08-06T20:30:00Z,ABNB-2024Q2-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2024Q3-REVENUE-ACTUAL,2024Q3,revenue,consolidated,3732.0,USD_millions,USD,GAAP,0.1,0.1,True,,2024-11-07T21:30:00Z,ABNB-2024Q3-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2024Q4-REVENUE-ACTUAL,2024Q4,revenue,consolidated,2480.0,USD_millions,USD,GAAP,0.12,,True,,2025-02-13T21:30:00Z,ABNB-2024Q4-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2025Q1-REVENUE-ACTUAL,2025Q1,revenue,consolidated,2272.0,USD_millions,USD,GAAP,0.06,0.08,True,,2025-05-01T20:30:00Z,ABNB-2025Q1-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2025Q2-REVENUE-ACTUAL,2025Q2,revenue,consolidated,3096.0,USD_millions,USD,GAAP,0.13,0.13,True,,2025-08-06T20:30:00Z,ABNB-2025Q2-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2025Q3-REVENUE-ACTUAL,2025Q3,revenue,consolidated,4095.0,USD_millions,USD,GAAP,0.1,0.1,True,,2025-11-06T21:30:00Z,ABNB-2025Q3-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2025Q4-REVENUE-ACTUAL,2025Q4,revenue,consolidated,2778.0,USD_millions,USD,GAAP,0.12,0.11,True,,2026-02-12T22:00:00Z,ABNB-2025Q4-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2026Q1-REVENUE-ACTUAL,2026Q1,revenue,consolidated,2678.0,USD_millions,USD,GAAP,0.18,0.15,True,,2026-05-07T21:00:00Z,ABNB-2026Q1-ACTUAL-REVENUE-EXCERPT
observed,,ABNB-2026Q2-REVENUE-ACTUAL,2026Q2,revenue,consolidated,3608.0,USD_millions,USD,GAAP,0.17,0.13,True,,2026-08-06T21:00:00Z,ABNB-2026Q2-ACTUAL-REVENUE-EXCERPT
