id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41339,Porto city flat near the sea,180050,1462511892931688715,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,92,2,34,2026-01-02,0.21,1,80,3,29049/AL
55111,Fontielas Houses |Floor1 in House with shared Pool,259711,1462514013595887125,Isabel E João,PAREDES,Cete,41.17418,-8.35533,Entire home/apt,100,5,21,2025-08-30,0.16,3,57,1,7563/AL
73828,Fontielas Houses |Floor0 in House with shared Pool,259711,1462514013595887125,Isabel E João,PAREDES,Cete,41.17622,-8.35351,Entire home/apt,116,5,20,2025-08-31,0.15,3,62,5,7563/AL
87873,Oporto Apartment Triplex,480980,1462519445306915116,Paula,PORTO,Bonfim,41.15607,-8.60437,Entire home/apt,137,3,280,2026-06-17,1.63,4,265,21,634/AL
94701,Big TERRACE APARTMENT / city center,505473,1462520190162396198,Gundega,PORTO,Bonfim,41.14675,-8.60186,Entire home/apt,104,3,323,2026-06-07,1.75,1,241,12,85541/AL
104045,Porto Sky Duplex Penthouse,541968,1462521201170716537,Aida,PORTO,Bonfim,41.1605,-8.59871,Entire home/apt,272,5,311,2025-01-02,1.71,1,86,0,11205/AL
105347,Minha casinha / My little house,544104,1462512548963007572,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12944,-8.58565,Entire home/apt,92,4,179,2026-05-27,1.13,1,315,10,135964/AL
108153,Rooms-Piscina-Praia,559704,1462512648951769768,Armando,ESPINHO,Anta e Guetim,40.99903,-8.61693,Private room,98,5,18,2025-09-06,0.15,3,344,3,10224
122362,Private house in Oporto - Portugal,613350,1462523583609467525,Olga,PORTO,Paranhos,41.17576,-8.6232,Entire home/apt,169,2,100,2026-06-13,0.69,1,303,4,17076/AL
127208,B & B  Room Yoga Garden's Place,630252,1462513130884627013,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,80,1,625,2026-06-20,3.50,1,51,31,34971/AL
134570,284sqm Luxury Beachfront Penthouse | Pools & Porto,660293,1462525262320023819,Natacha,VILA NOVA DE GAIA,Madalena,41.10431,-8.66159,Entire home/apt,539,2,107,2025-06-27,0.62,1,307,1,2191/AL
139425,"Cozy flat- air cond, rooftop terrace, free parking",680010,1462525937676258590,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,125,2,341,2026-06-07,1.87,7,258,59,4833/AL
141255,Yellow House -  Casa CF,663708,1462513373233594985,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19266,-8.6615,Private room,93,3,1,2022-07-08,0.02,1,226,0,96640/AL
155127,Apartment Douro river 5 km to Porto,745984,1462513946946523211,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.1238,-8.54264,Entire home/apt,129,2,180,2026-06-06,1.04,3,323,15,
169321,Espaçoso e luminoso Apartamento perto de belas artes I,806826,1462530032284074857,Miguel,PORTO,Bonfim,41.14536,-8.59792,Entire home/apt,198,2,260,2026-06-13,1.46,3,346,30,5458/AL
186655,Charming Family House with Garden (6981/AL),897112,1462532672957925211,Helena,PORTO,Lordelo do Ouro e Massarelos,41.15215,-8.65248,Entire home/apt,101,1,289,2026-06-15,1.60,1,125,21,6981/AL
186946,DESIGN HOUSE OLD TOWN | BALCONY | AIRCO | RIBEIRA,898831,1462532708454478723,Isabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14087,-8.61703,Entire home/apt,186,1,440,2026-06-06,2.45,2,292,29,52314/AL
189408,* “Historic Douro Cellar Apartment • Walk to Porto,913847,1462515089824416003,Andrea,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12775,-8.62612,Entire home/apt,177,1,59,2026-05-17,0.35,1,350,8,
191005,Luxury Apartment Downtown - Porto,923371,1462533382299084574,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15328,-8.60758,Entire home/apt,183,3,180,2026-06-17,1.06,2,277,14,5773/AL
