id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Huge flat for 8 people close to Sagrada Familia,71615,1462508358342835057,Maria Y Mireia Barcelona4Seasons,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,409,1,59,2026-05-28,0.37,20,123,9,Spain - National registration number<br />ESFCTU000008058000039706000000000000000HUTB-002062349<br /><br />Barcelona - Regional registration number<br />HUTB-002062
23197,CCIB Forum· Large Balcony · 5 min walk to CCIB,90417,1462509351463595774,Marnie,Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,388,2,99,2026-06-07,0.53,1,239,11,Spain - National registration number<br />ESFCTU000008106000547360000000000000000000HUTB0050572<br /><br />Barcelona - Regional registration number<br />HUTB-005057
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,1462508447204147103,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,397,1,304,2026-05-26,1.59,2,329,37,Spain - National registration number<br />ESFCTU000008119000093652000000000000000HUTB-001506712<br /><br />Barcelona - Regional registration number<br />HUTB-150671
36763,In front of the beach,158596,1462511238526662756,Ester,Ciutat Vella,la Barceloneta,41.38037,2.19272,Private room,43,31,108,2023-12-13,0.60,1,38,0,
40983,Architect's Loft near Gaudí & Passeig de Gràcia,177617,1462511822388459344,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,226,1,450,2026-06-19,2.46,5,289,56,Barcelona - Regional registration number<br />HUTB-001282<br /><br />Spain - National registration number<br />ESFCTU00000805400028019300000000000000000HUTB-0012821
49968,Sagrada Familia area - Còrsega 2,135703,1462509953012378156,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,,1,147,2026-01-02,0.81,1,0,11,Barcelona - Regional registration number<br />HUTB-001723<br /><br />Spain - National registration number<br />ESFCTU00000805800030001100000000000000000HUTB-0017235
71520,Charming apartment with fantastic views!,366428,1462516722092106469,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,418,5,1,2011-06-23,0.01,1,363,0,Barcelona - Regional registration number<br />HUTB-007966
71553,Best deals for penthouse near Sagrada Familia!,366654,1462511435656904170,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,276,2,86,2026-06-08,0.46,2,167,2,Barcelona - Regional registration number<br />HUTB-002424<br /><br />Spain - National registration number<br />ESFCTU00000807300018946600000000000000HUTB-002424-083
71736,Modernist apartment in the center minim 32 nights,368317,1462516745418595021,Nacharosa,Ciutat Vella,el Raval,41.38174,2.16663,Entire home/apt,108,31,10,2024-05-31,0.05,10,361,0,Spain - National registration number<br />ESFCNT00000805600004336500000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
72436,Lugaris Beach Business Apartment,375625,1462511481641845821,Lugaris Apartments Team,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,209,1,1194,2026-06-20,8.28,6,245,210,Barcelona - Regional registration number<br />HUTB-000173<br /><br />Spain - National registration number<br />ESFCTU00000807200078128100000000000000000HUTB-0001713
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,1462517455599259733,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,180,3,151,2026-06-16,0.86,10,105,28,Spain - National registration number<br />ESFCTU00000807300091781600000000000000000HUTB-0000835<br /><br />Barcelona - Regional registration number<br />HUTB-000083
80004,Parc Montjuic HUTB-004026 58,431839,1462518278115621558,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,156,7,220,2026-06-09,1.20,1,33,18,Barcelona - Regional registration number<br />HUTB-004026<br /><br />Spain - National registration number<br />ESFCTU00000806900038622600000000000000HUTB-004026 582
89776,Modernist aparment in the heart of the city,3556337,1462530585781598755,Alejandro,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,217,2,467,2026-06-03,2.62,89,279,52,Barcelona - Regional registration number<br />HUTB-002215<br /><br />Spain - National registration number<br />ESFCTU00000805400030100300000000000000HUTB-002215-959
