id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1258086169153283658,Baile Sheáin,14629546,Dori,Cork County Council,Cobh LEA-6,51.91230273756575,-8.3202303243448,Private room,,1,0,,,1,0,0,
1309602881143904934,Single Bedroom in Bray,666549142,Renata De Cassia,Wicklow County Council,Bray East LEA-4,53.19427,-6.1066,Private room,,2,0,,,1,0,0,
13862734,Double Room - City Centre - Smithfield,81920394,Michele,Dublin City Council,North Inner City LEA-7,53.34911,-6.27805,Private room,,3,0,,,1,0,0,
1384131602420131829,Sleeps 6 - 100mFromBeach - Ocean View Balcony,682491562,Travelnest,Cork County Council,Midleton LEA-7,51.941440202938956,-7.845725345026844,Entire home/apt,329,1,15,2026-05-30,1.06,39,344,11,
1709347880418146496,"Quiet house and neighborhood, very clean and safe.",651544078,Lucas,Fingal County Council,Rush-Lusk LEA-5,53.52726,-6.16134,Private room,75,5,0,,,1,357,0,
1684312102016661402,Cozy Living Beside Dublin Airport,1684306603087494696,Zia,Fingal County Council,Swords LEA-7,53.4542774,-6.231815,Private room,81,3,0,,,2,363,0,
4022632,A comfy bedroom in Edwardian House,5293394,Brian & Peter,Cork City Council,Cork City North East LEA-6,51.90634,-8.45669,Private room,,2,1,2014-10-01,0.01,1,0,0,
1175495839408164789,Parkside Georgian 1 Bed,177833932,Anna,Dublin City Council,South East Inner City LEA-5,53.33353707677559,-6.256079972147861,Entire home/apt,,14,3,2026-03-23,0.12,246,0,2,
1338414966696007803,Beautiful 3 bedroom house,107424178,Saravana,Meath County Council,Navan LEA-7,53.66691,-6.69383,Entire home/apt,160,13,0,,,1,37,0,
1160986368228475765,Beach Cabin B,36515945,⁨T.⁩,Galway County Council,Conamara South LEA-5,53.06629,-9.52191,Entire home/apt,154,3,8,2026-06-02,0.33,5,239,3,
21944708,Temple bar Luxury 3 (one bedroom with sofa bed),160171144,Gavin And  Anne,Dublin City Council,South East Inner City LEA-5,53.3442,-6.26731,Entire home/apt,,2,0,,,3,0,0,
1480493687007642229,Studio cabin in garden,388729033,Georgina,Fingal County Council,Ongar LEA-5,53.40191,-6.42945,Entire home/apt,88,1,0,,,1,365,0,
985954313071969504,The Beach House on the Wild Atlantic Way,95420318,Clare,Cork County Council,Bandon - Kinsale LEA-6,51.64494,-8.58535,Entire home/apt,312,1,67,2026-05-04,2.06,1,159,21,
46173500,Sage Double Room,129761206,Mairead,Wicklow County Council,Baltinglass LEA-6,53.20148,-6.46136,Private room,,1,9,2023-08-29,0.20,5,0,0,
575303172876290961,2 Bedoom Garden Terrace!,177833932,Anna,Dublin City Council,North Inner City LEA-7,53.34779,-6.26403,Entire home/apt,,14,8,2025-10-24,0.15,246,0,2,
641630601636974024,Beautiful apartment in Dublin 4 (Toñi),84343810,Toñi,Dublin City Council,Pembroke LEA-5,53.32829,-6.22288,Entire home/apt,,5,0,,,1,0,0,
989216943625837955,Mountain View,174427993,Noreen Marie,Kerry County Council,Killarney LEA-7,52.12047949999999,-9.4838375,Private room,109,1,40,2026-06-01,1.27,4,6,17,
1060275259909291639,Delhurst Spacious home,554055200,Safe Home,Fingal County Council,Ongar LEA-5,53.3921,-6.43778,Private room,,1,0,,,1,0,0,
1442178108453031136,1 Bed (J) for Females only| Shared with 3 girls,127935371,Gabriela,Dublin City Council,North Inner City LEA-7,53.3577,-6.28137,Shared room,,5,2,2026-05-27,0.19,11,0,2,
1088453588969189858,b53 square view,189177536,Alex,Kildare County Council,Maynooth LEA-5,53.38095,-6.58902,Private room,197,1,26,2026-06-01,0.94,4,332,13,
13043103,"Double bed, Ensuite, creative household.",25497134,Paul,Dublin City Council,Pembroke LEA-5,53.31916,-6.24376,Private room,,9,0,,,1,0,0,
12054202,Cosy Apartment Close to City Centre,19723277,Laura,Dublin City Council,Cabra-Glasnevin LEA-7,53.35793,-6.28853,Entire home/apt,,2,12,2017-05-31,0.10,1,0,0,
1581048620943195565,2 Bedroom Luxury House,26224119,David,Cork City Council,Cork City North East LEA-6,51.903596875445324,-8.455171103896502,Entire home/apt,240,1,0,,,17,150,0,
19654606,Single room in lovely house safe estate,138202210,Gerard,Fingal County Council,Balbriggan LEA-5,53.60981,-6.19478,Private room,,1,8,2017-09-19,0.07,2,0,0,
27477522,Private space in Dublin Home,67785197,Neil,Dun Laoghaire-rathdown County Council,Stillorgan LEA-6,53.2859,-6.2126,Private room,,2,2,2018-08-26,0.02,1,0,0,
36028449,Beautiful Double Bedroom with private Ensuite,197112795,Brendan,Dublin City Council,South West Inner City LEA-5,53.34057,-6.27719,Private room,,2,4,2019-08-30,0.05,1,0,0,
35560132,Private room with bathroom in Kilmainham,154668607,Dani,Dublin City Council,South West Inner City LEA-5,53.34248,-6.31363,Private room,,1,10,2022-06-29,0.19,1,0,0,
40254010,Acomodação Temporária,213964278,Nielton,South Dublin County Council,Rathfarnham-Templeogue LEA-7,53.29572,-6.3089,Private room,,30,0,,,1,0,0,
7709781,"Modern, light filled retreat in rural west Kerry",40501378,Mai,Kerry County Council,Corca Dhuibhne LEA-3,52.17522,-10.42741,Entire home/apt,277,4,63,2026-05-31,0.58,1,318,6,
1624034738703917734,"New Detached house
For week of Irish Open",80763901,Stephen,Clare County Council,Kilrush LEA-5,52.64047292851466,-9.52151435314181,Entire home/apt,3195,3,0,,,2,9,0,
1515822221261174224,4 Bed in Carrigaholt (oc-ii15582),518897561,Shamrock Cottages,Clare County Council,Kilrush LEA-5,52.6056337731619,-9.728196862589447,Entire home/apt,577,2,0,,,164,321,0,
1653557151894122137,Perfect 4 that Family Holiday in Sunny South East!,354416273,Paul,Wexford County Council,Kilmuckridge LEA-4,52.44037,-6.35735,Entire home/apt,178,2,5,2026-06-20,4.55,1,148,5,
1709577754416863786,Cloverfield House,1709577604889766258,Tim,Kerry County Council,Castleisland LEA-4,52.3064411,-9.2834012,Entire home/apt,131,1,0,,,1,274,0,
820867072081606102,cosy cottage.,224773286,Emma,Clare County Council,Ennistimon LEA-4,53.011067677672315,-8.931586369872093,Private room,92,2,8,2026-05-25,0.20,1,177,2,
1467390267608084742,2 bedrooms in Country Farm House,63593945,Wendy,Tipperary County Council,Carrick-on-suir  LEA-5,52.521767221498486,-7.846214319280852,Private room,153,1,25,2026-06-16,2.23,2,332,25,
1648600859160383332,Peacefully located in a beautiful new house,135660263,Ali,Westmeath County Council,Athlone LEA-5,53.43652,-7.92796,Entire home/apt,124,1,1,2026-06-10,1,1,359,1,
1349454931617049895,Chico,104351109,Mark,Westmeath County Council,Athlone LEA-5,53.420513550588794,-7.907437706397982,Private room,,1,0,,,1,365,0,
1608233134900899866,McGinns cottage,233252390,Fidelma,Offaly County Council,Birr LEA-6,53.1767,-7.72544,Entire home/apt,147,2,4,2026-06-19,1.41,1,314,4,
1637161038007451406,Athy Comfort homes,677042023,Praise,Kildare County Council,Athy LEA-5,52.99617,-6.97923,Private room,72,1,1,2026-05-30,1,1,355,1,
1463700801621598827,The Quay Lodge Room 28,704454278,Paul,Wexford County Council,Wexford LEA-7,52.339644904761414,-6.462111984130856,Private room,100,1,0,,,9,275,0,
1116414770146212129,Lakeside Three Bedroom Apartment,567028513,Ian,Sligo County Council,Sligo-Drumcliff LEA-5,54.25832211349508,-8.381726149715549,Entire home/apt,271,2,0,,,1,239,0,
1179459852156003625,Grace Cottage,143571058,John,Donegal County Council,Lifford-Stranorlar LEA-6,54.7508923,-7.591516199999999,Private room,115,1,0,,,3,269,0,
1678951000522256267,1 bedroom apartment twin,,,Dublin City Council,South East Inner City LEA-5,53.34634,-6.25188,Private room,140,1,0,,,,348,0,
1634149280162055646,Eagles Rock.,304908396,Bree,Donegal County Council,Donegal LEA-6,54.47645016627509,-8.312625862065456,Private room,130,1,9,2026-06-16,6.92,1,355,9,
1445104415639969440,Peaceful Terenure Mountain View,70154490,R Gar And G,Dublin City Council,Kimmage-Rathmines LEA-6,53.31196,-6.27829,Entire home/apt,135,7,1,2025-08-09,0.09,29,364,1,
1614283766999870843,Sea and City Stay Own Home,52699181,Mel,Dun Laoghaire-rathdown County Council,Dún Laoghaire LEA-7,53.28465,-6.15325,Entire home/apt,251,2,0,,,6,7,0,
22978321,The Kilcar house,129254651,Chris,Donegal County Council,Donegal LEA-6,54.64845,-8.58577,Entire home/apt,120,3,77,2026-06-15,0.80,1,121,14,
1375457960703636054,City Centre Double room,457386693,Albert,Cork City Council,Cork City South Central LEA-6,51.89376,-8.47056,Private room,133,3,2,2026-05-09,0.15,1,5,1,
1197856608401032401,Double Room with Sweets & Fruits,429226152,Amjed,Dublin City Council,Ballyfermot-Drimnagh LEA-5,53.32434,-6.32725,Private room,113,1,6,2025-05-26,0.43,1,267,0,
665371844228896050,Rainbows End,234993426,Sykes Holiday Cottages,Galway County Council,Conamara North LEA-4,53.48905,-9.99493,Entire home/apt,,1,6,2026-04-25,0.17,346,362,3,
1176522176854949312,Oonagh’s Place,582590648,Oonagh,Kilkenny County Council,Kilkenny LEA-7,52.648690575009724,-7.251158282160759,Entire home/apt,537,2,34,2026-05-24,1.89,1,202,22,
1709518013271526711,5 Bedroom Full Apartment Dublin,160402201,Eszter,Dublin City Council,Artane-Whitehall LEA-6,53.3883348,-6.2569374,Entire home/apt,337,4,0,,,29,39,0,
1375150755504779913,Cottage 474 - Kylemore,105690532,Love Connemara Cottages,Galway County Council,Conamara North LEA-4,53.55497629740909,-9.897656506548545,Entire home/apt,,2,1,2025-08-05,0.09,96,363,1,
1617463122620474084,Bragan Mountain View Airbnb Budget Double Room,700027137,Gretta,Monaghan County Council,Monaghan LEA-7,54.338,-7.02527,Private room,97,1,0,,,2,318,0,
1350695941854701029,1 bed Airport Room sharedroom,673732226,Jose,Dublin City Council,Ballymun-Finglas LEA-6,53.399384338141495,-6.255738261469743,Shared room,88,1,0,,,4,365,0,
1154791002569057233,Glena Lodge,473145984,Ronan,Donegal County Council,Donegal LEA-6,54.47725344789661,-8.29134975458977,Private room,69,1,55,2026-06-01,3.40,5,252,40,
45545418,Fiddlestone Riverside Cottage,368763062,The Fiddlestone,Donegal County Council,Donegal LEA-6,54.47927,-8.0952,Entire home/apt,134,4,0,,,1,353,0,
691204316891545934,Beautiful Countryside Two Storey House,92856516,Nuala,Carlow County Council,Muinebeag LEA-5,52.63576,-6.90828,Entire home/apt,400,1,44,2026-05-24,0.94,1,62,8,
1123839987196190629,Private Room in the Country.,68817496,Martha,Kilkenny County Council,Castlecomer LEA-6,52.71568,-7.13187,Private room,,1,0,,,1,269,0,
37907463,Curran’s B&B 3,135509826,Kathleen,Donegal County Council,Donegal LEA-6,54.64616,-8.44459,Private room,80,1,57,2026-06-08,1.12,2,339,15,
1055652629177487045,Ned’s Cottage,29826526,Breda,Donegal County Council,Glenties LEA-6,55.027826930308734,-8.366310484707355,Entire home/apt,179,3,1,2024-05-12,0.04,1,228,0,
53913537,LOVELY 2 BED GROUND FLOOR APARTMENT,407054283,Julieann,Cork County Council,Bantry-West Cork LEA-4,51.6607,-9.84605,Entire home/apt,136,7,0,,,1,363,0,
1708842303386589045,Glamping Commenara Hut & Alpaca Farm Experience,80526203,Eamon,Galway County Council,Conamara North LEA-4,53.47461,-9.40856,Entire home/apt,136,1,0,,,2,20,0,
1140695080912611551,Studio apartment in South Dublin,361763748,Gavin,Dublin City Council,Kimmage-Rathmines LEA-6,53.32225,-6.2684,Entire home/apt,,28,0,,,1,269,0,
1689839368947779361,Central Home Kenmare,236951715,Cat,Kerry County Council,Kenmare LEA-6,51.8839747,-9.592764599999999,Entire home/apt,426,2,0,,,3,337,0,
638999659805460364,Welcome to Sheehy’s Room 3,410121542,Mary,Kerry County Council,Corca Dhuibhne LEA-3,52.14575,-10.28391,Private room,92,1,55,2026-06-14,1.11,3,4,18,
579817673783942666,Double room near Kerry Technology Park,281554409,Margaret,Kerry County Council,Castleisland LEA-4,52.2711,-9.59002,Private room,97,1,29,2026-06-21,0.58,2,3,1,
1313797696261677830,Cosy & Relaxing Ensuite in Dublin Town,565014135,⁨The Hosting Co.⁩,Dublin City Council,North Inner City LEA-7,53.35157,-6.2505,Private room,98,1,93,2026-06-12,5.13,5,17,58,
1195471332168519690,Countryside Retreat Dingle,420360435,Experience Dingle,Kerry County Council,Corca Dhuibhne LEA-3,52.1744113,-10.2866743,Entire home/apt,256,2,12,2026-04-26,0.52,68,297,5,
1445884272486592445,City Centre Apartment - Walk Everywhere,103567560,Paul,Dublin City Council,North Inner City LEA-7,53.3475767489646,-6.261918340879774,Entire home/apt,210,1,25,2026-06-11,3.71,3,96,25,
687778124103144119,Central townhouse w/private garden/patio,88890337,Emma,Kerry County Council,Tralee LEA-7,52.27666,-9.69835,Private room,,2,6,2024-08-26,0.13,1,0,0,
49965835,Cosy Lodge close to Galway city,145519288,Cara,Galway County Council,Conamara South LEA-5,53.30985,-9.15502,Entire home/apt,,2,53,2023-08-27,0.87,1,0,0,
49977544,"Ard na Gréine, Spiddal - Close to beach!",18051791,Elizabeth & Conor,Galway County Council,Conamara South LEA-5,53.25452,-9.29013,Entire home/apt,,3,6,2024-08-10,0.10,2,0,0,
726875978606014097,1Double Bed in private room w Hot Tub & pool table,481574074,David,Louth County Council,Ardee LEA-6,53.84833,-6.54297,Private room,,1,32,2024-11-07,0.72,2,0,0,
50210326,A Double Warm Welcome In Malahide,405260876,Mary,Fingal County Council,Howth-Malahide LEA-7,53.447842,-6.143473,Private room,,2,119,2025-09-25,2.01,3,0,7,
49746355,Private room Dublin 6 quiet place,13239371,Iliane,Dublin City Council,Kimmage-Rathmines LEA-6,53.31425476074219,-6.287014007568359,Private room,,6,32,2025-08-31,0.52,1,0,2,
1704641192362146990,Single Room in cork city center,466435002,Ahsan,Cork City Council,Cork City North West LEA-6,51.90775334796787,-8.4756775572896,Private room,80,1,0,,,4,364,0,
50372714,"Spacious Single Rm, 10mins walk to Swords Village",37229103,Laura,Fingal County Council,Swords LEA-7,53.46466,-6.22662,Private room,,1,1,2021-09-12,0.02,1,0,0,
617772292313800493,2 bed centrally located apartment in Westport,385728136,Liam,Mayo County Council,Westport LEA-4,53.79913,-9.52144,Entire home/apt,225,3,2,2025-08-12,0.04,1,87,1,
1473833684500586015,Christchurch Cathedral View,177833932,Anna,Dublin City Council,South East Inner City LEA-5,53.34118,-6.27143,Entire home/apt,,1,1,2025-07-30,0.09,246,0,1,
1146509048820866486,House in fab location,82438521,Lynda,Cork County Council,Skibbereen-West Cork LEA-5,51.5738,-9.03583,Entire home/apt,,4,7,2024-08-08,0.30,1,0,0,
1256431571807982369,"Private room in ""Killneneagh"" Co.Monaghan",654584453,Chantal,Monaghan County Council,Carrickmacross-Castleblayney LEA-6,54.04288,-6.7102,Private room,111,1,6,2025-10-05,0.42,1,6,5,
10780210,The Hatch Home,55770197,Luke,Dublin City Council,South East Inner City LEA-5,53.33255,-6.2583,Private room,,1,0,,,1,0,0,
19429368,Beautiful 1 bedroom apartment in Rathmines,3689813,Roberta,Dublin City Council,Kimmage-Rathmines LEA-6,53.32417,-6.26563,Entire home/apt,,7,0,,,1,0,0,
23780358,"Room to rent with netflix private own door
Safe",178416193,Fashing,Dublin City Council,North Inner City LEA-7,53.36315,-6.25579,Entire home/apt,,1,0,,,1,0,0,
21287198,"De Luxe room with King Bed, Parking, Wi-Fi Quiet",41066263,Liam,Kerry County Council,Killarney LEA-7,52.06149,-9.49202,Private room,64,1,335,2026-06-14,3.18,1,4,81,
18220420,Beautiful unique large period house,59188042,Sonia,Dublin City Council,Kimmage-Rathmines LEA-6,53.32279,-6.26982,Entire home/apt,,5,25,2024-08-25,0.23,1,0,0,
