id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11551,Artistic London Pied-à-Terre,43039,1462507475108972681,Adriano,,Lambeth,51.46095,-0.11758,Entire home/apt,235,1,196,2026-06-05,0.99,1,330,6,
13913,Holiday London DB Room Let-on going,54730,1462507796255381667,Alina,,Islington,51.56861,-0.1127,Private room,127,1,57,2026-03-31,0.30,2,351,3,
15400,Bright Chelsea  Apartment. Chelsea!,60302,1462507970949884182,Philippa,,Kensington and Chelsea,51.4878,-0.16813,Entire home/apt,138,4,98,2026-03-30,0.49,1,80,1,
17402,Spacious Fitzrovia 3bed/2bath By Soho & Oxford St,67564,1462508228829136695,Liz,,Westminster,51.52195,-0.14094,Entire home/apt,607,3,57,2026-01-03,0.31,2,71,1,
24328,Battersea live/work artist house with car park,41759,1462507453126203501,Joe,,Wandsworth,51.47072,-0.16266,Entire home/apt,228,3,95,2025-07-05,0.50,1,187,1,
36299,Kew Gardens 3BR house in cul-de-sac,155938,1462511158327002999,Geert,,Richmond upon Thames,51.48145,-0.28107,Entire home/apt,261,3,116,2025-12-01,0.61,1,278,1,
36660,You are GUARANTEED to love this,157884,1462511226615682713,Agri & Roger,,Haringey,51.58478,-0.16057,Private room,80,2,757,2026-06-05,3.94,2,266,39,
38605,SUNNY ROOM PRIVATE BATHROOM PLUS BREAKFAST,165579,1462510162939829834,Elisa & Dom,,Hammersmith and Fulham,51.50681,-0.23345,Private room,,2,388,2025-12-21,2.03,2,0,1,
38995,SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT,167281,1462511540106933883,Cesar,,Southwark,51.4786,-0.06114,Private room,72,1,77,2026-05-16,0.99,1,176,6,
39387,Stylish bedsit in Notting Hill ish flat.,168920,1462511577442893471,David Alec,,Westminster,51.52605,-0.19942,Private room,,5,10,2019-11-03,0.07,1,0,0,
41509,Room in maisonette in chiswick,181028,1462511910955800837,Peter,,Hounslow,51.49351,-0.25568,Private room,,1,71,2019-12-23,0.39,1,0,0,
42010,You Will Save Money Here,157884,1462511226615682713,Agri & Roger,,Barnet,51.5859,-0.16434,Private room,72,2,672,2026-06-14,3.51,2,268,46,
43129,Quiet Comfortable Room in Fulham,188138,1462510333037837707,Sylvan,,Hammersmith and Fulham,51.48164,-0.21082,Private room,61,3,289,2026-06-22,1.83,3,217,32,
43202,Beautiful 1 bed apt in Queens Park,188559,1462512145162302914,Calypso,,Brent,51.53031,-0.21713,Entire home/apt,,4,151,2026-01-02,0.89,1,0,11,
45163,Room with a garden,199530,1462512461910336159,Deb,,Camden,51.55312,-0.1975,Private room,68,3,1,2021-11-01,0.02,1,251,0,
45168,Best Part of Town -Home from Home!,199549,1462512462666863737,Lina,,Westminster,51.51812,-0.1977,Entire home/apt,,3,101,2020-01-03,0.53,1,0,0,
46992,"Beautiful, Luxurious Art Deco  +private bathroom",211291,1462510469088692354,Alix,,Hackney,51.55165,-0.05215,Private room,,3,224,2022-08-13,1.17,1,0,0,
47192,Pleasant Single Room in zone 1.,212734,1462512799279329584,Dino,,Camden,51.52958,-0.14344,Private room,67,2,456,2024-08-20,2.38,1,267,0,
47687,Cosy Double studio in Zone 2 Hammersmith (6),216660,1462512896698315543,Boris,,Hammersmith and Fulham,51.4934,-0.22929,Entire home/apt,78,2,266,2026-05-24,1.39,11,125,53,
49970,Beautiful Small Studio Hammersmith,216660,1462512896698315543,Boris,,Hammersmith and Fulham,51.49462,-0.22923,Hotel room,75,1,310,2026-06-05,1.64,11,205,60,
52624,Close to Wimbledon All England Tennis -huge double,243610,1462513592247206883,Beverley,,Merton,51.419262,-0.2122613,Private room,114,2,23,2026-04-22,1.02,3,323,13,
55402,"Modern 2 Bed 2 Bath, UK, Croydon",57861,1462507908633028135,Beth,,Croydon,51.37487,-0.11565,Entire home/apt,,180,7,2024-03-30,0.07,1,0,0,
