id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
83515,GALLERY B&B SUITE,455118,1462518840237426090,Meghan,Salt Spring Island,Salt Spring Island,48.86222,-123.49996,Entire home/apt,234,1,199,2026-07-19,1.07,1,184,35,Municipal registration number: PM227408814<br />Provincial registration number: PM227408814
168460,Perfectly located lovely home,802981,1462529882106213111,Deborah,Victoria,James Bay,48.4162,-123.3679,Entire home/apt,57,90,64,2018-08-26,0.38,1,144,0,
185732,Romantic 2 bedroom private suite,880366,1462532172397303151,Peter,Highlands,Highlands,48.50589,-123.46357,Private room,45,90,52,2019-09-22,0.29,3,365,0,
193366,Tudor Cottage,937766,1462533753636297487,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,172,30,163,2026-06-15,0.93,1,135,2,Provincial registration number: H726252465
201427,Economical forest mountain getaway,880366,1462532172397303151,Peter,Highlands,Highlands,48.50459,-123.46259,Private room,24,90,51,2020-02-22,0.30,3,365,0,
201441,Deluxe quiet romantic escape,880366,1462532172397303151,Peter,Highlands,Highlands,48.50474,-123.46352,Private room,27,90,12,2019-07-26,0.09,3,365,0,
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,1462515602274000401,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86653,-123.35066,Entire home/apt,177,4,476,2026-07-14,2.86,1,208,2,Provincial registration number: H183516752
226028,Victoria LEED Home (upper floor),1178351,1462538998788161257,Allison,Victoria,Fernwood,48.4268098119388,-123.3511818572016,Entire home/apt,169,21,265,2026-07-01,1.47,1,257,5,Provincial registration number: H644615280
330706,Downtown 2BR Sunset Suite near Chinatown w/Parking,21376528,1462616971251375655,Lesley,Victoria,Downtown,48.42909,-123.36384,Entire home/apt,58,90,381,2024-04-27,3.88,19,292,0,
394086,A Great Hotel Alternative,1923756,1462581874613680088,Bobbie,Victoria,North Jubilee,48.43202,-123.32535,Private room,42,90,128,2024-12-17,0.74,2,364,0,
401073,Oceanside James Bay Heritage Suite #5,2001974,1462583827202115304,Victoria Stays,Victoria,James Bay,48.41282,-123.37677,Entire home/apt,,90,22,2023-06-30,0.16,17,187,0,
405558,James Bay Menzies-Dallas Oceanside Suite #2,2001974,1462583827202115304,Victoria Stays,Victoria,James Bay,48.41101,-123.37691,Entire home/apt,33,90,30,2022-10-31,0.17,17,153,0,
408315,Longstay Sidney waterfront home on Roberts Bay,2032438,1462584637102260063,Adrian Hugh,Sidney,Sidney,48.66168,-123.40394,Entire home/apt,143,91,25,2026-07-19,0.17,1,178,1,
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,1462583827202115304,Victoria Stays,Victoria,Fernwood,48.42599,-123.33919,Entire home/apt,,90,27,2023-07-31,0.16,17,0,0,
410542,Rockland 1 Bedroom Suite Near Downtown,2001974,1462583827202115304,Victoria Stays,Victoria,Rockland,48.42436,-123.341,Entire home/apt,29,90,24,2025-10-22,0.14,17,238,1,
416786,Renovated Townhouse Near Downtown,2001974,1462583827202115304,Victoria Stays,Victoria,Fernwood,48.42634,-123.34648,Entire home/apt,44,90,24,2023-08-22,0.14,17,117,0,
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,1462581874613680088,Bobbie,Victoria,North Jubilee,48.43202,-123.32673,Private room,46,90,95,2024-11-05,0.56,2,364,0,
461498,Suite in Restored Heritage Property Suite #5,2001974,1462583827202115304,Victoria Stays,Victoria,Rockland,48.42398,-123.33868,Entire home/apt,30,90,28,2024-12-14,0.16,17,301,0,
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,1462583827202115304,Victoria Stays,Victoria,Rockland,48.42491,-123.34019,Entire home/apt,44,90,36,2025-12-21,0.21,17,365,1,
463027,Oceanside Suite in James Bay #3,2001974,1462583827202115304,Victoria Stays,Victoria,James Bay,48.41235,-123.37658,Entire home/apt,29,90,27,2024-08-31,0.16,17,299,0,
472025,Bloom Organic B&B - Orchard Suite,2230573,1462589725568993128,Anna,Salt Spring Island,Salt Spring Island,48.92716,-123.57325,Private room,76,90,32,2023-08-26,0.22,1,365,0,
514811,Waterfront Walks & Welcome Foodies,393956,1462511585322480416,Rhona,Saanich,Saanich,48.45318,-123.41749,Entire home/apt,120,30,303,2026-07-02,1.76,1,162,3,Provincial registration number: H243392227
515418,High-End 2-Bedroom Suite,2001974,1462583827202115304,Victoria Stays,Victoria,Rockland,48.42474,-123.33922,Entire home/apt,41,90,11,2023-03-31,0.06,17,329,0,
