quarter,scenario,line,value,source
3Q26,bear,nights_yoy_pct,8.5,bridge v3 band lo
3Q26,bear,nights_mm,144.956,bridge v3 band lo
3Q26,bear,adr_exfx_yoy_pct,2.46,bridge v3 band lo
3Q26,bear,fx_pts_adr,-0.43,bridge v3 band lo
3Q26,bear,adr_reported_yoy_pct,2.03,bridge v3 band lo
3Q26,bear,adr_usd,174.7672,bridge v3 band lo
3Q26,bear,gbv_busd,25.3509,bridge v3 band lo
3Q26,bear,gbv_yoy_pct,10.7025,bridge v3 band lo
3Q26,bear,lagged_gbv_busd,27.8667,bridge v3 band lo
3Q26,bear,revenue_musd,4804.0355,bridge v3 band lo
3Q26,bear,revenue_yoy_pct,17.3147,bridge v3 band lo
3Q26,bear,revenue_conversion_lo_musd,4777.8744,bridge v3 band lo
3Q26,bear,revenue_conversion_hi_musd,4846.2321,bridge v3 band lo
3Q26,bear,take_rate_printed_pct,18.9502,bridge v3 band lo
3Q26,bear,take_rate_prior_year_pct,17.8821,bridge v3 band lo
3Q26,bear,take_rate_change_pts,1.0681,bridge v3 band lo
3Q26,bear,revenue_alt_same_q_take_rate_musd,4533.2694,bridge v3 band lo
3Q26,bear,fx_pts_revenue_memo,3.0,bridge v3 band lo
3Q26,bear,revenue_exfx_yoy_memo_pct,14.3147,bridge v3 band lo
3Q26,bear,gbv_identity_gap_pct,-0.0684,bridge v3 band lo
3Q26,bear,take_rate_int06_at_registered_revenue_pct,18.9978,bridge v3 band lo
3Q26,bear,take_rate_int06_at_kernel_revenue_pct,18.9502,bridge v3 band lo
3Q26,bear,take_rate_int06_p_ge_18p10,0.968,bridge v3 band lo
3Q26,bear,take_rate_int06_registered_pct,18.14,bridge v3 band lo
3Q26,bear,take_rate_int06_flip_gbv_busd,26.6083,bridge v3 band lo
4Q26,bear,nights_yoy_pct,8.0,bridge v3 band lo
4Q26,bear,nights_mm,131.652,bridge v3 band lo
4Q26,bear,adr_exfx_yoy_pct,2.62,bridge v3 band lo
4Q26,bear,fx_pts_adr,0.15,bridge v3 band lo
4Q26,bear,adr_reported_yoy_pct,2.77,bridge v3 band lo
4Q26,bear,adr_usd,172.15,bridge v3 band lo
4Q26,bear,gbv_busd,22.6423,bridge v3 band lo
4Q26,bear,gbv_yoy_pct,10.9916,bridge v3 band lo
4Q26,bear,lagged_gbv_busd,25.9673,bridge v3 band lo
4Q26,bear,revenue_musd,3123.807,bridge v3 band lo
