quarter,scenario,adr_exfx_yoy_pct,adr_reported_yoy_pct,adr_usd,fx_pts_adr,fx_pts_revenue_memo,gbv_busd,gbv_identity_gap_pct,gbv_yoy_pct,lagged_gbv_busd,nights_mm,nights_yoy_pct,revenue_alt_same_q_take_rate_musd,revenue_conversion_hi_musd,revenue_conversion_lo_musd,revenue_exfx_yoy_memo_pct,revenue_musd,revenue_yoy_pct,take_rate_change_pts,take_rate_int06_at_kernel_revenue_pct,take_rate_int06_at_registered_revenue_pct,take_rate_int06_flip_gbv_busd,take_rate_int06_p_ge_18p10,take_rate_int06_registered_pct,take_rate_printed_pct,take_rate_prior_year_pct
3Q26,base,3.86,3.43,177.1652,-0.43,3.0,26.028,-0.0684,13.6592,27.8667,146.813,9.89,4654.3453,4846.2321,4777.8744,14.3147,4804.0355,17.3147,0.5751,18.4572,18.5036,26.6083,0.8037,18.14,18.4572,17.8821
3Q26,bear,2.46,2.03,174.7672,-0.43,3.0,25.3509,-0.0684,10.7025,27.8667,144.956,8.5,4533.2694,4846.2321,4777.8744,14.3147,4804.0355,17.3147,1.0681,18.9502,18.9978,26.6083,0.968,18.14,18.9502,17.8821
3Q26,bull,5.27,4.84,179.5804,-0.43,3.0,26.6493,-0.0684,16.3724,27.8667,148.296,11.0,4765.4498,4846.2321,4777.8744,14.3147,4804.0355,17.3147,0.1448,18.0269,18.0722,26.6083,0.4759,18.14,18.0269,17.8821
4Q26,base,4.07,4.22,174.5789,0.15,0.98,22.9873,0.0954,12.6827,26.4186,131.7983,8.12,3130.3244,3201.2166,3156.008,13.4227,3178.1078,14.4027,0.2079,,,,,,13.8255,13.6176
4Q26,bear,2.62,2.77,172.15,0.15,0.98,22.6423,0.0954,10.9916,25.9673,131.652,8.0,3083.3466,3146.5209,3102.0848,11.4681,3123.807,12.4481,0.1787,,,,,,13.7963,13.6176
4Q26,bull,5.51,5.66,176.9911,0.15,0.98,23.4644,0.0954,15.0215,26.8329,132.7003,8.86,3195.2966,3251.4076,3205.4902,15.2164,3227.9366,16.1964,0.1391,,,,,,13.7568,13.6176
1Q27,base,3.478,3.176,192.7534,-0.301,0.93,32.5996,-0.0641,11.6426,24.0008,169.0178,8.206,2989.7894,3128.384,2958.2216,13.0778,3053.1293,14.0078,0.1943,,,,,,9.3655,9.1712
1Q27,bear,1.503,-0.875,185.1853,-2.378,-1.01,30.3069,-0.0641,3.7908,23.5452,163.5523,4.707,2779.518,3068.9888,2902.0571,12.8533,2995.1629,11.8433,0.7115,,,,,,9.8828,9.1712
1Q27,bull,3.954,5.73,197.5248,1.775,2.88,34.1223,-0.0641,16.857,24.526,172.6385,10.524,3129.4311,3196.8391,3022.9532,13.6225,3119.9376,16.5025,-0.0278,,,,,,9.1434,9.1712
2Q27,base,3.087,2.894,189.0471,-0.193,0.62,29.6479,0.1734,8.9997,29.3955,157.1001,5.934,3932.7103,4099.4831,3953.2896,11.048,4028.9807,11.668,0.3247,,,,,,13.5894,13.2647
2Q27,bear,1.469,-0.798,182.2638,-2.267,-1.92,27.7994,0.1734,2.2039,27.752,152.7876,3.026,3687.515,3870.2846,3732.2646,7.3447,3803.7239,5.4247,0.418,,,,,,13.6827,13.2647
2Q27,bull,3.92,5.801,194.3882,1.881,3.16,31.3161,0.1734,15.1326,30.5696,161.3801,8.82,4153.9859,4263.2238,4111.1911,12.9682,4189.9054,16.1282,0.1147,,,,,,13.3794,13.2647
3Q27,base,2.648,2.682,181.9168,0.034,0.31,28.3908,-0.0684,9.0781,30.6318,155.958,6.229,5240.1488,5327.1162,5251.9755,9.6128,5280.7325,9.9228,0.1429,,,,,,18.6002,18.4572
3Q27,bear,1.296,-0.198,174.4211,-1.494,-2.22,26.1622,-0.0684,3.2003,28.6353,149.8918,3.405,4957.777,4979.8984,4909.6554,4.9781,4936.538,2.7581,-0.0812,,,,,,18.869,18.9502
