name,value,unit,source,is_judgement,note
kernel_lambda_Q1,0.127209,revenue / lagged GBV,"2023-25 mean of revenue_q / (2/3 GBV_{q-1} + 1/3 GBV_{q-2}), 02_kpi_panel_quarterly.csv; B3 gives 0.126938 (0.03pt apart, GBV rounding)",False,
kernel_lambda_Q2,0.137061,revenue / lagged GBV,same; B3 0.137136,False,
kernel_lambda_Q3,0.172394,revenue / lagged GBV,same; equals bridge v3 conversion_mean 3Q26 exactly,False,
kernel_lambda_Q4,0.120298,revenue / lagged GBV,same; equals bridge v3 conversion_mean 4Q26 exactly,False,
kernel_weight_w,0.6666666666666666,share on GBV_{q-1},"B3 published weight; bridge v3; band [0.33, 2/3] shown as comparison",False,
3Q26_nights_yoy_pct,9.89,pct,"h2_bridge_v3_rebased_lines.csv (team baseline, PR #32 base); band 8.5-11.0 reviews stays index",False,
4Q26_nights_yoy_pct,8.12,pct,"h2_bridge_v3_rebased_lines.csv (ADR v3 N memo case B, WS-D global lap, 45% ex-NA split); band 8.0-8.86",False,
3Q26_adr_exfx_pct,3.86,pct,"h2_bridge_v3_rebased_lines.csv (ADR v3 card v3_with_K, midpoint FX)",False,
4Q26_adr_exfx_pct,4.07,pct,same,False,
3Q26_fx_pts_adr,-0.43,pp,"h2_bridge_fx.csv, ADR v3 midpoint of EUR fit and regional baskets",False,
4Q26_fx_pts_adr,0.15,pp,same,False,
3Q26_fx_pts_revenue,3.0,pp,h2_bridge_v3_fx_line.csv: management ~3 after hedging (6 Aug letter),False,
4Q26_fx_pts_revenue,0.98,pp,"h2_bridge_v3_fx_line.csv: fx_lag_v2 kernel Phi x 0.851, spot held",False,
na_underlying_2026_pts,3.31,pct y/y,"choice model, no product lever (nights_quarterly_na.csv underlying_pts; analysis/src/nights_quarterly.py)",False,
na_underlying_2027_pts,2.31,pct y/y,"same; the 1.0pt step 2026->2027 is the choice model's annual rate change, placed on 1Q27",False,
pr32_rnpl_na_pts,2.4,pts of NA nights,re-derived: NA 3Q25 5.0 - FY25 NA 2.6 (nights_quarterly.py fit_product),False,
pr32_t1_cancel_na_pts,2.29,pts of NA nights,re-derived: (NA 1Q26 8.0 - underlying 2026) - RNPL,False,
mgmt_global_bundle_1Q26_pts,3.0,pts of total nights,"Mertz, 1Q26 call (~3 pts); ledger D032",False,
na_share_1H26,0.291,share of nights,"FY25 NA share 29.6% (10-K regional, 158/533) chained with 1H26 NA +8% vs total +9.7%; judgement on the chain",True,
na_share_3Q26,0.288,share of nights,PR #32 NA_SHARE (WS10 nights_share_est 28.8),False,
na_share_4Q26,0.282,share of nights,PR #32 NA_SHARE (WS10 28.2); the weight the bridge's 4Q26 decomposition used,False,
exna_bundle_total_pts,1.649,pts of total nights,3.0 - 0.288 x 4.69 = 1.65; the figure N memo / WS-D used (D1_exna_4q26_gap: 100% case = 1.75 at PR #32's 0.266 weight),False,
exna_fee_cancel_share_of_bundle,0.45,share,ADR v3 N memo case B point: midpoint of WS-D's pinned 40-50% (D1_exna_4q26_gap.csv); adopted in bridge v3,False,
exna_rnpl_lap_fraction_1Q27,0.4,share of the ex-NA RNPL leg lapped in 1Q27,"D1_lap_anniversary.csv: ex-NA RNPL live 17 Feb-4 Mar 2026, roughly the last 5-6 of 13 weeks of 1Q26, ramping; 1Q27 lap is partial, 2Q27 full. Fraction is judgement.",True,
pr32_bull_new_lever_na_pts,2.35,pts of NA nights,PR #32 bull: a new lever half the old bundle's size for FY27 (unnamed feature),True,
pr32_bear_t2_fee_na_pts,-1.0,pts of NA nights,"PR #32 bear: single fee tranche 2 (13 Oct 2026) at payout-neutral re-pricing costs nights, window 4Q26-3Q27",True,
middle_east_base_effect_1Q27_pts,1.0,pts of total nights,"CFO Mertz, 1Q26 call: nights grew 9% after an approximate 100bp headwind from the Middle East conflict (10_regional note s.202); 1Q27 laps that base. Bear 0 (recurrence).",False,
world_cup_booking_lap_2Q27_pts,-0.5,pts of total nights,"World Cup stay nights booked 4Q25-2Q26, never sized by Airbnb (WS10, WS29); 2Q27 laps the peak booking quarter. Base -0.5, bear -0.75, bull 0.",True,
rnpl_eligibility_expansion_lap_3Q27_pts,0.0,pts of total nights,"July 2026 RNPL expanded booking types (D044) laps in 3Q27, not 2Q27 as WS29 labels; unsized, carried at zero",True,
ws10_exna_rate_4Q26_bear,8.206,pct y/y ex-NA nights,10_regional_forecast.csv TOTAL less NA at WS10's own share (includes WS10's -0.41 calibration),False,
ws10_exna_rate_FY27_bear,6.842,pct y/y ex-NA nights,"same, FY27 rows",False,
ws10_exna_rate_4Q26_base,11.095,pct y/y ex-NA nights,10_regional_forecast.csv TOTAL less NA at WS10's own share (includes WS10's -0.41 calibration),False,
ws10_exna_rate_FY27_base,10.292,pct y/y ex-NA nights,"same, FY27 rows",False,
ws10_exna_rate_4Q26_bull,13.304,pct y/y ex-NA nights,10_regional_forecast.csv TOTAL less NA at WS10's own share (includes WS10's -0.41 calibration),False,
ws10_exna_rate_FY27_bull,12.741,pct y/y ex-NA nights,"same, FY27 rows",False,
exna_phasing_rule,linear from the WS10 4Q26 ex-NA rate; four-quarter mean = WS10 FY27 rate,rule,judgement: WS10 gives only an annual FY27 rate; a linear decay avoids a jump at 1Q27,True,
adr_geo_mix_pp,-1.428,pp of ex-FX ADR,P1_card_v3_terms.csv (workstream I measured); carried flat through 2027 as the card carries it into 4Q26,False,
adr_party_size_pp,0.797,pp,same,False,
adr_los_mix_pp,0.056,pp,same,False,
adr_interaction_pp,-0.1,pp,same (descriptive),False,
adr_new_business_seats_2027_pp,-0.565,pp,15_seats_dilution_quarterly.csv base 2027 (-0.565 vs -0.483 in 2026); nets to zero in GBV and revenue (B3),False,
adr_residual_4Q26_pp,4.849,pp,ADR v3 card v3_with_K 4Q26 residual (last_q rule = 2Q26 value 4.85),False,
adr_residual_ar1_rho,0.747,coefficient,K4_residual_nowcast.csv: AR(1) fitted 1Q23-2Q26 (n 14); long-run mean const/(1-rho) = 2.96,False,
adr_residual_ar1_const,0.75,pp,same,False,
