period,scenario,nights_mm,gbv_busd,adr_usd,revenue_musd,take_rate_pct,fx_pts_revenue_memo,nights_mm_yoy_pct,gbv_busd_yoy_pct,adr_usd_yoy_pct,revenue_musd_yoy_pct,quarters_sum_check_musd
FY25,bear,533.0,91.3,171.2946,12241.0,13.4074,,,,,,12241.0
FY26,bear,581.108,104.3932,179.645,14213.8425,13.6157,,9.0259,14.3408,4.8749,16.1167,14213.8425
FY27,bear,602.2637,107.8333,179.0466,14948.3339,13.8624,-1.7895,3.6406,3.2953,-0.3331,5.1674,14948.3339
FY25,base,533.0,91.3,171.2946,12241.0,13.4074,,,,,,12241.0
FY26,base,583.1113,105.4152,180.7806,14268.1434,13.5352,,9.4017,15.4603,5.5379,16.5603,14268.1434
FY27,base,621.8414,115.4725,185.6945,15828.6067,13.7077,0.5238,6.642,9.5406,2.7181,10.9367,15828.6067
FY28,base,659.4317,124.9408,189.4673,17137.441,13.7165,0.0,6.045,8.1996,2.0317,8.2688,17137.441
FY25,bull,533.0,91.3,171.2946,12241.0,13.4074,,,,,,12241.0
FY26,bull,585.4963,106.5137,181.9203,14317.9721,13.4424,,9.8492,16.6634,6.2032,16.9673,14317.9721
FY27,bull,639.2667,122.2117,191.1749,16570.7437,13.559,2.8369,9.1837,14.7381,5.0872,15.7339,16570.7437
