quarter,scenario,residual_pp,k_line_pp,geo_mix_pp,party_size_pp,los_pp,new_business_seats_pp,interaction_pp,adr_exfx_yoy_pct,eur_yoy_spot_held_pct,fx_eur_fit_pp,fx_baskets_proxy_pp,fx_pts_adr,adr_reported_yoy_pct
1Q27,bear,2.398,0.345,-1.428,0.797,0.056,-0.565,-0.1,1.503,-0.714,-0.892,0.289,-2.378,-0.875
2Q27,bear,2.398,0.311,-1.428,0.797,0.056,-0.565,-0.1,1.469,-0.119,-0.623,0.237,-2.267,-0.798
3Q27,bear,2.398,0.138,-1.428,0.797,0.056,-0.565,-0.1,1.296,0.647,-0.278,0.347,-1.494,-0.198
4Q27,bear,2.398,-0.15,-1.428,0.797,0.056,-0.565,-0.1,1.008,0.0,-0.57,0.0,-0.285,0.723
1Q27,base,4.372,0.345,-1.428,0.797,0.056,-0.565,-0.1,3.478,-0.714,-0.892,0.289,-0.301,3.176
2Q27,base,4.016,0.311,-1.428,0.797,0.056,-0.565,-0.1,3.087,-0.119,-0.623,0.237,-0.193,2.894
3Q27,base,3.75,0.138,-1.428,0.797,0.056,-0.565,-0.1,2.648,0.647,-0.278,0.347,0.034,2.682
4Q27,base,3.551,-0.15,-1.428,0.797,0.056,-0.565,-0.1,2.161,0.0,-0.57,0.0,-0.285,1.876
1Q27,bull,4.849,0.345,-1.428,0.797,0.056,-0.565,-0.1,3.954,-0.714,-0.892,0.289,1.775,5.73
2Q27,bull,4.849,0.311,-1.428,0.797,0.056,-0.565,-0.1,3.92,-0.119,-0.623,0.237,1.881,5.801
3Q27,bull,4.849,0.138,-1.428,0.797,0.056,-0.565,-0.1,3.747,0.647,-0.278,0.347,1.521,5.268
4Q27,bull,4.849,-0.15,-1.428,0.797,0.056,-0.565,-0.1,3.459,0.0,-0.57,0.0,-0.285,3.174
