quarter,scenario,na_share_prior_year,na_yoy_pct,exna_ws10_prelap_yoy_pct,na_contribution_pts,exna_contribution_prelap_pts,exna_lap_fee_cancel_pts,exna_lap_rnpl_pts,event_pts,total_nights_yoy_pct,sens_no_exna_lap_case_A_pct
1Q27,bear,0.291,1.31,7.66,0.381,5.431,-0.742,-0.363,0.0,4.707,5.812
2Q27,bear,0.291,1.31,7.115,0.381,5.044,-0.742,-0.907,-0.75,3.026,4.676
3Q27,bear,0.288,1.31,6.569,0.377,4.677,-0.742,-0.907,0.0,3.405,5.054
4Q27,bear,0.282,2.31,6.023,0.651,4.325,-0.742,-0.907,0.0,3.327,4.976
1Q27,base,0.291,2.31,10.773,0.672,7.638,-0.742,-0.363,1.0,8.206,9.311
2Q27,base,0.291,2.31,10.452,0.672,7.411,-0.742,-0.907,-0.5,5.934,7.583
3Q27,base,0.288,2.31,10.131,0.665,7.213,-0.742,-0.907,0.0,6.229,7.878
4Q27,base,0.282,2.31,9.81,0.651,7.043,-0.742,-0.907,0.0,6.045,7.695
1Q27,bull,0.291,4.66,13.079,1.356,9.273,-0.742,-0.363,1.0,10.524,11.629
2Q27,bull,0.291,4.66,12.854,1.356,9.113,-0.742,-0.907,0.0,8.82,10.469
3Q27,bull,0.288,4.66,12.629,1.342,8.992,-0.742,-0.907,0.0,8.684,10.334
4Q27,bull,0.282,4.66,12.404,1.314,8.906,-0.742,-0.907,0.0,8.571,10.22
