company_name,form_type,cik,date_filed,file_name
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-07-02,edgar/data/1048286/0001225208-26-006308.txt
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-07-02,edgar/data/1048286/0001225208-26-006309.txt
MARRIOTT INTERNATIONAL INC /MD/,10-Q,1048286,2026-08-03,edgar/data/1048286/0001048286-26-000035.txt
MARRIOTT INTERNATIONAL INC /MD/,8-K,1048286,2026-08-03,edgar/data/1048286/0001048286-26-000033.txt
MARRIOTT INTERNATIONAL INC /MD/,424B5,1048286,2026-08-11,edgar/data/1048286/0001193125-26-343535.txt
MARRIOTT INTERNATIONAL INC /MD/,FWP,1048286,2026-08-11,edgar/data/1048286/0001193125-26-344979.txt
MARRIOTT INTERNATIONAL INC /MD/,424B5,1048286,2026-08-12,edgar/data/1048286/0001193125-26-347066.txt
MARRIOTT INTERNATIONAL INC /MD/,8-K,1048286,2026-08-13,edgar/data/1048286/0001193125-26-349395.txt
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-08-19,edgar/data/1048286/0001225208-26-007210.txt
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-09-10,edgar/data/1048286/0001225208-26-007732.txt
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-09-10,edgar/data/1048286/0001225208-26-007733.txt
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-09-10,edgar/data/1048286/0001225208-26-007734.txt
MARRIOTT INTERNATIONAL INC /MD/,4,1048286,2026-09-10,edgar/data/1048286/0001225208-26-007735.txt
Booking Holdings Inc.,144,1075531,2026-07-28,edgar/data/1075531/0001964306-26-000327.txt
Booking Holdings Inc.,144,1075531,2026-07-29,edgar/data/1075531/0001969223-26-000813.txt
Booking Holdings Inc.,4,1075531,2026-07-29,edgar/data/1075531/0001229265-26-000020.txt
Booking Holdings Inc.,4,1075531,2026-07-30,edgar/data/1075531/0001214607-26-000012.txt
Booking Holdings Inc.,10-Q,1075531,2026-08-04,edgar/data/1075531/0001075531-26-000037.txt
Booking Holdings Inc.,8-K,1075531,2026-08-04,edgar/data/1075531/0001075531-26-000036.txt
Booking Holdings Inc.,144,1075531,2026-08-05,edgar/data/1075531/0001969223-26-000849.txt
Booking Holdings Inc.,S-3ASR,1075531,2026-08-05,edgar/data/1075531/0001104659-26-090520.txt
Booking Holdings Inc.,4,1075531,2026-08-06,edgar/data/1075531/0001214607-26-000014.txt
Booking Holdings Inc.,144,1075531,2026-08-12,edgar/data/1075531/0001950047-26-008019.txt
Booking Holdings Inc.,4,1075531,2026-08-13,edgar/data/1075531/0001574918-26-000006.txt
Booking Holdings Inc.,144,1075531,2026-08-17,edgar/data/1075531/0001964306-26-000389.txt
Booking Holdings Inc.,4,1075531,2026-08-18,edgar/data/1075531/0001214612-26-000007.txt
Booking Holdings Inc.,4,1075531,2026-08-18,edgar/data/1075531/0001229265-26-000022.txt
Booking Holdings Inc.,144,1075531,2026-09-01,edgar/data/1075531/0001969223-26-000976.txt
Booking Holdings Inc.,4,1075531,2026-09-01,edgar/data/1075531/0001875741-26-000006.txt
Booking Holdings Inc.,4,1075531,2026-09-02,edgar/data/1075531/0001214607-26-000016.txt
"Expedia Group, Inc.",4,1324424,2026-07-01,edgar/data/1324424/0001225208-26-006287.txt
"Expedia Group, Inc.",4,1324424,2026-07-01,edgar/data/1324424/0001225208-26-006288.txt
"Expedia Group, Inc.",4,1324424,2026-07-01,edgar/data/1324424/0001225208-26-006289.txt
"Expedia Group, Inc.",4,1324424,2026-07-01,edgar/data/1324424/0001225208-26-006290.txt
"Expedia Group, Inc.",4,1324424,2026-07-01,edgar/data/1324424/0001225208-26-006291.txt
"Expedia Group, Inc.",4,1324424,2026-07-16,edgar/data/1324424/0001225208-26-006632.txt
"Expedia Group, Inc.",8-K,1324424,2026-08-05,edgar/data/1324424/0001324424-26-000051.txt
"Expedia Group, Inc.",10-Q,1324424,2026-08-06,edgar/data/1324424/0001324424-26-000053.txt
"Expedia Group, Inc.",144,1324424,2026-08-07,edgar/data/1324424/0001628280-26-054626.txt
"Expedia Group, Inc.",144,1324424,2026-08-13,edgar/data/1324424/0001949846-26-000510.txt
"Expedia Group, Inc.",4,1324424,2026-08-13,edgar/data/1324424/0001225208-26-007100.txt
"Expedia Group, Inc.",4,1324424,2026-08-17,edgar/data/1324424/0001225208-26-007141.txt
"Expedia Group, Inc.",144,1324424,2026-08-18,edgar/data/1324424/0001950047-26-008363.txt
"Expedia Group, Inc.",4,1324424,2026-08-18,edgar/data/1324424/0001225208-26-007164.txt
"Expedia Group, Inc.",4,1324424,2026-08-18,edgar/data/1324424/0001225208-26-007165.txt
"Expedia Group, Inc.",4,1324424,2026-08-18,edgar/data/1324424/0001225208-26-007166.txt
"Expedia Group, Inc.",4,1324424,2026-08-18,edgar/data/1324424/0001225208-26-007167.txt
"Expedia Group, Inc.",4,1324424,2026-08-18,edgar/data/1324424/0001225208-26-007168.txt
"Expedia Group, Inc.",4,1324424,2026-08-18,edgar/data/1324424/0001225208-26-007169.txt
"Expedia Group, Inc.",4,1324424,2026-08-20,edgar/data/1324424/0001225208-26-007235.txt
"Expedia Group, Inc.",4,1324424,2026-08-25,edgar/data/1324424/0001225208-26-007317.txt
"Airbnb, Inc.",4,1559720,2026-07-01,edgar/data/1559720/0001193125-26-292898.txt
"Airbnb, Inc.",4,1559720,2026-07-01,edgar/data/1559720/0001193125-26-293152.txt
"Airbnb, Inc.",144,1559720,2026-07-02,edgar/data/1559720/0001959173-26-005043.txt
"Airbnb, Inc.",144,1559720,2026-07-02,edgar/data/1559720/0001959173-26-005044.txt
"Airbnb, Inc.",144,1559720,2026-07-06,edgar/data/1559720/0001959173-26-005110.txt
"Airbnb, Inc.",4,1559720,2026-07-07,edgar/data/1559720/0001193125-26-297867.txt
"Airbnb, Inc.",4,1559720,2026-07-07,edgar/data/1559720/0001193125-26-297868.txt
"Airbnb, Inc.",4,1559720,2026-07-08,edgar/data/1559720/0001193125-26-298928.txt
"Airbnb, Inc.",4,1559720,2026-07-09,edgar/data/1559720/0001193125-26-299741.txt
"Airbnb, Inc.",4,1559720,2026-07-15,edgar/data/1559720/0001193125-26-304987.txt
"Airbnb, Inc.",144,1559720,2026-07-17,edgar/data/1559720/0001959173-26-005260.txt
"Airbnb, Inc.",4,1559720,2026-07-17,edgar/data/1559720/0001193125-26-308109.txt
"Airbnb, Inc.",144,1559720,2026-07-20,edgar/data/1559720/0001959173-26-005282.txt
"Airbnb, Inc.",4,1559720,2026-07-22,edgar/data/1559720/0001193125-26-312447.txt
"Airbnb, Inc.",4,1559720,2026-07-24,edgar/data/1559720/0001193125-26-316533.txt
"Airbnb, Inc.",144,1559720,2026-07-28,edgar/data/1559720/0001968582-26-000747.txt
"Airbnb, Inc.",4,1559720,2026-07-29,edgar/data/1559720/0001193125-26-324172.txt
"Airbnb, Inc.",144,1559720,2026-07-31,edgar/data/1559720/0001959173-26-005471.txt
"Airbnb, Inc.",144,1559720,2026-08-03,edgar/data/1559720/0001959173-26-005521.txt
"Airbnb, Inc.",144,1559720,2026-08-03,edgar/data/1559720/0001959173-26-005532.txt
"Airbnb, Inc.",4,1559720,2026-08-03,edgar/data/1559720/0001193125-26-330775.txt
"Airbnb, Inc.",4,1559720,2026-08-05,edgar/data/1559720/0001193125-26-335515.txt
"Airbnb, Inc.",4,1559720,2026-08-05,edgar/data/1559720/0001193125-26-335531.txt
"Airbnb, Inc.",10-Q,1559720,2026-08-06,edgar/data/1559720/0001559720-26-000027.txt
"Airbnb, Inc.",8-K,1559720,2026-08-06,edgar/data/1559720/0001193125-26-337928.txt
"Airbnb, Inc.",144,1559720,2026-08-07,edgar/data/1559720/0001959173-26-005761.txt
"Airbnb, Inc.",144,1559720,2026-08-07,edgar/data/1559720/0001959173-26-005781.txt
"Airbnb, Inc.",144,1559720,2026-08-07,edgar/data/1559720/0001959173-26-005787.txt
"Airbnb, Inc.",4,1559720,2026-08-11,edgar/data/1559720/0001193125-26-345303.txt
"Airbnb, Inc.",4,1559720,2026-08-11,edgar/data/1559720/0001193125-26-345316.txt
"Airbnb, Inc.",4,1559720,2026-08-11,edgar/data/1559720/0001193125-26-345326.txt
"Airbnb, Inc.",4,1559720,2026-08-11,edgar/data/1559720/0001193125-26-345333.txt
"Airbnb, Inc.",4,1559720,2026-08-13,edgar/data/1559720/0001193125-26-349303.txt
"Airbnb, Inc.",4,1559720,2026-08-13,edgar/data/1559720/0001790330-26-000007.txt
"Airbnb, Inc.",144,1559720,2026-08-14,edgar/data/1559720/0001959173-26-006026.txt
"Airbnb, Inc.",SCHEDULE 13G/A,1559720,2026-08-14,edgar/data/1559720/0001193125-26-352825.txt
"Airbnb, Inc.",SCHEDULE 13G/A,1559720,2026-08-14,edgar/data/1559720/0001193125-26-352831.txt
"Airbnb, Inc.",SCHEDULE 13G/A,1559720,2026-08-14,edgar/data/1559720/0001193125-26-352833.txt
"Airbnb, Inc.",144,1559720,2026-08-17,edgar/data/1559720/0001959173-26-006052.txt
"Airbnb, Inc.",4,1559720,2026-08-19,edgar/data/1559720/0001193125-26-357265.txt
"Airbnb, Inc.",144,1559720,2026-08-20,edgar/data/1559720/0001959173-26-006255.txt
"Airbnb, Inc.",4,1559720,2026-08-21,edgar/data/1559720/0001193125-26-361408.txt
"Airbnb, Inc.",4,1559720,2026-08-21,edgar/data/1559720/0001193125-26-361410.txt
"Airbnb, Inc.",4,1559720,2026-08-21,edgar/data/1559720/0001193125-26-361412.txt
"Airbnb, Inc.",144,1559720,2026-08-24,edgar/data/1559720/0001959173-26-006405.txt
"Airbnb, Inc.",144,1559720,2026-08-25,edgar/data/1559720/0001959173-26-006451.txt
"Airbnb, Inc.",144,1559720,2026-08-26,edgar/data/1559720/0001959173-26-006475.txt
"Airbnb, Inc.",4,1559720,2026-08-26,edgar/data/1559720/0001193125-26-369139.txt
"Airbnb, Inc.",4,1559720,2026-08-26,edgar/data/1559720/0001193125-26-369145.txt
"Airbnb, Inc.",144,1559720,2026-08-28,edgar/data/1559720/0001959173-26-006532.txt
"Airbnb, Inc.",4,1559720,2026-08-28,edgar/data/1559720/0001193125-26-374780.txt
"Airbnb, Inc.",144,1559720,2026-08-31,edgar/data/1559720/0001959173-26-006546.txt
"Airbnb, Inc.",144,1559720,2026-09-01,edgar/data/1559720/0001959173-26-006591.txt
"Airbnb, Inc.",4,1559720,2026-09-01,edgar/data/1559720/0001193125-26-379003.txt
"Airbnb, Inc.",4,1559720,2026-09-01,edgar/data/1559720/0001193125-26-379115.txt
"Airbnb, Inc.",4/A,1559720,2026-09-02,edgar/data/1559720/0001193125-26-379365.txt
"Airbnb, Inc.",4,1559720,2026-09-03,edgar/data/1559720/0001193125-26-382108.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001208590-26-000010.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001209033-26-000010.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001233150-26-000011.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001244673-26-000011.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001317996-26-000008.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001536208-26-000007.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001550608-26-000016.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-07-01,edgar/data/1585689/0001821096-26-000012.txt
Hilton Worldwide Holdings Inc.,10-Q,1585689,2026-07-28,edgar/data/1585689/0001585689-26-000043.txt
Hilton Worldwide Holdings Inc.,8-K,1585689,2026-07-28,edgar/data/1585689/0001585689-26-000042.txt
Hilton Worldwide Holdings Inc.,4,1585689,2026-08-06,edgar/data/1585689/0002076715-26-000005.txt
