company_name,form_type,cik,date_filed,file_name
&PARTNERS,13F-HR,107136,2026-08-14,edgar/data/107136/0001214659-26-010148.txt
&PARTNERS,N-PX,107136,2026-08-04,edgar/data/107136/0000107136-26-000006.txt
"0 Le Roy Ave, LLC",D,2143553,2026-07-08,edgar/data/2143553/0002143553-26-000001.txt
"01 Labs, Inc.",D,2135437,2026-09-02,edgar/data/2135437/0002135437-26-000002.txt
"01A Bald Eagle, L.P.",D,2140637,2026-07-06,edgar/data/2140637/0002140637-26-000001.txt
"021T Capital SPV PSI, L.P.",D,2149935,2026-08-13,edgar/data/2149935/0001231919-26-000876.txt
1 800 FLOWERS COM INC,10-K,1084869,2026-09-11,edgar/data/1084869/0001084869-26-000029.txt
1 800 FLOWERS COM INC,3/A,1084869,2026-07-28,edgar/data/1084869/0001437749-26-024624.txt
1 800 FLOWERS COM INC,4,1084869,2026-07-09,edgar/data/1084869/0001437749-26-023109.txt
1 800 FLOWERS COM INC,8-K,1084869,2026-09-10,edgar/data/1084869/0001084869-26-000024.txt
1 800 FLOWERS COM INC,SCHEDULE 13G/A,1084869,2026-08-14,edgar/data/1084869/0000929638-26-003080.txt
1 NORTH WEALTH SERVICES LLC,13F-HR,1641761,2026-08-03,edgar/data/1641761/0001641761-26-000003.txt
10 East Private Markets Fund L.P.,D,2140603,2026-08-07,edgar/data/2140603/0002140603-26-000001.txt
1000 Hawthorn Crossings LLC,C-U,2133509,2026-08-03,edgar/data/2133509/0002133509-26-000003.txt
1000 Hawthorn Crossings LLC,C/A,2133509,2026-07-20,edgar/data/2133509/0002133509-26-000002.txt
101 Garden LP,D/A,2079842,2026-08-06,edgar/data/2079842/0002079842-26-000001.txt
101 HUNTINGTON HOLDINGS LLC,4,1208476,2026-08-14,edgar/data/1208476/0001193125-26-352140.txt
"101 Huntington Holdings Subsidiary, LLC",4,2076441,2026-08-14,edgar/data/2076441/0001193125-26-352140.txt
"1015 Capital Partners, LLC",13F-HR,2133991,2026-07-21,edgar/data/2133991/0002133991-26-000003.txt
"1060 Capital, LLC",13F-HR,1602119,2026-08-13,edgar/data/1602119/0001602119-26-000004.txt
10800 Asheville Investors LP,D,2145580,2026-07-17,edgar/data/2145580/0001814554-26-000139.txt
"10D Fund III, L.P.",D,2114445,2026-09-04,edgar/data/2114445/0002114445-26-000001.txt
10Elms LLP,13F-HR,2056650,2026-08-14,edgar/data/2056650/0002056650-26-000004.txt
10Elms LLP,N-PX,2056650,2026-08-24,edgar/data/2056650/0002056650-26-000005.txt
"10FSSAC5 REIT, LLC",D,2141854,2026-07-20,edgar/data/2141854/0002141854-26-000001.txt
"10x Genomics, Inc.",10-Q,1770787,2026-08-07,edgar/data/1770787/0001628280-26-054491.txt
"10x Genomics, Inc.",144,1770787,2026-08-11,edgar/data/1770787/0001957799-26-000152.txt
"10x Genomics, Inc.",144,1770787,2026-08-13,edgar/data/1770787/0001950047-26-008060.txt
"10x Genomics, Inc.",144,1770787,2026-08-14,edgar/data/1770787/0001950047-26-008153.txt
"10x Genomics, Inc.",144,1770787,2026-08-24,edgar/data/1770787/0001786391-26-000003.txt
"10x Genomics, Inc.",144,1770787,2026-08-24,edgar/data/1770787/0001786720-26-000003.txt
"10x Genomics, Inc.",144,1770787,2026-08-24,edgar/data/1770787/0001968582-26-000871.txt
"10x Genomics, Inc.",144,1770787,2026-08-24,edgar/data/1770787/0001971187-26-000004.txt
"10x Genomics, Inc.",144,1770787,2026-08-26,edgar/data/1770787/0001968582-26-000886.txt
"10x Genomics, Inc.",144,1770787,2026-09-03,edgar/data/1770787/0001957799-26-000170.txt
"10x Genomics, Inc.",144,1770787,2026-09-09,edgar/data/1770787/0001950047-26-009250.txt
"10x Genomics, Inc.",4,1770787,2026-08-13,edgar/data/1770787/0001610717-26-000358.txt
"10x Genomics, Inc.",4,1770787,2026-08-17,edgar/data/1770787/0001610717-26-000359.txt
"10x Genomics, Inc.",4,1770787,2026-08-24,edgar/data/1770787/0001610717-26-000386.txt
"10x Genomics, Inc.",4,1770787,2026-08-26,edgar/data/1770787/0001610717-26-000389.txt
"10x Genomics, Inc.",4,1770787,2026-08-26,edgar/data/1770787/0001610717-26-000390.txt
"10x Genomics, Inc.",4,1770787,2026-08-26,edgar/data/1770787/0001610717-26-000391.txt
"10x Genomics, Inc.",4,1770787,2026-08-26,edgar/data/1770787/0001610717-26-000392.txt
"10x Genomics, Inc.",4,1770787,2026-08-28,edgar/data/1770787/0001610717-26-000393.txt
"10x Genomics, Inc.",4,1770787,2026-09-03,edgar/data/1770787/0001610717-26-000396.txt
"10x Genomics, Inc.",4,1770787,2026-09-08,edgar/data/1770787/0001610717-26-000405.txt
"10x Genomics, Inc.",4,1770787,2026-09-11,edgar/data/1770787/0001610717-26-000414.txt
"10x Genomics, Inc.",8-K,1770787,2026-08-06,edgar/data/1770787/0001628280-26-054273.txt
"10x Genomics, Inc.",SCHEDULE 13G,1770787,2026-09-08,edgar/data/1770787/0000080255-26-000600.txt
"10x Genomics, Inc.",SCHEDULE 13G/A,1770787,2026-08-14,edgar/data/1770787/0001104659-26-096964.txt
11 Capital Partners LP,13F-HR,1801172,2026-08-14,edgar/data/1801172/0000902664-26-003493.txt
11 Capital Partners LP,N-PX,1801172,2026-07-06,edgar/data/1801172/0001438934-26-000015.txt
"11.2 Capital I, L.P.",SCHEDULE 13G/A,1591336,2026-08-13,edgar/data/1591336/0001591336-26-000006.txt
"11.2 Capital Management, LLC",13F-HR,2072160,2026-08-13,edgar/data/2072160/0002072160-26-000008.txt
1100 Central GP QOF LLC,D,2135258,2026-07-08,edgar/data/2135258/0002135258-26-000001.txt
111 Capital,13F-HR,2060412,2026-08-05,edgar/data/2060412/0002080880-26-000017.txt
111 Capital,N-PX,2060412,2026-08-31,edgar/data/2060412/0002080880-26-000032.txt
111 SPENCER FUNDING L.P.,D,2140894,2026-08-12,edgar/data/2140894/0001013594-26-000857.txt
1126833 B.C. LTD.,D/A,1737678,2026-07-30,edgar/data/1737678/0001737678-26-000002.txt
"1130 RAINIER QOZB, LLC",D,1802742,2026-07-14,edgar/data/1802742/0001802742-26-000003.txt
"116 Street Ventures Fund 8, LLC",D,2115645,2026-07-14,edgar/data/2115645/0002115645-26-000001.txt
119 LORIMER FUNDING L.P.,D,2142461,2026-08-12,edgar/data/2142461/0001013594-26-000862.txt
"11MC Partners OE a series of Allocations 2026 Master, LLC",D,2143557,2026-07-08,edgar/data/2143557/0002143557-26-000001.txt
12 BRIDGE LTD,D,2137138,2026-08-28,edgar/data/2137138/0002137138-26-000005.txt
"12 FLAGS CONSUMER FUND, LP",D/A,1987079,2026-07-23,edgar/data/1987079/0001470831-26-000725.txt
"12 Flags Delaware Feeder Fund, LP",D,2145801,2026-07-16,edgar/data/2145801/0001814554-26-000130.txt
12 West Capital Management LP,13F-HR,1540531,2026-08-14,edgar/data/1540531/0001540531-26-000005.txt
12 West Capital Management LP,N-PX,1540531,2026-08-31,edgar/data/1540531/0001540531-26-000006.txt
1201 LOU Investor LLC,D,2147086,2026-07-30,edgar/data/2147086/0002147086-26-000001.txt
