form_type,company_name,cik,date_filed,file_name
1,"Bitnomial Exchange, LLC (Security Futures Product Exchange)",2154047,2026-09-04,edgar/data/2154047/9999999997-26-001474.txt
1,"Coinbase Derivatives, LLC (Security Futures Product Exchange",2154036,2026-09-01,edgar/data/2154036/9999999997-26-001472.txt
1,KalshiEX LLC (Security Futures Product Exchange),2154043,2026-09-03,edgar/data/2154043/9999999997-26-001473.txt
1-A,Arte Consulting Inc.,2137570,2026-07-02,edgar/data/2137570/0002137570-26-000002.txt
1-A,Arte Consulting Inc.,2137570,2026-08-04,edgar/data/2137570/0002137570-26-000005.txt
1-A,BLUEMOUNT INTERNATIONAL INC,2140965,2026-08-06,edgar/data/2140965/0002140965-26-000001.txt
1-A,"CNote Group, Inc.",1683145,2026-07-22,edgar/data/1683145/0001214659-26-008810.txt
1-A,Chainvo Blockchain Inc.,2152944,2026-09-03,edgar/data/2152944/0002152944-26-000001.txt
1-A,DAKOTA REAL ESTATE INVESTMENT TRUST,1074922,2026-07-24,edgar/data/1074922/0001493152-26-034492.txt
1-A,Dear Air Product Technology Inc,2134913,2026-09-10,edgar/data/2134913/0002134913-26-000001.txt
1-A,Deedflow INC,2143384,2026-08-14,edgar/data/2143384/0001683168-26-006495.txt
1-A,Destiny GSG Inc.,2140930,2026-08-18,edgar/data/2140930/0002140930-26-000001.txt
1-A,Ding688 Inc.,2109814,2026-08-03,edgar/data/2109814/0002109814-26-000003.txt
1-A,Ding688 Inc.,2109814,2026-08-07,edgar/data/2109814/0002109814-26-000004.txt
1-A,ECOSPIRE GLOBAL INC.,2141083,2026-08-20,edgar/data/2141083/0002141083-26-000001.txt
1-A,"ENTERTAINMENT ARTS RESEARCH, INC.",1083468,2026-07-20,edgar/data/1083468/0001683168-26-005630.txt
1-A,"East West International, Inc.",2151196,2026-08-26,edgar/data/2151196/0002151196-26-000002.txt
1-A,FJHL Inc.,2135411,2026-07-15,edgar/data/2135411/0002135411-26-000001.txt
1-A,FJHL Inc.,2135411,2026-07-31,edgar/data/2135411/0002135411-26-000005.txt
1-A,"Fifty 1 Labs, Inc.",1285828,2026-08-10,edgar/data/1285828/0001493152-26-036688.txt
1-A,"Global Interchange, Inc.",2083128,2026-08-28,edgar/data/2083128/0001096906-26-001322.txt
1-A,"Glow Holdings, Inc.",1114859,2026-09-10,edgar/data/1114859/0001683168-26-007054.txt
1-A,"House Hack, Inc.",1945278,2026-09-03,edgar/data/1945278/0001945278-26-000001.txt
1-A,LAKESIDE SERENITY RESORTS INC,2104744,2026-08-13,edgar/data/2104744/0002104744-26-000014.txt
1-A,Limitless X Holdings Inc.,1803977,2026-08-06,edgar/data/1803977/0001493152-26-036373.txt
1-A,"NOYACK Logistics Income REIT II, Inc.",1913359,2026-07-17,edgar/data/1913359/0001493152-26-033799.txt
1-A,Naoris Quantum Protocol Inc.,2145466,2026-08-05,edgar/data/2145466/0001213900-26-085345.txt
1-A,"OAK COMPANIES, INC.",2147706,2026-08-18,edgar/data/2147706/0001213900-26-091133.txt
1-A,OBSIDIAN PRIME INC,2011021,2026-07-21,edgar/data/2011021/0002011021-26-000007.txt
1-A,PETELITE INC.,2135419,2026-08-26,edgar/data/2135419/0002135419-26-000001.txt
1-A,Power Ultra Inc.,2112623,2026-08-06,edgar/data/2112623/0002112623-26-000002.txt
1-A,SAMARIUM GROUP Corp,2074139,2026-07-15,edgar/data/2074139/0002074139-26-000002.txt
1-A,"SDR Drone, Inc.",1331421,2026-07-31,edgar/data/1331421/0001493152-26-035610.txt
1-A,Star Gold Corp.,1401835,2026-07-15,edgar/data/1401835/0001437749-26-023576.txt
1-A,Tejascore Techsystems Inc,2097361,2026-08-03,edgar/data/2097361/0002097361-26-000005.txt
1-A,"Tokenova Worldwide, Inc.",2135077,2026-07-01,edgar/data/2135077/0002135077-26-000001.txt
1-A,"UNLOCKD, Inc.",1395005,2026-07-09,edgar/data/1395005/0001683168-26-005366.txt
1-A,YM Corp,1416299,2026-07-01,edgar/data/1416299/0001829126-26-007092.txt
1-A POS,Ark7 Properties LLC,1815395,2026-07-01,edgar/data/1815395/0001815395-26-000002.txt
1-A POS,Ark7 Properties LLC,1815395,2026-07-15,edgar/data/1815395/0001815395-26-000004.txt
1-A POS,Bequest Bonds I Inc,2016678,2026-07-16,edgar/data/2016678/0001213900-26-078683.txt
1-A POS,"BioScience Health Innovations, Inc.",1784440,2026-07-06,edgar/data/1784440/0001096906-26-001058.txt
1-A POS,COMPOUND REAL ESTATE BONDS II INC.,2078250,2026-09-03,edgar/data/2078250/0001829126-26-009704.txt
1-A POS,CROWDCASTING INC,2125668,2026-07-27,edgar/data/2125668/0002125668-26-000005.txt
1-A POS,"Cardone Non Accredited Fund, LLC",1915521,2026-07-24,edgar/data/1915521/0001477932-26-004483.txt
1-A POS,"Cardone Non Accredited Fund, LLC",1915521,2026-08-24,edgar/data/1915521/0001477932-26-005246.txt
1-A POS,Cloud Title Partners LLC,2030863,2026-08-27,edgar/data/2030863/0001096906-26-001317.txt
1-A POS,"Commune Omni Fund, LLC",2046788,2026-08-24,edgar/data/2046788/0001104659-26-100237.txt
1-A POS,Energea Portfolio 2 LP,1811470,2026-07-21,edgar/data/1811470/0001811470-26-000014.txt
1-A POS,Energea Portfolio 3 Africa LP,1865547,2026-07-21,edgar/data/1865547/0001865547-26-000013.txt
1-A POS,Energea Portfolio 4 USA LP,1853011,2026-07-02,edgar/data/1853011/0001853011-26-000013.txt
1-A POS,Energea Portfolio 4 USA LP,1853011,2026-07-21,edgar/data/1853011/0001853011-26-000015.txt
1-A POS,Energea Portfolio 5 LATAM LP,1993443,2026-07-21,edgar/data/1993443/0001993443-26-000009.txt
1-A POS,"Energy Exploration Technologies, Inc.",1830166,2026-07-01,edgar/data/1830166/0001493152-26-031424.txt
1-A POS,"Energy Exploration Technologies, Inc.",1830166,2026-07-02,edgar/data/1830166/0001493152-26-031604.txt
1-A POS,"Entrex Carbon Market, Inc.",1363598,2026-08-03,edgar/data/1363598/0001363598-26-000005.txt
1-A POS,Green Rain Energy Holdings Inc.,1084937,2026-07-14,edgar/data/1084937/0001683168-26-005503.txt
1-A POS,Green Rain Energy Holdings Inc.,1084937,2026-07-20,edgar/data/1084937/0001683168-26-005632.txt
1-A POS,"Greene Concepts, Inc",1585380,2026-08-06,edgar/data/1585380/0001683168-26-006062.txt
1-A POS,"Iron Bridge Mortgage Fund, LLC",1462371,2026-08-06,edgar/data/1462371/0001477932-26-004755.txt
1-A POS,"Iron Bridge Mortgage Fund, LLC",1462371,2026-09-08,edgar/data/1462371/0001477932-26-005455.txt
1-A POS,"MCI Income Fund VII, LLC",1954416,2026-07-17,edgar/data/1954416/0001683168-26-005598.txt
1-A POS,"MODE MOBILE, INC.",1748441,2026-09-02,edgar/data/1748441/0001493152-26-041122.txt
1-A POS,"Masterworks Vault 3, LLC",1983146,2026-08-07,edgar/data/1983146/0001493152-26-036551.txt
1-A POS,"Masterworks Vault 3, LLC",1983146,2026-09-02,edgar/data/1983146/0001493152-26-041221.txt
1-A POS,"Masterworks Vault 5, LLC",1999710,2026-07-13,edgar/data/1999710/0001493152-26-033028.txt
1-A POS,"Masterworks Vault 5, LLC",1999710,2026-08-04,edgar/data/1999710/0001493152-26-036038.txt
1-A POS,"McQueen Labs Series, LLC",2025795,2026-09-11,edgar/data/2025795/0001493152-26-042361.txt
1-A POS,Modern Mining Technology Corp.,1898722,2026-07-10,edgar/data/1898722/0001213900-26-076835.txt
1-A POS,Modern Mining Technology Corp.,1898722,2026-07-24,edgar/data/1898722/0001213900-26-081446.txt
1-A POS,Modern Mining Technology Corp.,1898722,2026-08-28,edgar/data/1898722/0001213900-26-094936.txt
1-A POS,My Racehorse CA LLC,1744448,2026-08-10,edgar/data/1744448/0001683168-26-006163.txt
1-A POS,My Racehorse CA LLC,1744448,2026-08-31,edgar/data/1744448/0001683168-26-006812.txt
1-A POS,My Racehorse CA LLC,1744448,2026-09-08,edgar/data/1744448/0001683168-26-007010.txt
1-A POS,Nextel Medical Corp.,1492448,2026-08-28,edgar/data/1492448/0001079973-26-001198.txt
1-A POS,"PIC Diversification Fund, LLC",2069560,2026-07-30,edgar/data/2069560/0001096906-26-001145.txt
1-A POS,"PIC Diversification Fund, LLC",2069560,2026-08-25,edgar/data/2069560/0001096906-26-001298.txt
1-A POS,Park View OZ REIT Inc,1824204,2026-08-14,edgar/data/1824204/0001214659-26-010435.txt
1-A POS,Rise Companies Corp,1640967,2026-08-11,edgar/data/1640967/0001104659-26-094004.txt
1-A POS,"Shasta Power Fund II, LLC",2071540,2026-08-27,edgar/data/2071540/0002071540-26-000005.txt
1-A POS,"UNLOCKD, Inc.",1395005,2026-08-03,edgar/data/1395005/0001683168-26-005910.txt
1-A-W,Arte Consulting Inc.,2137570,2026-07-28,edgar/data/2137570/0002137570-26-000004.txt
1-A-W,Blue Star Foods Corp.,1730773,2026-08-20,edgar/data/1730773/0001493152-26-039461.txt
1-A-W,CROWDCASTING INC,2125668,2026-08-11,edgar/data/2125668/0002125668-26-000008.txt
1-A-W,Energea Portfolio 4 USA LP,1853011,2026-07-02,edgar/data/1853011/0001853011-26-000012.txt
1-A-W,FJHL Inc.,2135411,2026-07-28,edgar/data/2135411/0002135411-26-000003.txt
1-A-W,"RealtyMogul Income REIT, Inc.",1669664,2026-09-10,edgar/data/1669664/0001493152-26-042139.txt
1-A-W,SAMARIUM GROUP Corp,2074139,2026-07-17,edgar/data/2074139/0002074139-26-000003.txt
