rank,source_id,e1_disposition,collection_outcome,actual_request_count,permission_finding,historical_testability,vintage_pit_limitation,economic_role,decision_rationale,resolution_needed_before_collection_or_testing
1,WSF_FERRY_RIDERSHIP,INCONCLUSIVE,not_testable,0,"Terms and robots remain ambiguous; no automated request permitted","Potentially testable from dated quarterly PDFs after artifact-level publication audit","Report-generation timestamps are promising but are not automatically proof of first public availability; later-correction policy is unknown","Direct regional realized-travel signal","Best causal proximity and cleanest apparent static-report vintage chain in the lane, but H-004 cannot be promoted because permission and exact historical timing failed and zero observations are eligible","Obtain path-specific automation permission or lawful user-supplied files; verify every chosen PDF was public strictly before its cutoff"
2,NASA_BLACK_MARBLE_VNP46A2,WATCH_PROSPECTIVELY,not_testable,0,"Earthdata authentication is required and access is expressly excluded; robots also ambiguous","Not testable in this pass","Collection versions may be reprocessed; granule production timestamp and collection version are required","Experimental global nighttime-activity proxy","High scalability and differentiation but indirect occupancy mechanism, environmental confounding, and forbidden authenticated access prevent promotion","Only reconsider after explicit user authorization and credential-sync workflow; prospectively freeze polygons, masks, and granule-vintage rules"
3,NOAA_HMS_SMOKE,CONTROL_ONLY,not_testable,0,"Federal reuse evidence is favorable but robots remains ambiguous","Conditionally reconstructable only if original daily artifacts and timestamps survive audit","Current annual bundles appear regenerated; 2022 schema/input change creates a regime boundary","Exogenous travel-disruption control","Smoke/fire is economically coherent as a disruption control, not a standalone demand proxy; current archive cannot yet establish contemporaneous vintages","Resolve path permission and prove original daily publication timestamps/checksums; treat 2022 change explicitly"
4,NPS_VISITOR_USE,WATCH_PROSPECTIVELY,not_testable,0,"Terms are favorable but robots remains ambiguous","Current database is not suitable for strict historical replay","Preliminary monthly values publish by the 15th and remain editable until Q1 annual finalization; no vintage endpoint found","Direct public-recreation activity","Strong mechanism and breadth, but today's revised history cannot recreate historical cutoffs; useful for forward vintage capture","Resolve robots and begin immutable prospective snapshots with release timestamps; historical use requires archived preliminary files"
5,FTA_NTD_MONTHLY_RIDERSHIP,CONTROL_ONLY,not_testable,0,"Federal open-data terms are favorable but robots remains ambiguous","Current rolling products are not strict historical vintages","Two-month release lag; raw versus complete products differ; estimates/adjustments can overwrite earlier information","Broad mobility and reopening control","Useful to absorb general mobility regimes, but weaker lodging specificity and no historical release archive make it unsuitable as a promoted edge signal","Resolve robots and locate authoritative release-specific files; freeze raw-versus-complete rule before any use"
6,TFL_CYCLE_HIRE_TRIPS,WATCH_PROSPECTIVELY,not_testable,0,"Specific Santander Cycles automation applicability is unresolved and robots ambiguous","Static-looking weekly files may be testable only after replacement/timestamp audit","First-publication timestamps and correction/replacement behavior are not established","Urban realized-activity proxy","Fine frequency and long history are attractive, but narrow geography, commuter/weather confounding, and permission conflict prevent promotion","Obtain written/path-specific permission evidence; prospectively preserve weekly manifests and file hashes"
7,MELB_PED_HOURLY,WATCH_PROSPECTIVELY,not_testable,0,"Dataset is labeled CC BY but portal terms are undefined; robots ambiguous","Present historical observations are not contemporaneous vintages","Monthly snapshot history is not evidenced; sensors relocate and change status","Urban realized-footfall proxy","Potentially useful prospective destination activity, but mutable history and sensor survivorship dominate historical testing","Clarify automation permission and start immutable monthly snapshots including sensor metadata and relocation flags"
8,MARINECADASTRE_AIS,WATCH_PROSPECTIVELY,not_testable,0,"Federal reuse evidence is favorable but robots ambiguous; AccessAIS was previously unavailable","Partial 2020-2025 range and unavailable subset service preclude current cohort replay","Release calendar, corrections, and vintage preservation are unresolved","Differentiated island/resort ingress proxy","Strong conceptual differentiation but limited evidenced coverage and unstable service access make it a prospective watch item","Resolve robots/service status and prospectively checksum bulk release manifests before defining fixed destination corridors"
9,CDOT_CONTINUOUS_COUNTS,INCONCLUSIVE,not_testable,0,"Exact license/automation terms and robots are ambiguous","History start, release lag, and vintage chain were not established","Outages, flat counts, station changes, and review/repair behavior can alter series","Resort-corridor ingress proxy","Causal story is appealing, but evidence is insufficient to distinguish a valid historical signal from operational sensor artifacts","Obtain authoritative methodology, station-history, release-calendar, correction, and permission evidence"
10,NYC_311_TOURISM_STRESS,REJECT,not_testable,0,"Open-data terms are favorable but robots remains ambiguous","Current mutable records are unsuitable for strict replay without snapshots","Status, agency, complaint category, and descriptors may update later; taxonomy and dataset split changed","Municipal-service stress proxy","Low causal specificity, reporting/enforcement behavior, semantic drift, privacy-minimization burden, and mutable fields outweigh daily frequency","Do not pursue for historical E1; a materially new prospective aggregate design would require fresh approval"
