cell,n,mean_raw,median_raw,sd_raw,mean_excess,n_pos_raw,prints,note
all ex-reopening,16,-0.94,-1.1,9.58,-1.29,7,3Q22 4Q22 1Q23 2Q23 3Q23 4Q23 1Q24 2Q24 3Q24 4Q24 1Q25 2Q25 3Q25 4Q25 1Q26 2Q26,
all post-2022,14,-1.07,-1.1,8.84,-1.66,6,1Q23 2Q23 3Q23 4Q23 1Q24 2Q24 3Q24 4Q24 1Q25 2Q25 3Q25 4Q25 1Q26 2Q26,
print accel,6,3.33,2.45,11.45,3.37,4,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,
print accel & guide below Street,3,-0.77,-3.3,14.07,-0.37,1,3Q22 3Q23 4Q24,
print accel & guide at/above Street,3,7.43,4.6,8.9,7.1,3,3Q25 4Q25 2Q26,
print flat,1,-8.7,-8.7,,-8.78,0,3Q24,
print flat & guide below Street,1,-8.7,-8.7,,-8.78,0,3Q24,
print flat & guide at/above Street,0,,,,,0,,
print decel,9,-2.92,-1.7,8.04,-3.57,3,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,
print decel & guide below Street,4,-7.55,-8.9,6.3,-7.97,1,1Q23 1Q24 2Q24 1Q25,
print decel & guide at/above Street,5,0.78,-0.5,7.81,-0.05,2,4Q22 2Q23 4Q23 2Q25 1Q26,
decel & guide below & nights guide direction down (team base case cell),3,-7.77,-10.9,7.69,-8.26,1,1Q23 2Q24 1Q25,
decel & guide below & nights guide down-or-stable,4,-7.55,-8.9,6.3,-7.97,1,1Q23 1Q24 2Q24 1Q25,
guide below Street (any print),8,-5.15,-7.8,9.32,-5.22,2,3Q22 1Q23 3Q23 1Q24 2Q24 3Q24 4Q24 1Q25,
guide at/above Street (any print),8,3.27,0.5,8.33,2.63,5,4Q22 2Q23 4Q23 2Q25 3Q25 4Q25 1Q26 2Q26,
"Q3 prints (November reaction), ex-reopening",4,-6.28,-6.0,6.02,-5.83,1,3Q22 3Q23 3Q24 3Q25,
