variant,p5,p10,p25,p50,p75,p90,p95,mean,sd,rms,p_le_m8,p_le_m5,p_lt_0,p_ge_5,p_ge_10,p_abs_ge_7,p_abs_ge_10,p_ge_17,below_m40,above_p40,decomp_median,decomp_mean
base,-17.41,-14.26,-9.16,-2.91,3.3,9.87,13.98,-2.69,9.52,9.89,0.293,0.413,0.624,0.198,0.098,0.482,0.318,0.023,0.0005,0.0002,-4.99,-4.68
nowcast centre 9.9 sd 0.85 (C-note band shape),-17.23,-14.1,-8.98,-2.81,3.28,9.78,13.92,-2.61,9.44,9.79,0.287,0.407,0.623,0.196,0.097,0.474,0.311,0.023,0.0005,0.0002,-4.74,-4.53
nowcast centre 9.75 sd 0.75,-17.53,-14.42,-9.38,-3.3,2.82,9.36,13.67,-3.03,9.43,9.9,0.304,0.428,0.642,0.184,0.091,0.483,0.319,0.022,0.0006,0.0002,-5.6,-5.36
nowcast at the Street bar 11.1 sd 0.85,-14.8,-11.65,-6.06,-0.07,5.6,11.65,15.12,-0.12,9.11,9.11,0.189,0.287,0.503,0.272,0.13,0.424,0.266,0.031,0.0003,0.0003,0.68,0.45
nowcast centre 9.0 sd 1.48 (team-low),-17.83,-14.71,-9.69,-3.61,2.65,9.28,13.63,-3.27,9.51,10.06,0.317,0.441,0.651,0.18,0.09,0.494,0.329,0.022,0.0006,0.0002,-6.17,-5.84
nowcast centre 10.1 sd 1.48 (top of band / model path),-16.83,-13.7,-8.43,-2.08,4.02,10.46,14.36,-1.99,9.5,9.7,0.265,0.379,0.591,0.218,0.107,0.468,0.305,0.026,0.0005,0.0002,-3.4,-3.29
S1 only (guide term dropped),-16.09,-13.09,-8.05,-2.08,3.88,10.32,14.26,-1.85,9.22,9.4,0.252,0.372,0.595,0.214,0.105,0.452,0.287,0.025,0.0004,0.0002,-3.28,-3.0
S2 only (fragile guide slope fully trusted),-20.69,-16.88,-10.95,-3.95,2.78,9.66,13.93,-3.94,10.43,11.15,0.352,0.461,0.651,0.186,0.095,0.53,0.377,0.023,0.0011,0.0001,-7.48,-7.19
no positioning term,-16.82,-13.75,-8.67,-2.58,3.46,9.95,14.03,-2.37,9.36,9.65,0.276,0.396,0.614,0.201,0.099,0.466,0.303,0.024,0.0005,0.0002,-4.29,-4.04
positioning term -2.5,-18.35,-15.14,-9.9,-3.38,3.1,9.76,13.92,-3.17,9.81,10.31,0.321,0.436,0.636,0.193,0.097,0.505,0.343,0.023,0.0007,0.0002,-6.08,-5.64
residual sd 6.5,-16.7,-13.83,-9.0,-3.0,3.08,9.44,13.62,-2.69,9.15,9.54,0.29,0.414,0.63,0.19,0.092,0.473,0.305,0.021,0.0003,0.0001,-5.05,-4.68
residual sd 8.8 (S1 n16),-18.33,-14.85,-9.36,-2.79,3.59,10.44,14.52,-2.69,10.05,10.41,0.298,0.412,0.616,0.207,0.106,0.494,0.335,0.027,0.0011,0.0004,-4.94,-4.68
guide gap mean 0 (guide at Street),-16.59,-13.52,-8.4,-2.25,3.87,10.41,14.34,-2.03,9.41,9.63,0.265,0.383,0.599,0.214,0.106,0.465,0.301,0.026,0.0005,0.0002,-3.68,-3.37
guide gap mean -3.5,-18.13,-14.93,-9.78,-3.45,2.87,9.46,13.74,-3.22,9.65,10.17,0.318,0.437,0.642,0.186,0.093,0.497,0.335,0.022,0.0007,0.0002,-6.05,-5.74
options anchor at B's 9.5 sd,-17.62,-14.42,-9.25,-2.94,3.36,10.06,14.15,-2.71,9.64,10.02,0.297,0.415,0.624,0.2,0.101,0.488,0.324,0.025,0.0006,0.0002,-4.99,-4.68
options anchor at 8.0 sd (thin 30 Oct leg),-17.0,-13.96,-8.94,-2.83,3.17,9.45,13.65,-2.65,9.3,9.67,0.286,0.407,0.624,0.192,0.092,0.469,0.305,0.021,0.0005,0.0002,-4.99,-4.68
weights decomposition 1.0 / base rate 0 / options 0,-19.21,-15.85,-10.7,-4.99,1.21,7.07,10.7,-4.68,9.39,10.49,0.363,0.5,0.708,0.143,0.058,0.51,0.335,0.014,0.0011,0.0004,,
weights decomposition 0.34 / base rate 0.33 / options 0.33,-16.75,-13.72,-8.58,-2.21,3.89,10.77,14.65,-2.05,9.48,9.7,0.271,0.385,0.597,0.215,0.111,0.473,0.312,0.026,0.0004,0.0001,,
weights decomposition 0.6 / base rate 0.2 / options 0.2,-17.78,-14.6,-9.5,-3.35,2.91,9.27,13.47,-3.09,9.52,10.01,0.307,0.43,0.641,0.186,0.09,0.487,0.321,0.021,0.0007,0.0002,,
weights decomposition 0.4 / base rate 0.2 / options 0.4,-17.34,-14.15,-8.9,-2.62,3.56,9.76,13.69,-2.51,9.43,9.76,0.283,0.401,0.613,0.204,0.096,0.474,0.308,0.022,0.0005,0.0002,,
weights decomposition 0.0 / base rate 0.5 / options 0.5,-15.24,-12.47,-7.21,-0.87,5.03,12.29,15.54,-0.74,9.23,9.26,0.224,0.327,0.542,0.251,0.137,0.453,0.3,0.032,0.0,0.0,,
