window,booking_quarter,reported_net_gbv_musd,cumulative_allocated_fee_musd,observed_effective_fee_per_net_gbv,min_lag_in_window,max_lag_in_window,n_recognition_quarters,missing_within_support,right_censored,left_censored,tail_beyond4,basis
W1,2022Q1,17200.0,0.0,0.0,4,4,1,"0,1,2,3",False,True,unobserved,"conditional accounting allocation,not survival"
W1,2022Q2,17000.0,0.0,0.0,3,4,2,"0,1,2",False,True,unobserved,"conditional accounting allocation,not survival"
W1,2022Q3,15600.0,949.7516758656868,0.06088151768369787,2,4,3,"0,1",False,True,unobserved,"conditional accounting allocation,not survival"
W1,2022Q4,13500.0,1255.8661846859911,0.0930271247915549,1,4,4,0,False,True,unobserved,"conditional accounting allocation,not survival"
W1,2023Q1,20400.0,2965.408693307393,0.14536317124055848,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2023Q2,19100.0,2651.098196215609,0.1388009526814455,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2023Q3,18300.0,2449.1674235975297,0.13383428544248796,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2023Q4,15500.0,2201.3411826554784,0.1420220117842244,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2024Q1,22900.0,3321.717016367,0.14505314481951964,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2024Q2,21200.0,2913.7214753271974,0.13743969223241498,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2024Q3,20100.0,2642.751431623147,0.13148017072751975,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2024Q4,17600.0,2505.441661357366,0.14235463984985033,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2025Q1,24500.0,3532.3763583041073,0.1441786268695554,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2025Q2,23500.0,3225.6492022909033,0.13726166818259164,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W1,2025Q3,22900.0,3030.9109941407523,0.13235419188387565,0,3,4,4,True,False,unobserved,"conditional accounting allocation,not survival"
W1,2025Q4,20400.0,2908.6813937132174,0.14258242126045184,0,2,3,"3,4",True,False,unobserved,"conditional accounting allocation,not survival"
W1,2026Q1,29200.0,1283.981515919954,0.0439719697232861,0,1,2,"2,3,4",True,False,unobserved,"conditional accounting allocation,not survival"
W1,2026Q2,27200.0,1708.1355946286678,0.06279910274370103,0,0,1,"1,2,3,4",True,False,unobserved,"conditional accounting allocation,not survival"
W2,2023Q1,20400.0,0.0,0.0,4,4,1,"0,1,2,3",False,True,unobserved,"conditional accounting allocation,not survival"
W2,2023Q2,19100.0,0.0,0.0,3,4,2,"0,1,2",False,True,unobserved,"conditional accounting allocation,not survival"
W2,2023Q3,18300.0,1089.073828254208,0.05951223105214251,2,4,3,"0,1",False,True,unobserved,"conditional accounting allocation,not survival"
W2,2023Q4,15500.0,1336.1072788447204,0.08620046960288519,1,4,4,0,False,True,unobserved,"conditional accounting allocation,not survival"
W2,2024Q1,22900.0,3276.822247261098,0.14309267455288638,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W2,2024Q2,21200.0,2922.7925293567696,0.13786757213947026,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W2,2024Q3,20100.0,2678.194738719707,0.1332435193392889,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W2,2024Q4,17600.0,2493.022103314991,0.14164898314289723,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W2,2025Q1,24500.0,3479.7549951704286,0.14203081612940524,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W2,2025Q2,23500.0,3234.869224845286,0.1376540095678845,0,4,5,,False,False,unobserved,"conditional accounting allocation,not survival"
W2,2025Q3,22900.0,3066.168766338977,0.1338938325912217,0,3,4,4,True,False,unobserved,"conditional accounting allocation,not survival"
W2,2025Q4,20400.0,2892.428914085162,0.14178573108260598,0,2,3,"3,4",True,False,unobserved,"conditional accounting allocation,not survival"
W2,2026Q1,29200.0,1328.9854242555823,0.04551319946080761,0,1,2,"2,3,4",True,False,unobserved,"conditional accounting allocation,not survival"
W2,2026Q2,27200.0,1830.7799495530717,0.06730808638062763,0,0,1,"1,2,3,4",True,False,unobserved,"conditional accounting allocation,not survival"
