route,p_yes,median_yoy_pct,q10_pct,q90_pct,median_uf_musd,p_ge_plus6,p_inconclusive
"all routes: u = catch-up branch only N(14.5, 2)",0.172,0.4,-4.19,5.21,1827,0.069,0.759
"all routes: u = convergence branch only N(17, 2.5)",0.452,-2.5,-7.67,2.88,1774,0.021,0.527
"all routes: u = deepening branch only N(19.5, 3)",0.697,-5.39,-11.21,0.59,1722,0.007,0.296
"all routes: u = rev-1 N(18, 3)",0.556,-3.64,-9.43,2.29,1754,0.018,0.426
"all routes: u = Astra N(16.5, 4)",0.418,-1.86,-8.9,5.17,1786,0.076,0.506
"all routes: u = flat at 2Q26 solved N(15.1, 1.5)",0.205,-0.34,-4.43,4.11,1814,0.035,0.76
all routes: u = 20 +- 3,0.739,-5.98,-11.8,0.03,1711,0.005,0.256
u weights 0.45 catch-up / 0.40 convergence / 0.15 deepening,0.363,-1.43,-7.44,4.07,1794,0.04,0.597
u weights 0.15 catch-up / 0.45 convergence / 0.40 deepening,0.509,-3.11,-9.28,2.82,1763,0.023,0.468
A: GBV Street +15.2 +-1.9,0.363,-1.26,-7.68,4.97,1797,0.066,0.57
A: GBV +11.0 +-1.9,0.501,-3.01,-9.16,2.45,1765,0.015,0.484
"A: GBV rev-1 N(13.2, 1.9)",0.421,-2.08,-8.25,3.6,1782,0.032,0.547
A: u_3Q25 base 5,0.376,-1.46,-7.77,4.65,1793,0.057,0.567
A: u_3Q25 base 2,0.491,-2.9,-9.13,2.69,1767,0.019,0.49
A: migration 0 (migration-neutral),0.464,-2.59,-8.73,2.97,1773,0.022,0.514
A: migration +2,0.398,-1.77,-8.02,4.2,1788,0.046,0.556
A: k 1.0,0.359,-1.25,-7.56,4.73,1797,0.058,0.583
B: seq norm sd 0.6 (2023-25 sample sd),0.43,-2.19,-8.28,3.49,1780,0.031,0.539
B: seq = 3Q25 only (-36.3),0.403,-1.87,-8.04,3.73,1786,0.034,0.563
B: u_2Q26 13.0 (note 04 1Q26-2Q26 low end),0.497,-2.96,-9.38,3.31,1766,0.03,0.473
"C: norm 0.661 (three-year, RNPL launch quarter included)",0.44,-2.3,-8.47,3.44,1778,0.03,0.53
C: norm 0.655 (3Q25 ratio only),0.461,-2.54,-8.75,3.24,1774,0.027,0.512
"C: 4Q26 revenue 3,130 (bridge v2)",0.457,-2.49,-8.69,3.28,1775,0.028,0.515
"C: 4Q26 revenue 3,240 (kernel at stacked GBV)",0.389,-1.65,-7.95,4.23,1790,0.046,0.565
C: migration 0,0.461,-2.55,-8.72,3.21,1774,0.027,0.512
weights all A,0.36,-1.23,-7.96,4.54,1798,0.05,0.59
weights all B,0.533,-3.34,-8.88,1.62,1759,0.006,0.461
weights all C,0.43,-2.19,-8.21,3.43,1780,0.029,0.541
"joint bear-for-YES: GBV 11, u deepening only, migration 0",0.819,-6.97,-12.81,-1.4,1693,0.001,0.18
"joint bull-for-NO: GBV 15.2, u catch-up only, migration 2",0.109,2.01,-3.19,7.67,1857,0.188,0.703
