route,p_yes,median_yoy_pct,q10_pct,q90_pct,median_uf_musd,p_ge_plus6
A: GBV Street 15.2 +-1.9,0.299,-0.46,-6.83,5.34,1812,0.076
A: GBV 11.0,0.639,-4.66,-11.03,1.14,1735,0.008
A: u_3Q26 15 (flat vs 2Q26),0.196,0.99,-5.09,6.59,1838,0.127
A: u_3Q26 20 (July expansion + international ramp),0.644,-4.77,-11.34,1.2,1733,0.008
A: u_3Q26 22,0.798,-7.08,-13.87,-0.92,1691,0.002
A: u_3Q25 base 5 (US launch quarter carried more),0.315,-0.73,-6.95,4.96,1807,0.064
A: migration 0 (audit's migration-neutral reading),0.539,-3.46,-9.77,2.29,1757,0.015
A: migration +2,0.374,-1.46,-7.83,4.34,1793,0.048
A: k 1.0,0.261,-0.14,-6.02,5.18,1817,0.068
B: no deepening (Q3 decline equals 2023-25 mean),0.261,-1.85,-4.17,0.48,1786,0.0
B: deepening -3 (1Q26-style),0.919,-6.51,-9.73,-3.3,1702,0.0
B: seq = 3Q25 only (-36.3),0.539,-3.24,-6.46,-0.03,1761,0.0
"C: 4Q26 revenue 3,130 (bridge v2)",0.723,-5.43,-10.59,-0.13,1721,0.003
"C: 4Q26 revenue 3,240 (kernel at stacked GBV)",0.415,-2.11,-7.41,3.34,1782,0.029
C: u 15,0.271,-0.47,-5.74,4.95,1812,0.064
C: u 20,0.789,-6.33,-11.51,-1.0,1705,0.002
"C: norm 0.655 (3Q25 ratio, RNPL-contaminated)",0.674,-4.85,-10.03,0.46,1732,0.005
C: migration 0,0.726,-5.39,-10.42,-0.25,1722,0.003
"joint bear for YES: GBV 11, u 20, migration 0",0.855,-7.97,-14.54,-2.0,1675,0.001
"joint bull for NO: GBV 15.2, u 15, migration 2",0.072,3.99,-2.09,9.59,1893,0.327
