u_3Q26_pct,gbv_yoy_pct,uf_yoy_pct,uf_musd,yes
12,11.0,2.1,1859,False
12,13.2,4.3,1899,False
12,15.2,6.3,1935,False
15,11.0,-1.3,1796,False
15,13.2,0.9,1836,False
15,15.2,2.9,1872,False
17,11.0,-3.7,1753,True
17,13.2,-1.5,1793,False
17,15.2,0.5,1830,False
18,11.0,-4.8,1732,True
18,13.2,-2.6,1772,False
18,15.2,-0.6,1809,False
20,11.0,-7.1,1690,True
20,13.2,-4.9,1730,True
20,15.2,-2.9,1766,False
22,11.0,-9.5,1648,True
22,13.2,-7.3,1688,True
22,15.2,-5.3,1724,True
25,11.0,-12.9,1584,True
25,13.2,-10.7,1625,True
25,15.2,-8.7,1661,True
