q,uf,gbv,rev_next,uf_yoy,gbv_yoy,gap_pts,seq_pct,uf_to_next_rev
1Q23,2172,20400,2484.0,,,,,0.8743961352657005
2Q23,2347,19100,3397.0,,,,8.05709023941068,0.690903738592876
3Q23,1467,18300,2218.0,,,,-37.49467405198125,0.6614066726780884
4Q23,1427,15500,2142.0,,,,-2.726653033401505,0.6661998132586368
1Q24,2434,22900,2748.0,12.062615101289143,12.254901960784315,-0.19228685949517121,70.56762438682551,0.8857350800582242
2Q24,2621,21200,3732.0,11.674478057094163,10.994764397905765,0.6797136591883977,7.682826622843053,0.7023043944265809
3Q24,1657,20100,2480.0,12.951601908657118,9.836065573770503,3.115536334886615,-36.77985501716902,0.6681451612903225
4Q24,1616,17600,2272.0,13.24456902592852,13.548387096774196,-0.3038180708456757,-2.4743512371756204,0.7112676056338029
1Q25,2723,24500,3096.0,11.873459326212,6.986899563318771,4.886559762893229,68.50247524752476,0.8795219638242894
2Q25,2857,23500,4095.0,9.004196871423131,10.849056603773576,-1.8448597323504448,4.921042967315459,0.6976800976800976
3Q25,1820,22900,2778.0,9.837054918527466,13.93034825870647,-4.093293340179004,-36.296814840742044,0.6551475881929446
4Q25,1743,20400,2678.0,7.858910891089099,15.909090909090917,-8.050180018001818,-4.230769230769226,0.6508588498879762
1Q26,2733,29200,3608.0,0.3672420124862352,19.183673469387763,-18.816431456901526,56.79862306368331,0.7574833702882483
2Q26,2831,27200,,-0.9100455022751142,15.74468085106382,-16.654726353338933,3.5858031467252083,
