arm,origin_date,release_origin_date,last_reported_quarter,target,horizon_quarters,guide_announcements_ahead,vendor,street_available,street_revenue_musd,street_snapshot_date,snapshot_age_days,street_count,street_high_musd,street_low_musd,actual_guide_mid_musd,guide_event_date,new_company_releases_between,new_guides_between,model_point_reuse_allowed,source_status,selected_commit_datetime_raw,selected_commit,row_specific_asof_proof,earliest_target_snapshot,first_appearance_diagnostic_only,days_origin_to_first_target_snapshot
release_day,2022-05-03,2022-05-03,2022Q1,2023Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,1785.0,2023-02-14,0,0,True,UNAVAILABLE,,,False,2022-11-06,True,187
calendar_minus16,2022-06-15,2022-05-03,2022Q1,2023Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,1785.0,2023-02-14,0,0,True,UNAVAILABLE,,,False,2022-11-06,True,144
release_day,2022-08-02,2022-08-02,2022Q2,2023Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,1785.0,2023-02-14,0,0,True,UNAVAILABLE,,,False,2022-11-06,True,96
calendar_minus16,2022-09-15,2022-08-02,2022Q2,2023Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,1785.0,2023-02-14,0,0,True,UNAVAILABLE,,,False,2022-11-06,True,52
release_day,2022-08-02,2022-08-02,2022Q2,2023Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2400.0,2023-05-09,0,0,True,UNAVAILABLE,,,False,2023-02-19,True,201
calendar_minus16,2022-09-15,2022-08-02,2022Q2,2023Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2400.0,2023-05-09,0,0,True,UNAVAILABLE,,,False,2023-02-19,True,157
release_day,2022-11-01,2022-11-01,2022Q3,2023Q1,2,1,DoltHub post-no-preference/earnings,False,,,,,,,1785.0,2023-02-14,0,0,True,UNAVAILABLE,,,False,2022-11-06,True,5
calendar_minus16,2022-12-16,2022-11-01,2022Q3,2023Q1,2,1,DoltHub post-no-preference/earnings,True,1680.0,2022-12-11,5.0,9.0,1750.0,1610.0,1785.0,2023-02-14,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2022-11-06,True,-40
release_day,2022-11-01,2022-11-01,2022Q3,2023Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2400.0,2023-05-09,0,0,True,UNAVAILABLE,,,False,2023-02-19,True,110
calendar_minus16,2022-12-16,2022-11-01,2022Q3,2023Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2400.0,2023-05-09,0,0,True,UNAVAILABLE,,,False,2023-02-19,True,65
release_day,2022-11-01,2022-11-01,2022Q3,2023Q3,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3350.0,2023-08-03,0,0,True,UNAVAILABLE,,,False,2023-05-14,True,194
calendar_minus16,2022-12-16,2022-11-01,2022Q3,2023Q3,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3350.0,2023-08-03,0,0,True,UNAVAILABLE,,,False,2023-05-14,True,149
release_day,2023-02-14,2023-02-14,2022Q4,2023Q2,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2400.0,2023-05-09,0,0,True,UNAVAILABLE,,,False,2023-02-19,True,5
