case,nights_yoy_pct,nights_mm,exna_split_assumed_pct,fx_estimator,adr_usd_4q26,gbv_busd,revenue_musd,revenue_yoy_pct,distance_to_guide_arith_lo_musd,distance_to_guide_arith_hi_musd,distance_to_consensus_musd,guide_arith_lo_musd_sourced,guide_arith_hi_musd_sourced,consensus_musd_sourced,bridge_driver_model_point_musd_descriptive
"A: team baseline (PR #32, NA-only lap)",8.86,132.7,,eur_fit,172.2,22.851,3112.3,12.03,62.3,12.3,-87.7,3050.0,3100.0,3200.0,3165.64
"A: team baseline (PR #32, NA-only lap)",8.86,132.7,,baskets,174.93,23.213,3161.6,13.81,111.6,61.6,-38.4,3050.0,3100.0,3200.0,3165.64
"A: team baseline (PR #32, NA-only lap)",8.86,132.7,,midpoint,173.55,23.03,3136.7,12.91,86.7,36.7,-63.3,3050.0,3100.0,3200.0,3165.64
B: WS-D global lap (40% ex-NA split),8.2,131.9,40.0,eur_fit,172.2,22.713,3093.5,11.36,43.5,-6.5,-106.5,3050.0,3100.0,3200.0,3165.64
B: WS-D global lap (40% ex-NA split),8.2,131.9,40.0,baskets,174.93,23.073,3142.5,13.12,92.5,42.5,-57.5,3050.0,3100.0,3200.0,3165.64
B: WS-D global lap (40% ex-NA split),8.2,131.9,40.0,midpoint,173.55,22.891,3117.8,12.23,67.8,17.8,-82.2,3050.0,3100.0,3200.0,3165.64
B: WS-D global lap (50% ex-NA split),8.03,131.7,50.0,eur_fit,172.2,22.679,3088.9,11.19,38.9,-11.1,-111.1,3050.0,3100.0,3200.0,3165.64
B: WS-D global lap (50% ex-NA split),8.03,131.7,50.0,baskets,174.93,23.038,3137.8,12.95,87.8,37.8,-62.2,3050.0,3100.0,3200.0,3165.64
B: WS-D global lap (50% ex-NA split),8.03,131.7,50.0,midpoint,173.55,22.857,3113.1,12.06,63.1,13.1,-86.9,3050.0,3100.0,3200.0,3165.64
"B: WS-D global lap, point (45% ex-NA split, midpoint of pinned 40-50% range)",8.12,131.8,45.0,eur_fit,172.2,22.696,3091.2,11.27,41.2,-8.8,-108.8,3050.0,3100.0,3200.0,3165.64
"B: WS-D global lap, point (45% ex-NA split, midpoint of pinned 40-50% range)",8.12,131.8,45.0,baskets,174.93,23.056,3140.2,13.04,90.2,40.2,-59.8,3050.0,3100.0,3200.0,3165.64
"B: WS-D global lap, point (45% ex-NA split, midpoint of pinned 40-50% range)",8.12,131.8,45.0,midpoint,173.55,22.874,3115.4,12.15,65.4,15.4,-84.6,3050.0,3100.0,3200.0,3165.64
