quarter_h,year,q,subwindow,adr_fx_disclosed_pp,est_from_eur,err_est_from_eur,abs_err_eur,est_from_regional_baskets,err_est_from_regional_baskets,abs_err_baskets,est_from_midpoint,err_est_from_midpoint,abs_err_midpoint,winner_by_quarter
2Q22,2022,2,2022 dollar surge (2Q22-4Q22),-5.6,-5.828,-0.228,0.228,-4.752,0.848,0.848,-5.29,0.3099999999999996,0.3099999999999996,eur
3Q22,2022,3,2022 dollar surge (2Q22-4Q22),-7.1,-7.149,-0.049,0.049,-6.357,0.743,0.743,-6.753,0.34699999999999953,0.34699999999999953,eur
4Q22,2022,4,2022 dollar surge (2Q22-4Q22),-5.5,-5.376,0.124,0.124,-4.945,0.555,0.555,-5.160500000000001,0.33949999999999925,0.33949999999999925,eur
1Q23,2023,1,"2023 (unwind, mixed)",-2.8,-2.525,0.275,0.275,-2.558,0.242,0.242,-2.5415,0.25849999999999973,0.25849999999999973,baskets
2Q23,2023,2,"2023 (unwind, mixed)",-0.6,0.459,1.059,1.059,0.342,0.942,0.942,0.4005,1.0005,1.0005,baskets
3Q23,2023,3,"2023 (unwind, mixed)",2.7,3.1,0.4,0.4,3.395,0.695,0.695,3.2475,0.5474999999999999,0.5474999999999999,eur
4Q23,2023,4,"2023 (unwind, mixed)",2.1,1.829,-0.271,0.271,2.453,0.353,0.353,2.141,0.040999999999999925,0.040999999999999925,midpoint
1Q24,2024,1,scored window (1Q24-2Q26),0.6,-0.042,-0.642,0.642,0.826,0.226,0.226,0.39199999999999996,-0.20800000000000002,0.20800000000000002,midpoint
2Q24,2024,2,scored window (1Q24-2Q26),-0.9,-1.076,-0.176,0.176,-0.661,0.239,0.239,-0.8685,0.03149999999999997,0.03149999999999997,midpoint
3Q24,2024,3,scored window (1Q24-2Q26),-0.6,-0.143,0.457,0.457,-0.213,0.387,0.387,-0.178,0.422,0.422,baskets
4Q24,2024,4,scored window (1Q24-2Q26),-1.1,-0.96,0.14,0.14,-1.005,0.095,0.095,-0.9824999999999999,0.11750000000000016,0.11750000000000016,baskets
1Q25,2025,1,scored window (1Q24-2Q26),-1.9,-1.915,-0.015,0.015,-2.439,-0.539,0.539,-2.177,-0.27700000000000014,0.27700000000000014,eur
2Q25,2025,2,scored window (1Q24-2Q26),1.9,1.844,-0.056,0.056,1.311,-0.589,0.589,1.5775000000000001,-0.3224999999999998,0.3224999999999998,eur
3Q25,2025,3,scored window (1Q24-2Q26),2.7,2.301,-0.399,0.399,2.026,-0.674,0.674,2.1635,-0.5365000000000002,0.5365000000000002,eur
4Q25,2025,4,scored window (1Q24-2Q26),2.9,3.549,0.649,0.649,3.364,0.464,0.464,3.4565,0.5565000000000002,0.5565000000000002,baskets
1Q26,2026,1,scored window (1Q24-2Q26),5.0,4.446,-0.554,0.554,5.06,0.06,0.06,4.753,-0.2469999999999999,0.2469999999999999,baskets
2Q26,2026,2,scored window (1Q24-2Q26),1.3,0.586,-0.714,0.714,1.696,0.396,0.396,1.141,-0.15900000000000003,0.15900000000000003,midpoint
