claim,series_a,series_b,window_from,n,r,mean_abs_gap_pp
statcan_24100053 vs statcan_liia,ca_us_residents_entering_overnight_full,ca_liia_air_us_residents_overnight_full,1Q22,18,0.984168134617104,369.30554514353133
statcan_24100053 vs statcan_liia,ca_us_residents_entering_overnight_full,ca_liia_air_us_residents_overnight_full,1Q23,14,0.9965144493938247,3.027391466463665
statcan_24100053 vs statcan_liia,ca_us_residents_entering_overnight_full,ca_liia_land_us_plated_vehicles_entering_full,1Q22,18,0.8857239779878047,147.63369571214432
statcan_24100053 vs statcan_liia,ca_us_residents_entering_overnight_full,ca_liia_land_us_plated_vehicles_entering_full,1Q23,14,0.9970568301628336,2.2510542671324285
statcan_24100053 vs statcan_liia,ca_nonresident_visitors_overnight_full,ca_liia_air_nonresident_visitors_overnight_full,1Q22,18,0.9960644040038016,98.29080604385959
statcan_24100053 vs statcan_liia,ca_nonresident_visitors_overnight_full,ca_liia_air_nonresident_visitors_overnight_full,1Q23,14,0.9964992555679931,3.4577612370311264
statcan_24100053 vs statcan_liia,ca_other_country_residents_entering_overnight_full,ca_liia_air_other_country_residents_overnight_full,1Q22,18,0.9709480750236986,69.25443448704345
statcan_24100053 vs statcan_liia,ca_other_country_residents_entering_overnight_full,ca_liia_air_other_country_residents_overnight_full,1Q23,14,0.9912674425742465,4.565370478103003
statcan_24100053 vs statcan_liia,ca_canadians_returning_from_us_overnight_full,ca_liia_air_intl_visitors_and_returning_total_full,1Q22,18,0.9292767428933503,99.19905303899924
statcan_24100053 vs statcan_liia,ca_canadians_returning_from_us_overnight_full,ca_liia_air_intl_visitors_and_returning_total_full,1Q23,14,0.9915475143611767,14.878249375705199
statcan_24100053 vs statcan_liia,ca_canadians_returning_from_other_overnight_full,ca_liia_air_intl_visitors_and_returning_total_full,1Q22,18,0.9983373201690173,123.22691629653981
statcan_24100053 vs statcan_liia,ca_canadians_returning_from_other_overnight_full,ca_liia_air_intl_visitors_and_returning_total_full,1Q23,14,0.7159264994648441,18.714525933284527
ntto_country vs statcan_24100053,us_inbound_canada_full,ca_canadians_returning_from_us_overnight_full,1Q22,15,0.991961367179397,302.7894640240473
ntto_country vs statcan_24100053,us_inbound_canada_full,ca_canadians_returning_from_us_overnight_full,1Q23,14,0.9840075525910187,185.80367269808693
ntto_country vs statcan_liia,us_inbound_canada_full,ca_liia_air_intl_visitors_and_returning_total_full,1Q22,15,0.970606174169522,323.9171263051007
ntto_country vs statcan_liia,us_inbound_canada_full,ca_liia_air_intl_visitors_and_returning_total_full,1Q23,14,0.9844876160502066,200.68185645816422
eurostat PT I552 vs EU27 I552,eurostat_pt_i552_full,eurostat_eu27_i552_full,1Q22,18,0.9811225445564066,16.957151932262043
eurostat PT I552 vs EU27 I552,eurostat_pt_i552_full,eurostat_eu27_i552_full,1Q23,14,0.4281849508442683,8.29499408492193
eurostat IT I552 vs EU27 I552,eurostat_it_i552_full,eurostat_eu27_i552_full,1Q22,18,0.9498931492537733,15.065706002496816
eurostat IT I552 vs EU27 I552,eurostat_it_i552_full,eurostat_eu27_i552_full,1Q23,14,0.747843822700594,15.265195483220667
eurostat FR I552 vs EU27 I552,eurostat_fr_i552_full,eurostat_eu27_i552_full,1Q22,18,0.9947688974306728,8.841553156976179
eurostat FR I552 vs EU27 I552,eurostat_fr_i552_full,eurostat_eu27_i552_full,1Q23,14,0.6076432141116921,6.051967428693998
eurostat HR I552 vs EU27 I552,eurostat_hr_i552_full,eurostat_eu27_i552_full,1Q22,18,0.8960242542941964,9.85788374403974
eurostat HR I552 vs EU27 I552,eurostat_hr_i552_full,eurostat_eu27_i552_full,1Q23,14,0.4813579220170211,4.5647611060460855
eurostat ES I552 vs INE EOAP apartments,eurostat_es_i552_full,es_apt_nights_full,1Q22,18,0.9996367745876281,2.8694609520542813
eurostat ES I552 vs INE EOAP apartments,eurostat_es_i552_full,es_apt_nights_full,1Q23,14,0.9520088083360974,1.5597974808629544
