workstream,feature,target,window,note,n,wf_n,scored_from,scored_to,r,perm_p,ratio_vs_naive,ratio_vs_expanding_mean,mean_vs_naive,jk_min,jk_max,jk_n_below_1,final_slope,slope_sign_stable,target_distinct_values
V,br_air_pax_domestic_lag1,latam_nights_yoy_mid,2022Q1+,V rank 1 survivor,16,12,3Q23,2Q26,0.880256174397729,0.001998001998001998,0.7539151608990527,0.5851791607360373,1.2883492979325848,0.6300596959823747,0.9004341583906327,12.0,0.1947315544417291,True,8
V,br_air_pax_domestic_lag1,latam_nights_yoy_mid,2023Q1+,V rank 1 survivor,14,10,1Q24,2Q26,0.6363743620634147,0.015984015984015984,0.7913768209045335,0.8246266140029298,0.9596789716293608,0.7315318723932489,0.869258561982101,10.0,0.3380565295908038,True,6
V,br_air_pax_domestic_lag1,latam_nights_yoy_mid,2024Q1+ (reviewer),V rank 1 survivor,10,6,1Q25,2Q26,0.38032796575479716,0.2867132867132867,0.7457505837404242,0.9831493922643164,0.7585323142222232,0.6439017025199788,0.891511751040885,6.0,0.21568139061831926,True,3
V,br_air_pax_domestic_lag1,total_nights_yoy,2022Q1+,V rank 1 on total,18,14,1Q23,2Q26,0.729847612559061,0.00999000999000999,1.7628505880031275,0.4498092326778191,3.9191071679619993,1.6816332941490495,1.923905945032676,0.0,0.42786056937550687,True,14
V,br_air_pax_domestic_lag1,total_nights_yoy,2023Q1+,V rank 1 on total,14,10,1Q24,2Q26,0.1983117316592739,0.5314685314685315,1.8021231781221427,1.3048216642821657,1.3811260400198537,1.4334988998799298,2.258501088790808,0.0,0.12325623003996901,False,10
V,br_air_pax_domestic_lag1,total_nights_yoy,2024Q1+ (reviewer),V rank 1 on total,10,6,1Q25,2Q26,-0.18074460193213737,0.6403596403596403,0.7748798300155365,1.2563353241419275,0.6167778738091095,0.5861935854193734,1.5663305174137163,5.0,-0.10278583733007267,True,6
V,br_pms_lodging_volume_lag1,latam_nights_yoy_mid,2022Q1+,V rank 2 survivor,13,9,2Q24,2Q26,0.21467023780826244,0.5174825174825175,0.9287663244017239,0.7435592170051609,1.2490818527440533,0.7335861262880568,1.219407867117174,8.0,0.11036516981534804,False,8
V,br_pms_lodging_volume_lag1,latam_nights_yoy_mid,2023Q1+,V rank 2 survivor,13,9,2Q24,2Q26,0.21467023780826244,0.4875124875124875,0.9287663244017239,0.9915032019858128,0.9367254916994343,0.7335861262880568,1.219407867117174,8.0,0.11036516981534804,False,6
V,br_pms_lodging_volume_lag1,latam_nights_yoy_mid,2024Q1+ (reviewer),V rank 2 survivor,10,6,1Q25,2Q26,-0.01698717032907375,0.9560439560439561,0.9491442359100304,1.251290443549864,0.7585323142222232,0.7323003653178671,1.1171084979663313,4.0,0.0672648679581453,False,3
V,ca_liia_land_us_plated_vehicles_entering_full,total_nights_yoy,2022Q1+,V rank 3 short-window,18,14,1Q23,2Q26,0.5609843335369107,0.052947052947052944,3.291324702979376,0.8398149277175595,3.9191071679619993,2.991852430778419,3.574123714152454,0.0,0.07112233829270835,False,14
V,ca_liia_land_us_plated_vehicles_entering_full,total_nights_yoy,2023Q1+,V rank 3 short-window,14,10,1Q24,2Q26,0.8939428595790885,0.000999000999000999,0.656329400992232,0.4752132549631728,1.3811260400198537,0.614652287781923,0.8025939854479346,10.0,0.062135130050987475,True,10
V,ca_liia_land_us_plated_vehicles_entering_full,total_nights_yoy,2024Q1+ (reviewer),V rank 3 short-window,10,6,1Q25,2Q26,0.5078428017628374,0.11988011988011989,0.5049939111836753,0.8187613930845533,0.6167778738091095,0.31604380953352235,1.1059604061444979,5.0,0.08995000699193723,True,6
V,ca_liia_air_us_residents_overnight_m2,total_nights_yoy,2022Q1+,V rank 3 m2 vintage,18,14,1Q23,2Q26,0.38205268923592806,0.054945054945054944,3.5688825786344465,0.9106366388266757,3.9191071679619993,3.309104075003402,4.419875937883582,0.0,0.003080593549519869,False,14
V,ca_liia_air_us_residents_overnight_m2,total_nights_yoy,2023Q1+,V rank 3 m2 vintage,14,10,1Q24,2Q26,0.8435487397093815,0.007992007992007992,0.81122682723315,0.5873662531346441,1.3811260400198537,0.7305453741395188,0.9835787752539882,10.0,0.04578054322807614,True,10
V,ca_liia_air_us_residents_overnight_m2,total_nights_yoy,2024Q1+ (reviewer),V rank 3 m2 vintage,10,6,1Q25,2Q26,0.22781861533313924,0.5334665334665335,1.6530311819885748,2.680107786259826,0.6167778738091095,1.2058957313425505,1.7113737602386045,0.0,0.03952844864554126,False,6
V,ca_liia_air_us_residents_overnight_full,na_nights_yoy_mid,2022Q1+,V rank 3 on NA bucket,16,12,3Q23,2Q26,0.8042478934158337,0.022977022977022976,1.003407500889776,0.9992995688846081,1.0041108113453436,0.91517191012981,1.0730201387421279,5.0,0.030881776116020544,True,10
V,ca_liia_air_us_residents_overnight_full,na_nights_yoy_mid,2023Q1+,V rank 3 on NA bucket,14,10,1Q24,2Q26,-0.1372578752147001,0.6023976023976024,1.0657062248370055,1.0220511180225207,1.042713232288175,0.9344513515725937,1.249511880707603,2.0,-0.005369888046359517,False,6
V,ca_liia_air_us_residents_overnight_full,na_nights_yoy_mid,2024Q1+ (reviewer),V rank 3 on NA bucket,10,6,1Q25,2Q26,-0.26237762031868067,0.46853146853146854,4.058021292512858,2.9689689532022436,1.3668116293826496,1.6546020924174096,4.919776272461482,0.0,-0.07366756429458667,False,3
V,jp_arrivals_taiwan_lag1,total_nights_yoy,2022Q1+,V rank 4 short-window,18,14,1Q23,2Q26,-0.028291939192196622,0.9040959040959041,62.622403890745026,15.978742404053655,3.9191071679619993,4.045763674237271,88.61212656036903,0.0,-5.940583147415374e-05,True,14
V,jp_arrivals_taiwan_lag1,total_nights_yoy,2023Q1+,V rank 4 short-window,14,10,1Q24,2Q26,0.8057137717982542,0.000999000999000999,0.6825036905131238,0.4941646676238996,1.3811260400198537,0.5760248864098075,0.8268147350980415,10.0,0.000256425012929466,True,10
V,jp_arrivals_taiwan_lag1,total_nights_yoy,2024Q1+ (reviewer),V rank 4 short-window,10,6,1Q25,2Q26,0.06544928024623402,0.8281718281718282,0.6701206159304905,1.0864861474228085,0.6167778738091095,0.5439555210998247,1.130296109406681,5.0,0.0015576437559239797,False,6
