workstream,rank,candidate,source,original_verdict,original_reason,audit_result,new_verdict,evidence
V,1,anac_brazil,ANAC Brazil air transport statistics (domestic and international paying passengers),survivor,5 test: beats naive on both windows,upheld,survivor (LatAm bucket only),"Replicated 0.754 / 0.791 (2022Q1+ scored 1Q23 / 2023Q1+), jk max 0.87 / 0.90, r 0.88 / 0.64; reviewer window 0.746 but 0.983 vs the expanding mean and r 0.38 (p 0.29); on total nights 1.76 / 1.80. The LatAm mid takes 6 distinct values on 2023Q1+ and 3 on the reviewer window, so it is a fit to a step function, as V said."
V,2,ibge_pms_8688,"IBGE monthly services survey (PMS) volume index, accommodation and food (1.1) and accommodation (1.1.1)",survivor,5 test: beats naive on both windows,reclassified,corroboration,"Replicated 0.929 / 0.929 but perm p 0.49 to 0.52, jk max 1.22 (8 of 9 below 1) and reviewer window 0.949 with jk max 1.12 and r -0.02. Fails the jackknife on both windows; V's own prose declined to call it a survivor. Verdict moved to corroboration (July accommodation volume -4.6% y/y)."
V,3,statcan_liia,"StatCan leading indicator of international arrivals (24-10-0056 air by residence, 24-10-0058 vehicles by plate)",short-window survivor,5 test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 3.29 / 0.656 on land vehicles (full quarter), jk max 0.80; reviewer window 0.505 (jk max 1.11, r 0.51) and 0.82 vs the expanding mean, the best of the short-window group. The m2 vintage (0.811 short) fails the reviewer window (1.65). NA bucket 1.00 / 1.07 / 4.06. Corroboration for NA cross-border, as V said."
V,4,jnto_arrivals,JNTO visitor arrivals to Japan by market,short-window survivor,5 test: beats naive on 2023Q1+ only,upheld,short-window survivor,Replicated 62.6 / 0.683 (Taiwan lag1); reviewer window 0.670 but r 0.07 (p 0.83) and 1.09 vs the expanding mean: on 2025Q1 to 2026Q2 the fit adds nothing over the target's own mean. The short-window ratio is the 2023 to 2024 normalisation.
V,5,jta_nights,"Japan Tourism Agency accommodation survey, total and foreign guest nights",short-window survivor,5 test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 9.49 / 0.684 (foreign nights m1); reviewer window 0.709, r -0.11, 1.15 vs the expanding mean. Same normalisation artefact as JNTO."
V,6,abs_340101,"ABS 3401.0 overseas arrivals to Australia (short-term visitors, resident returns)",short-window survivor,5 test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 3.06 / 0.786; reviewer window 0.673, r 0.05, 1.09 vs the expanding mean. Normalisation artefact."
V,7,nz_mbie_adp,New Zealand MBIE Accommodation Data Programme guest nights (commercial accommodation),short-window survivor,5 test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 4.53 / 0.793; reviewer window 0.698, r 0.20, 1.13 vs the expanding mean. Normalisation artefact."
V,8,ine_eoap_1998,Spain INE EOAP tourist-apartment travellers and overnight stays,corroboration,5 test: does not beat naive on either window,upheld,corroboration,Replicated 1.32 / 1.18 on total (foreign nights lag1) and 1.51 / 1.35 on the EMEA bucket; reviewer window 0.82 / 0.81 with r -0.23 / 0.11. Does not beat naive; the flat July read (-0.03%) stands as the EMEA market sentence.
V,9,hawaii_vacation_rental,Hawaii DBEDT vacation rental performance (Transparent Intelligence data),corroboration,3 history: starts 2024-01 (prior-year columns of the 2025 reports; 2024 report files 404) (fewer than 10 quarters from 1Q23); kept as corroboration,upheld,corroboration (reason corrected),"V's history reason is wrong: the 2024 report files V recorded as 404 sit under files.hawaii.gov/dbedt/visitor/vacation-rental/ (P's manifest, 38 vintages 2023-06 to 2026-07 cached). Re-tested from P's cache on within-vintage y/y: unit demand fails the NA bucket (1.38 to 1.67 on every window) and beats naive on total nights only with the wrong sign (lag1 0.78 / 0.78, r -0.22; occupancy lag1 0.65 with r -0.68). Corroboration stands on merit, not on missing history."
V,10,statcan_24100053,StatCan international travellers entering or returning to Canada (24-10-0053),duplicate,"duplicate of statcan_liia (same frontier counts, published six weeks earlier)",upheld,duplicate of statcan_liia,"Quarterly y/y correlation with the LIIA counterpart on 2023Q1+: US residents overnight vs LIIA air 0.997, non-residents 0.996, other-country residents 0.991, Canadians returning from the US vs LIIA air total 0.992 (R_duplicates.csv). The one series without an LIIA twin, Canadians returning from other countries, is r 0.72 and fails naive on the NA bucket (0.96, jk max 1.10)."
