parameter,quarter,base_pts,lo_pts,hi_pts,swing_lo_pp,swing_hi_pp,source
na_3q25_bucket,3Q26,9.887,9.599,10.175,-0.288,0.288,3Q25 letter bucket mid-single digit; WS10 lo 4.0 / hi 6.0
na_3q25_bucket,4Q26,8.157,8.157,8.157,0.0,0.0,3Q25 letter bucket mid-single digit; WS10 lo 4.0 / hi 6.0
na_3q25_bucket,1Q27,8.206,8.206,8.206,0.0,0.0,3Q25 letter bucket mid-single digit; WS10 lo 4.0 / hi 6.0
na_3q25_bucket,2Q27,5.934,5.934,5.934,0.0,0.0,3Q25 letter bucket mid-single digit; WS10 lo 4.0 / hi 6.0
na_3q25_bucket,3Q27,6.229,6.229,6.229,0.0,0.0,3Q25 letter bucket mid-single digit; WS10 lo 4.0 / hi 6.0
na_3q25_bucket,4Q27,6.045,6.045,6.045,0.0,0.0,3Q25 letter bucket mid-single digit; WS10 lo 4.0 / hi 6.0
na_1q26_bucket,3Q26,9.887,9.599,10.175,-0.288,0.288,1Q26 letter bucket high-single digit; WS10 lo 7.0 / hi 9.0
na_1q26_bucket,4Q26,8.157,8.028,8.287,-0.13,0.13,1Q26 letter bucket high-single digit; WS10 lo 7.0 / hi 9.0
na_1q26_bucket,1Q27,8.206,8.013,8.399,-0.193,0.193,1Q26 letter bucket high-single digit; WS10 lo 7.0 / hi 9.0
na_1q26_bucket,2Q27,5.934,5.646,6.222,-0.288,0.288,1Q26 letter bucket high-single digit; WS10 lo 7.0 / hi 9.0
na_1q26_bucket,3Q27,6.229,5.941,6.517,-0.288,0.288,1Q26 letter bucket high-single digit; WS10 lo 7.0 / hi 9.0
na_1q26_bucket,4Q27,6.045,5.757,6.333,-0.288,0.288,1Q26 letter bucket high-single digit; WS10 lo 7.0 / hi 9.0
global_bundle_pts,3Q26,9.887,9.887,9.887,0.0,0.0,D032 approximately three points (1Q26); D014 over 200bp (4Q25)
global_bundle_pts,4Q26,8.157,8.157,8.607,0.0,0.45,D032 approximately three points (1Q26); D014 over 200bp (4Q25)
global_bundle_pts,1Q27,8.206,8.206,8.876,0.0,0.67,D032 approximately three points (1Q26); D014 over 200bp (4Q25)
