period,basis,na_share,na_yoy,na_yoy_lo,na_yoy_hi,na_underlying,exna_yoy,na_bundle_pts_of_na,exna_bundle_pts_of_total,lap_fee,lap_rnpl,event,july,calibration_resid,total_yoy,total_yoy_committed,level_m
3Q25,printed,0.307,5.0,4.0,6.0,2.6,10.49,2.4,0.0,0.0,0.0,0.0,0.0,-0.01,8.795,8.795,133.6
4Q25,printed,0.3,5.0,4.0,6.0,2.6,11.6,2.4,0.742,0.0,0.0,0.0,0.0,0.2,9.82,9.82,121.9
1Q26,printed,0.293,8.0,7.0,9.0,3.31,10.7,4.69,1.649,0.0,0.0,0.0,0.0,-0.76,9.154,9.154,156.2
2Q26,printed,0.293,8.0,7.0,9.0,3.31,12.81,4.69,1.649,0.0,0.0,0.0,0.0,-1.06,10.342,10.342,148.3
3Q26,mechanism,0.288,5.6,,,3.31,11.621,2.29,1.649,0.0,0.0,0.0,0.0,,9.887,9.89,146.813
4Q26,mechanism,0.282,3.31,,,3.31,11.095,0.0,0.907,-0.742,0.0,0.0,0.0,,8.157,8.12,131.798
1Q27,mechanism,0.291,2.31,,,2.31,10.773,0.0,0.544,-0.742,-0.363,1.0,0.0,,8.206,8.206,169.018
2Q27,mechanism,0.291,2.31,,,2.31,10.452,0.0,-0.0,-0.742,-0.907,-0.5,0.0,,5.934,5.934,157.1
3Q27,mechanism,0.288,2.31,,,2.31,10.131,0.0,-0.0,-0.742,-0.907,0.0,0.0,,6.229,6.229,155.958
4Q27,mechanism,0.282,2.31,,,2.31,9.81,0.0,-0.0,-0.742,-0.907,0.0,0.0,,6.045,6.045,139.765
