quarter,region,fx_pp,fx_pp_basket,source
2018Q1,na,,,basket
2018Q1,emea,,,basket
2018Q1,latam,,,basket
2018Q1,apac,,,basket
2018Q2,na,,,basket
2018Q2,emea,,,basket
2018Q2,latam,,,basket
2018Q2,apac,,,basket
2018Q3,na,,,basket
2018Q3,emea,,,basket
2018Q3,latam,,,basket
2018Q3,apac,,,basket
2018Q4,na,,,basket
2018Q4,emea,,,basket
2018Q4,latam,,,basket
2018Q4,apac,,,basket
2019Q1,na,-2.3316375,-2.3316375,basket
2019Q1,emea,-6.6284735999999995,-6.6284735999999995,basket
2019Q1,latam,-4.5949365,-4.5949365,basket
2019Q1,apac,-4.5236,-4.5236,basket
2019Q2,na,-1.7018550000000001,-1.7018550000000001,basket
2019Q2,emea,-5.2162516,-5.2162516,basket
2019Q2,latam,-1.8867555000000005,-1.8867555000000005,basket
2019Q2,apac,-3.5109500000000002,-3.5109500000000002,basket
2019Q3,na,-0.490365,-0.490365,basket
2019Q3,emea,-4.305921199999999,-4.305921199999999,basket
2019Q3,latam,-0.824229,-0.824229,basket
2019Q3,apac,-1.61852,-1.61852,basket
2019Q4,na,0.0048075,0.0048075,basket
2019Q4,emea,-1.8381831999999998,-1.8381831999999998,basket
2019Q4,latam,-1.2868065,-1.2868065,basket
2019Q4,apac,-0.77185,-0.77185,basket
2020Q1,na,-0.528825,-0.528825,basket
2020Q1,emea,-2.3734507999999996,-2.3734507999999996,basket
2020Q1,latam,-5.2565625,-5.2565625,basket
2020Q1,apac,-2.8612199999999994,-2.8612199999999994,basket
2020Q2,na,-1.6393574999999998,-1.6393574999999998,basket
2020Q2,emea,-2.2316028,-2.2316028,basket
2020Q2,latam,-12.593321999999999,-12.593321999999999,basket
2020Q2,apac,-2.7180299999999997,-2.7180299999999997,basket
2020Q3,na,-0.413445,-0.413445,basket
2020Q3,emea,4.670553999999999,4.670553999999999,basket
2020Q3,latam,-10.7514225,-10.7514225,basket
2020Q3,apac,0.7413200000000002,0.7413200000000002,basket
2020Q4,na,0.6201675,0.6201675,basket
2020Q4,emea,5.5420848,5.5420848,basket
2020Q4,latam,-8.452552500000001,-8.452552500000001,basket
2020Q4,apac,2.8672400000000002,2.8672400000000002,basket
2021Q1,na,2.9950725,2.9950725,basket
2021Q1,emea,8.114539999999998,8.114539999999998,basket
2021Q1,latam,-5.932206,-5.932206,basket
2021Q1,apac,5.9520599999999995,5.9520599999999995,basket
2021Q2,na,6.13437,6.13437,basket
2021Q2,emea,9.5501252,9.5501252,basket
2021Q2,latam,5.007051000000001,5.007051000000001,basket
2021Q2,apac,5.515179999999999,5.515179999999999,basket
2021Q3,na,2.74989,2.74989,basket
2021Q3,emea,2.384298,2.384298,basket
2021Q3,latam,3.661371,3.661371,basket
2021Q3,apac,0.2571399999999999,0.2571399999999999,basket
2021Q4,na,1.6297424999999999,1.6297424999999999,basket
2021Q4,emea,-1.9437347999999994,-1.9437347999999994,basket
2021Q4,latam,-1.222326,-1.222326,basket
2021Q4,apac,-2.72319,-2.72319,basket
2022Q1,na,-0.028845,-0.028845,basket
2022Q1,emea,-5.1319772,-5.1319772,basket
2022Q1,latam,1.2699855,1.2699855,basket
2022Q1,apac,-4.861149999999999,-4.861149999999999,basket
2022Q2,na,-1.8076199999999998,-1.8076199999999998,basket
2022Q2,emea,-10.2581136,-10.2581136,basket
2022Q2,latam,2.057769,2.057769,basket
2022Q2,apac,-7.20293,-7.20293,basket
2022Q3,na,-1.682625,-1.682625,basket
2022Q3,emea,-13.390868399999999,-13.390868399999999,basket
2022Q3,latam,-0.3560445,-0.3560445,basket
2022Q3,apac,-8.82833,-8.82833,basket
2022Q4,na,-3.451785,-3.451785,basket
2022Q4,emea,-10.414563599999997,-10.414563599999997,basket
2022Q4,latam,3.296916,3.296916,basket
2022Q4,apac,-9.50386,-9.50386,basket
2023Q1,na,-3.0719925,-3.0719925,basket
2023Q1,emea,-5.446545999999999,-5.446545999999999,basket
2023Q1,latam,2.8819980000000003,2.8819980000000003,basket
2023Q1,apac,-5.88885,-5.88885,basket
2023Q2,na,-2.38452,-2.38452,basket
2023Q2,emea,1.3246099999999996,1.3246099999999996,basket
2023Q2,latam,3.5520345,3.5520345,basket
2023Q2,apac,-4.195939999999999,-4.195939999999999,basket
2023Q3,na,-1.259565,-1.259565,basket
2023Q3,emea,7.3130988,7.3130988,basket
2023Q3,latam,7.311528,7.311528,basket
2023Q3,apac,-2.1912799999999995,-2.1912799999999995,basket
2023Q4,na,2.0,-0.12499500000000001,disclosed_pair
2023Q4,emea,4.9822024,4.9822024,basket
2023Q4,latam,5.1388155,5.1388155,basket
2023Q4,apac,-1.0212500000000002,-1.0212500000000002,basket
2024Q1,na,3.0,0.1490325,disclosed_pair
2024Q1,emea,3.0,2.00256,disclosed_pair
2024Q1,latam,4.1127345,4.1127345,basket
2024Q1,apac,-3.96804,-3.96804,basket
2024Q2,na,3.0,-0.8845800000000001,disclosed_pair
2024Q2,emea,1.0,-0.47018439999999995,disclosed_pair
2024Q2,latam,-0.5859314999999999,-0.5859314999999999,basket
2024Q2,apac,-3.61114,-3.61114,basket
2024Q3,na,2.0,-0.8172750000000001,disclosed_pair
2024Q3,emea,3.0,1.37676,disclosed_pair
2024Q3,latam,-6.094809000000001,-6.094809000000001,basket
2024Q3,apac,-0.60329,-0.60329,basket
2024Q4,na,-1.2836025,-1.2836025,basket
2024Q4,emea,0.0,0.38716160000000005,disclosed_pair
2024Q4,latam,-9.0,-7.790926499999999,disclosed_pair
2024Q4,apac,-1.4976899999999997,-1.4976899999999997,basket
2025Q1,na,-1.0,-2.8941149999999998,disclosed_pair
2025Q1,emea,-2.0,-2.0430284,disclosed_pair
2025Q1,latam,-9.0,-8.9796105,disclosed_pair
2025Q1,apac,-4.0,-3.31788,disclosed_pair
2025Q2,na,-0.5624775,-0.5624775,basket
2025Q2,emea,6.0,5.0477028,disclosed_pair
2025Q2,latam,-5.0,-5.612607000000001,disclosed_pair
2025Q2,apac,1.0,0.37668,disclosed_pair
2025Q3,na,-0.46152,-0.46152,basket
2025Q3,emea,6.0,5.0547952,disclosed_pair
2025Q3,latam,1.0,0.9055305,disclosed_pair
2025Q3,apac,-1.0,-1.23023,disclosed_pair
2025Q4,na,0.16345500000000002,0.16345500000000002,basket
2025Q4,emea,8.0,6.8262264,disclosed_pair
2025Q4,latam,6.0,5.009854499999999,disclosed_pair
2025Q4,apac,0.0,-1.1893799999999999,disclosed_pair
2026Q1,na,2.2258725,2.2258725,basket
2026Q1,emea,11.0,8.976475199999998,disclosed_pair
2026Q1,latam,7.0,7.7068215,disclosed_pair
2026Q1,apac,4.0,1.3579400000000001,disclosed_pair
2026Q2,na,0.028845,0.028845,basket
2026Q2,emea,2.0,1.7685107999999998,disclosed_pair
2026Q2,latam,7.0,6.8881995,disclosed_pair
2026Q2,apac,-1.32311,-1.32311,basket
2026Q3,na,-0.80766,-0.80766,basket
