cls,obs_id,quarter,region,lo,hi,fitted,resid,inside
exact_regional_revenue,2022Q1-na,2022Q1,na,822.0,822.0,821.9999999999999,-1.1368683772161603e-13,True
exact_regional_revenue,2022Q1-emea,2022Q1,emea,373.0,373.0,373.0,0.0,True
exact_regional_revenue,2022Q1-latam,2022Q1,latam,178.0,178.0,178.0,0.0,True
exact_regional_revenue,2022Q1-apac,2022Q1,apac,136.0,136.0,136.0,0.0,True
exact_regional_revenue,2022Q2-na,2022Q2,na,1098.0,1098.0,1098.0,0.0,True
exact_regional_revenue,2022Q2-emea,2022Q2,emea,732.0,732.0,732.0,0.0,True
exact_regional_revenue,2022Q2-latam,2022Q2,latam,137.0,137.0,137.0,0.0,True
exact_regional_revenue,2022Q2-apac,2022Q2,apac,137.0,137.0,137.0,0.0,True
exact_regional_revenue,2022Q3-na,2022Q3,na,1326.0,1326.0,1325.9999999999998,-2.2737367544323206e-13,True
exact_regional_revenue,2022Q3-emea,2022Q3,emea,1263.0,1263.0,1263.0,0.0,True
exact_regional_revenue,2022Q3-latam,2022Q3,latam,139.0,139.0,139.0,0.0,True
exact_regional_revenue,2022Q3-apac,2022Q3,apac,156.0,156.0,156.0,0.0,True
exact_regional_revenue,2022Q4-na,2022Q4,na,964.0,964.0,964.0,0.0,True
exact_regional_revenue,2022Q4-emea,2022Q4,emea,556.0,556.0,556.0,0.0,True
exact_regional_revenue,2022Q4-latam,2022Q4,latam,189.0,189.0,188.99999999999997,-2.842170943040401e-14,True
exact_regional_revenue,2022Q4-apac,2022Q4,apac,193.0,193.0,193.0,0.0,True
exact_regional_revenue,2023Q1-na,2023Q1,na,925.0,925.0,925.0000000000001,1.1368683772161603e-13,True
exact_regional_revenue,2023Q1-emea,2023Q1,emea,458.0,458.0,458.00000000000006,5.684341886080802e-14,True
exact_regional_revenue,2023Q1-latam,2023Q1,latam,235.0,235.0,234.99999999999997,-2.842170943040401e-14,True
exact_regional_revenue,2023Q1-apac,2023Q1,apac,200.0,200.0,199.99999999999997,-2.842170943040401e-14,True
exact_regional_revenue,2023Q2-na,2023Q2,na,1192.0,1192.0,1192.0000000000002,2.2737367544323206e-13,True
exact_regional_revenue,2023Q2-emea,2023Q2,emea,941.0,941.0,941.0,0.0,True
exact_regional_revenue,2023Q2-latam,2023Q2,latam,163.0,163.0,163.0,0.0,True
exact_regional_revenue,2023Q2-apac,2023Q2,apac,188.0,188.0,188.0,0.0,True
exact_regional_revenue,2023Q3-na,2023Q3,na,1478.0,1478.0,1478.0,0.0,True
exact_regional_revenue,2023Q3-emea,2023Q3,emea,1533.0,1533.0,1532.9999999999998,-2.2737367544323206e-13,True
exact_regional_revenue,2023Q3-latam,2023Q3,latam,178.0,178.0,178.0,0.0,True
exact_regional_revenue,2023Q3-apac,2023Q3,apac,208.0,208.0,208.0,0.0,True
exact_regional_revenue,2023Q4-na,2023Q4,na,1043.0,1043.0,1043.0,0.0,True
exact_regional_revenue,2023Q4-emea,2023Q4,emea,683.0,683.0,683.0,0.0,True
exact_regional_revenue,2023Q4-latam,2023Q4,latam,248.0,248.0,248.0,0.0,True
exact_regional_revenue,2023Q4-apac,2023Q4,apac,244.0,244.0,244.0,0.0,True
exact_regional_revenue,2024Q1-na,2024Q1,na,1015.0,1015.0,1015.0000000000001,1.1368683772161603e-13,True
exact_regional_revenue,2024Q1-emea,2024Q1,emea,567.0,567.0,567.0,0.0,True
exact_regional_revenue,2024Q1-latam,2024Q1,latam,307.0,307.0,307.0,0.0,True
exact_regional_revenue,2024Q1-apac,2024Q1,apac,253.0,253.0,253.0,0.0,True
exact_regional_revenue,2024Q2-na,2024Q2,na,1308.0,1308.0,1308.0,0.0,True
exact_regional_revenue,2024Q2-emea,2024Q2,emea,1048.0,1048.0,1048.0000000000002,2.2737367544323206e-13,True
exact_regional_revenue,2024Q2-latam,2024Q2,latam,185.0,185.0,185.0,0.0,True
exact_regional_revenue,2024Q2-apac,2024Q2,apac,207.0,207.0,207.0,0.0,True
exact_regional_revenue,2024Q3-na,2024Q3,na,1572.0,1572.0,1572.0,0.0,True
