cik,Company Name,SIC,State location,State of Inc,Fiscal Year End
1001601,"MGT CAPITAL INVESTMENTS, INC.",7374,NC,DE,1231
100517,"United Airlines Holdings, Inc.",4512,IL,DE,1231
1005757,CSG SYSTEMS INTERNATIONAL INC,7374,CO,DE,1231
1011452,"Medical Information Technology, Inc.",7372,MA,MA,1231
1013462,ANSYS INC,7372,PA,DE,1231
1013857,PEGASYSTEMS INC,7374,MA,MA,1231
1014473,VERISIGN INC/CA,7371,VA,DE,1231
1015739,AWARE INC /MA/,7372,MA,MA,1231
1022505,CIPHERLOC Corp,7374,TX,TX,0930
1023364,"AutoWeb, Inc.",7370,FL,DE,1231
1025953,"NOVATION COMPANIES, INC.",6531,MO,MD,1231
1037976,JONES LANG LASALLE INC,6531,IL,MD,1231
1040896,"Intellicheck, Inc.",7372,NY,DE,1231
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,7011,MD,DE,1231
1046327,REALNETWORKS INC,7371,WA,WA,1231
1048286,MARRIOTT INTERNATIONAL INC /MD/,7011,MD,DE,1231
1050446,MICROSTRATEGY Inc,7372,VA,DE,1231
1052054,EVOLVING SYSTEMS INC,7371,CO,DE,1231
1052595,Red Lion Hotels CORP,7011,CO,WA,1231
1056696,MANHATTAN ASSOCIATES INC,7372,GA,GA,1231
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,NJ,,1231
1061937,HOST HOTELS & RESORTS L.P.,7011,MD,DE,0102
1070050,AppTech Corp.,7372,CA,CA,1231
1075531,Booking Holdings Inc.,4700,CT,DE,1231
1081745,"INTELLINETICS, INC.",7372,OH,NV,1231
1083301,IKONICS CORP,7374,MN,,1231
1084577,CYREN Ltd.,7372,L3,L3,1231
1085869,PERFICIENT INC,7371,MO,DE,1231
1092699,SPS COMMERCE INC,7372,MN,DE,1231
1095565,HEALTHSTREAM INC,7370,TN,TN,1231
1102993,LIVEPERSON INC,7372,NY,DE,1231
1104855,"Support.com, Inc.",7374,DE,DE,1231
1107843,"QUALYS, INC.",7372,CA,DE,1231
1108524,"SALESFORCE.COM, INC.",7372,CA,DE,0131
1112920,GLOBALSCAPE INC,7372,TX,DE,1231
1113513,"MobileSmith, Inc.",7372,NC,DE,1231
1120914,PDF SOLUTIONS INC,7372,CA,DE,1231
1124610,"VMWARE, INC.",7372,CA,DE,0128
1131554,SYNCHRONOSS TECHNOLOGIES INC,7371,NJ,,1231
1131903,SPECTRAL CAPITAL Corp,7374,WA,,1231
1135185,ATLAS AIR WORLDWIDE HOLDINGS INC,4522,NY,DE,1231
1158463,JETBLUE AIRWAYS CORP,4512,NY,DE,1231
1166003,"XPO Logistics, Inc.",4700,CT,,1231
1167419,"Riot Blockchain, Inc.",7374,CO,NV,1231
1169445,COMPUTER PROGRAMS & SYSTEMS INC,7371,AL,DE,1231
1169652,CHANNELADVISOR CORP,7372,NC,DE,1231
1172222,HAWAIIAN HOLDINGS INC,4512,HI,DE,1231
1173489,CEVA INC,7370,MD,DE,1231
1174922,WYNN RESORTS LTD,7011,NV,,1231
1211805,"My Size, Inc.",7372,L3,DE,1231
1212458,PROOFPOINT INC,7374,CA,DE,1231
1218683,Mawson Infrastructure Group Inc.,7374,C3,DE,1231
1220754,ModivCare Inc,4700,CO,DE,1231
1237746,"Endurance International Group Holdings, Inc.",7372,MA,DE,1231
1261333,"DOCUSIGN, INC.",7372,CA,DE,0131
1280058,BLACKBAUD INC,7372,SC,DE,1231
1281984,"Social Life Network, Inc.",7370,CO,NV,1231
