cik,Company Name,SIC,State location,State of Inc,Fiscal Year End
1000209,MEDALLION FINANCIAL CORP,6199,NY,DE,1231
1000228,HENRY SCHEIN INC,5047,NY,DE,1225
1000229,CORE LABORATORIES N V,1389,P7,P7,1231
1000230,OPTICAL CABLE CORP,3357,VA,VA,1031
1000232,KENTUCKY BANCSHARES INC /KY/,6022,KY,KY,1231
1000298,IMPAC MORTGAGE HOLDINGS INC,6798,CA,MD,1231
1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,2621,GA,DE,1231
1000694,NOVAVAX INC,2836,MD,DE,1231
1000697,WATERS CORP /DE/,3826,MA,DE,1231
1000753,"INSPERITY, INC.",7363,TX,DE,1231
1001082,DISH Network CORP,4841,CO,NV,1231
1001171,BROADWAY FINANCIAL CORP \DE\,6035,CA,DE,1231
100122,TUCSON ELECTRIC POWER CO,4911,AZ,AZ,1231
1001233,"SANGAMO THERAPEUTICS, INC",2836,CA,DE,1231
1001316,"TG THERAPEUTICS, INC.",2834,NY,DE,1231
1001385,NORTHWEST PIPE CO,3317,WA,OR,1231
1001601,"MGT CAPITAL INVESTMENTS, INC.",7374,NC,DE,1231
1001614,"Riley Exploration Permian, Inc.",1311,OK,DE,0930
1001838,SOUTHERN COPPER CORP/,1000,AZ,DE,1231
1001902,INTEVAC INC,3559,CA,DE,1231
1002910,AMEREN CORP,4931,MO,MO,1231
1003201,"MMA Capital Holdings, LLC",6500,MD,DE,1231
1003410,DUKE REALTY Ltd PARTNERSHIP/,6500,IN,IN,1231
1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,6189,UT,DE,1231
1003815,BCTC IV ASSIGNOR CORP,6513,MA,DE,1231
1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,6798,NC,NC,1231
1004155,SOUTHERN Co GAS,4924,GA,GA,1231
1004434,"AFFILIATED MANAGERS GROUP, INC.",6282,FL,DE,1231
1004702,OCEANFIRST FINANCIAL CORP,6035,NJ,DE,1231
1004724,"REGIONAL HEALTH PROPERTIES, INC",6519,GA,,1231
1004980,PG&E Corp,4931,CA,CA,1231
1005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC",2631,GA,DE,1231
100517,"United Airlines Holdings, Inc.",4512,IL,DE,1231
1005201,"Assertio Therapeutics, Inc",2834,IL,DE,1231
1005284,UNIVERSAL DISPLAY CORP \PA\,3670,NJ,PA,1231
1005409,DIME COMMUNITY BANCSHARES INC,6035,NY,DE,1231
1005757,CSG SYSTEMS INTERNATIONAL INC,7374,CO,DE,1231
1005817,TOMPKINS FINANCIAL CORP,6022,NY,NY,1231
1006045,IRIDEX CORP,3845,CA,DE,0102
1006269,LORAL SPACE & COMMUNICATIONS INC.,3663,NY,DE,1231
1006281,"Protalix BioTherapeutics, Inc.",2836,NJ,DE,1231
1006837,INNOVATE Corp.,3440,NY,DE,1231
1007019,COFFEE HOLDING CO INC,2090,NY,NV,1031
100716,UNICO AMERICAN CORP,6331,CA,NV,1220
1007273,BANK OF SOUTH CAROLINA CORP,6022,SC,SC,1231
1007330,"PRGX GLOBAL, INC.",8700,GA,GA,1231
