firm,analyst,date,rating,target,prior_target,camp,quote,quote_type,url,accessed
Morgan Stanley,Brian Nowak,2026-07-30,Underweight,125,120,bear,"Morgan Stanley analyst Brian Nowak maintained the stock with an Underweight rating and raised the price target from $120 to $125",secondary summary of the action (Benzinga headline; article body returned 403); web sources show $125 from $130 May 2025 then $130 Jul 2025 then $120 Aug 2025 then $125 Jul 2026 and no Jan 2026 action so the feed 13 Jan 2026 row ($120 to $130) is spurious,https://www.benzinga.com/analyst-stock-ratings/price-target/26/08/60988097/top-wall-street-forecasters-revamp-airbnb-expectations-ahead-of-q2-earnings,2026-09-12
Morgan Stanley,Brian Nowak,2026-07-30,Underweight,125,120,bear,"Morgan Stanley remains the lone Underweight, with a $125 target that frames Airbnb's premium multiple, near 37 times earnings and above Booking Holdings, as unsupported by near-term growth",secondary paraphrase of the thesis (blog),https://howtheymake.money/en/blog/abnb-q2-2026-hotels-accelerate,2026-09-12
Morgan Stanley,Brian Nowak,2022-12-07,Underweight (downgrade from Equal-weight),80,110,bear,"Supply deep dive speaks to slowing listings growth, occupancy headwinds, and lower room night demand",analyst's own words as reported at the original downgrade (the supply thesis the UW still rests on),https://www.streetinsider.com/dr/news.php?id=20938807,2026-09-12
Goldman Sachs,Eric Sheridan,2026-07-20,Neutral (feed says Sell),155,157,bear (by target),"Goldman Sachs Adjusts Price Target on Airbnb to $155 From $157, Maintains Neutral Rating",MarketScreener / MT Newswires headline; body paywalled,https://www.marketscreener.com/news/goldman-sachs-adjusts-price-target-on-airbnb-to-155-from-157-maintains-neutral-rating-ce7f51dbd98ff22c,2026-09-12
Goldman Sachs,Eric Sheridan,2026-08-07,Neutral (by continuity from the verified 20 Jul headline; the 7 Aug headline carries no rating),165,155,bear (by target),"Goldman Sachs Adjusts Airbnb Price Target to $165 From $155 (published 08/07/2026 at 11:28 am EDT, MT Newswires)",MarketScreener headline; rating by continuity; not in the yfinance feed,https://www.marketscreener.com/news/goldman-sachs-adjusts-airbnb-price-target-to-165-from-155-ce7f50d2d088f521,2026-09-12
Goldman Sachs,Eric Sheridan,2026-05-08,Neutral,157,150,bear (by target),"solid first-quarter 2026 results, which showed strong performance in booker and nights metrics ... Goldman expects investor focus on how growth investments impact scaled topline growth and any signs of operating margin expansion",Investing.com summary of the note (raise not in the yfinance feed),https://www.investing.com/news/analyst-ratings/goldman-sachs-raises-airbnb-stock-price-target-on-strong-q1-results-93CH-4671154,2026-09-12
Goldman Sachs,Eric Sheridan,2025-02-14,Neutral (upgrade from Sell),153,110,bear (by target),"34.5% adjusted EBITDA margin floor for 2025 ... a multi-year floor in terms of margins ... a balanced risk/reward at current share levels",TheFly via TipRanks (the upgrade that ended the Sell),https://www.tipranks.com/news/the-fly/airbnb-upgraded-to-neutral-from-sell-at-goldman-sachs,2026-09-12
Truist Securities,Patrick Scholes,2026-09-10,Hold,161,134,bear (by target),"Truist raised the firm's price target on Airbnb (ABNB) to $161 from $134 and keeps a Hold rating on the shares",TheFly via TipRanks; no reasoning published,https://www.tipranks.com/news/the-fly/airbnb-price-target-raised-to-161-from-134-at-truist-thefly-news,2026-09-12
Truist Securities,Patrick Scholes,2026-03-26,Hold (upgrade from Sell),129,107,bear (by target),"improved expectations for 2026 adjusted EBITDA and earnings ... 16% year-over-year Gross Booking Value growth and Q1 2026 revenue guidance of 14% to 16%",TIKR summary of the upgrade note,https://www.tikr.com/blog/airbnb-stock-upgraded-by-truist-this-week-heres-where-it-may-go-in-2026,2026-09-12
Truist Securities,Patrick Scholes,2026-03-26,Hold,129,107,bear (by target),"20x 2027E adj. EBITDA (blended); 2026E EBITDA $4.79B, EPS $5.03; 2027E EBITDA $5.37B, EPS $5.96",team pitch-landscape note (research/notes/2026-09-04_abnb-pitch-landscape.md s.1b) citing uk.finance.yahoo.com,https://uk.finance.yahoo.com/news/airbnb-upgraded-truist-stronger-2026-162608941.html,2026-09-04
