quarter,d,sessions_after_print,Firm,ToGrade,Action,priceTargetAction,priorPriceTarget,currentPriceTarget,chg_pct
2020Q4,2021-02-22,-4,Loop Capital,Buy,up,Raises,150.0,240.0,60.00000000000001
2020Q4,2021-02-26,0,Needham,Buy,main,Raises,200.0,225.0,12.5
2020Q4,2021-02-26,0,Credit Suisse,Neutral,main,Raises,156.0,162.0,3.8461538461538547
2020Q4,2021-02-26,0,DA Davidson,Buy,main,Raises,172.0,210.0,22.093023255813947
2020Q4,2021-02-26,0,Piper Sandler,Overweight,main,Raises,182.0,198.0,8.791208791208781
2020Q4,2021-02-26,0,Canaccord Genuity,Buy,main,Raises,175.0,220.0,25.71428571428571
2020Q4,2021-02-26,0,Mizuho,Neutral,main,Raises,150.0,176.0,17.333333333333336
2020Q4,2021-03-01,1,Morgan Stanley,Equal-Weight,main,Raises,140.0,160.0,14.28571428571428
2020Q4,2021-03-03,3,Truist Securities,Hold,main,Raises,154.0,180.0,16.883116883116877
2021Q1,2021-05-14,0,Needham,Buy,main,Lowers,210.0,194.0,-7.619047619047614
2021Q1,2021-05-14,0,Truist Securities,Hold,main,Lowers,180.0,160.0,-11.111111111111116
2021Q1,2021-05-14,0,B of A Securities,Neutral,main,Lowers,190.0,180.0,-5.263157894736848
2021Q1,2021-05-14,0,Wedbush,Neutral,main,Lowers,175.0,150.0,-14.28571428571429
2021Q1,2021-05-14,0,Credit Suisse,Neutral,main,Raises,162.0,164.0,1.2345679012345734
2021Q1,2021-05-14,0,Baird,Outperform,main,Lowers,210.0,200.0,-4.761904761904767
2021Q1,2021-05-14,0,Mizuho,Neutral,main,Lowers,176.0,165.0,-6.25
2021Q1,2021-05-14,0,Barclays,Equal-Weight,main,Lowers,180.0,140.0,-22.22222222222222
2021Q1,2021-05-21,5,Morgan Stanley,Equal-Weight,main,Lowers,160.0,125.0,-21.875
2021Q1,2021-06-09,17,Loop Capital,Buy,main,Lowers,240.0,195.0,-18.75
2021Q2,2021-08-13,0,Needham,Buy,main,Raises,194.0,200.0,3.092783505154628
2021Q2,2021-08-13,0,JMP Securities,Outperform,main,Lowers,190.0,180.0,-5.263157894736848
2021Q2,2021-08-13,0,Credit Suisse,Neutral,main,Raises,164.0,167.0,1.8292682926829285
2021Q2,2021-08-13,0,Wells Fargo,Overweight,main,Raises,200.0,210.0,5.000000000000004
2021Q2,2021-08-17,2,Citigroup,Neutral,main,Raises,149.0,152.0,2.0134228187919545
2021Q2,2021-08-17,2,Morgan Stanley,Equal-Weight,main,Raises,125.0,140.0,12.00000000000001
2021Q3,2021-11-05,0,Needham,Buy,main,Raises,200.0,210.0,5.000000000000004
2021Q3,2021-11-05,0,Credit Suisse,Neutral,main,Raises,167.0,179.0,7.18562874251496
2021Q3,2021-11-05,0,RBC Capital,Outperform,main,Raises,170.0,195.0,14.705882352941169
2021Q3,2021-11-05,0,Mizuho,Neutral,main,Raises,165.0,190.0,15.15151515151516
2021Q3,2021-11-05,0,JMP Securities,Market Outperform,main,Raises,190.0,205.0,7.8947368421052655
2021Q3,2021-11-08,1,Wells Fargo,Overweight,main,Raises,210.0,225.0,7.14285714285714
2021Q3,2021-11-08,1,Truist Securities,Hold,main,Raises,160.0,180.0,12.5
