sample,block_offset,spec,n,r2,const,b_dlp0,t_dlp0,b_dlp1,t_dlp1,b_dlp2,t_dlp2,sum_betas
overlapping daily (NW lags 21),,dlp0,1366.0,0.024322234961351996,-0.00026077798254480497,0.049558755738638244,1.2113799472501559,,,,,0.049558755738638244
overlapping daily (NW lags 21),,dlp0+dlp1,1366.0,0.1483259272556403,0.000188297474199254,0.06133555037650359,1.6062360855772808,0.11527278674000495,4.7249639794905445,,,0.17660833711650853
overlapping daily (NW lags 21),,dlp0+dlp1+dlp2,1366.0,0.2344055639281024,0.0004785462813774048,0.0739616601900906,2.120076420925951,0.1280906402145397,5.454167517431366,0.09534571658028508,4.061141193135296,0.29739801698491536
"overlapping daily (NW lags 21), from 2023",,dlp0+dlp1+dlp2,926.0,0.3966942250353581,0.001739903609777443,0.14137003220308772,3.048265335990112,0.1913697733413568,7.1415196475263825,0.10394987784967533,4.014608266341536,0.43668968339411984
"non-overlapping 21-session blocks, mean over 21 offsets",,dlp0+dlp1+dlp2,65.04761904761905,0.2536178702695447,0.0004623018303639743,0.07467770672146401,2.081132112412118,0.12960007930893017,3.5258265190254514,0.09525852802120276,2.653528342930907,0.29953631405159686
"non-overlapping 21-session blocks, min over 21 offsets",,dlp0+dlp1+dlp2,65.0,0.1925908840657512,0.00015119343303494296,0.03451354579976608,0.9116485934105482,0.08959979752485367,2.463846444325135,0.06124160837725746,1.64375887086304,0.2600051038782465
"non-overlapping 21-session blocks, max over 21 offsets",,dlp0+dlp1+dlp2,66.0,0.34149432264302404,0.0008108479383948379,0.11147077616012707,3.0762067588473943,0.1938756564118786,4.915746584941831,0.12211511843599938,3.76124678182547,0.3577789527107128
"non-overlapping 21-session blocks, offsets with contemporaneous t > 1.96",,dlp0+dlp1+dlp2,11.0,,,,,,,,,
non-overlapping 21-session blocks,0.0,dlp0+dlp1+dlp2,66.0,0.34149432264302404,0.00015119343303494296,0.05295993455265542,1.4851171810561972,0.17030177818862222,4.815278026947332,0.1141173757244752,3.278160025093626,0.3373790884657528
non-overlapping 21-session blocks,1.0,dlp0+dlp1+dlp2,65.0,0.2757993811642224,0.00023876847053219417,0.060866070036594604,1.6653021816957674,0.15844113598507736,4.148208916911531,0.11242180943310523,3.0850844567973557,0.3317290154547772
non-overlapping 21-session blocks,2.0,dlp0+dlp1+dlp2,65.0,0.25627746106595406,0.00015132399008832394,0.04744834864456774,1.2088920052221666,0.17075914367698714,4.191704307496753,0.08574295878195351,2.2474444770195814,0.3039504511035084
non-overlapping 21-session blocks,3.0,dlp0+dlp1+dlp2,65.0,0.29518228030026394,0.0003922354320402239,0.04807127272262577,1.3095840935979692,0.1877033294749777,4.915746584941831,0.0672903234803617,1.8710059562327652,0.30306492567796517
non-overlapping 21-session blocks,4.0,dlp0+dlp1+dlp2,65.0,0.25285106806224256,0.0003384698236763052,0.03451354579976608,0.9116485934105482,0.17202639853457224,4.365821032406677,0.06124160837725746,1.64375887086304,0.26778155271159576
non-overlapping 21-session blocks,5.0,dlp0+dlp1+dlp2,65.0,0.2635695812412846,0.0004033234183310901,0.0502395501286168,1.4684215398170273,0.14949481500746523,4.19220098225241,0.08548358715638382,2.577085968679661,0.2852179522924658
non-overlapping 21-session blocks,6.0,dlp0+dlp1+dlp2,65.0,0.2606948397030364,0.0005670246806569704,0.03465847123992033,1.0621766676880677,0.13160084224005705,3.866385754342626,0.1023242825323604,3.151077732973587,0.2685835960123378
non-overlapping 21-session blocks,7.0,dlp0+dlp1+dlp2,65.0,0.2884192177970285,0.0006544286479978763,0.05168270322312984,1.628769038316047,0.12456665150618258,3.7685779994358395,0.12211511843599938,3.76124678182547,0.2983644731653118
non-overlapping 21-session blocks,8.0,dlp0+dlp1+dlp2,65.0,0.2568338654688973,0.0007903677246407051,0.07423347394649603,2.3904645550785784,0.11313945859569725,3.4438566961915984,0.10316415779442102,3.2172560869026166,0.2905370903366143
non-overlapping 21-session blocks,9.0,dlp0+dlp1+dlp2,65.0,0.24052134977787964,0.0004687471185294611,0.0770876752515427,2.4006861736347918,0.0981516483846884,2.9376397654768946,0.1110590030797535,3.3890025228730405,0.2862983267159846
non-overlapping 21-session blocks,10.0,dlp0+dlp1+dlp2,65.0,0.19499671617742398,0.0003163528221375182,0.08223548237058338,2.4389953456461235,0.08959979752485367,2.6121276706861054,0.08816982398280944,2.5750810812132805,0.2600051038782465
non-overlapping 21-session blocks,11.0,dlp0+dlp1+dlp2,65.0,0.22475335951408415,0.000292266311852988,0.10855309679211096,3.031740666311232,0.09404648031476492,2.589948733885932,0.08456033683808228,2.374084340509552,0.28715991394495816
non-overlapping 21-session blocks,12.0,dlp0+dlp1+dlp2,65.0,0.2423165055376726,0.0003564856094430472,0.11042112319958385,3.0762067588473943,0.10966411360234651,2.9722223109785193,0.07706269092110572,2.0860445345856022,0.2971479277230361
non-overlapping 21-session blocks,13.0,dlp0+dlp1+dlp2,65.0,0.2387942504007261,0.0004303607385695113,0.11147077616012707,3.0282792785493204,0.10581962322622328,2.802281526852778,0.09680927294627595,2.5698996697063947,0.3140996723326263
non-overlapping 21-session blocks,14.0,dlp0+dlp1+dlp2,65.0,0.1925908840657512,0.0005665604930664514,0.09034230809883373,2.396633594343179,0.10296660886856152,2.666678633225246,0.08854379700912818,2.331838393081249,0.28185271397652345
non-overlapping 21-session blocks,15.0,dlp0+dlp1+dlp2,65.0,0.2008529374204291,0.0005398907355534684,0.10128197564450432,2.663625068600536,0.10143551706126554,2.5804099062127412,0.09458499292561957,2.4299758657438173,0.29730248563138945
non-overlapping 21-session blocks,16.0,dlp0+dlp1+dlp2,65.0,0.2184686710400343,0.0008108479383948379,0.10798296190778857,2.8243586570458126,0.09539418542890962,2.463846444325135,0.10022651059300886,2.5785558840785052,0.30360365792970706
non-overlapping 21-session blocks,17.0,dlp0+dlp1+dlp2,65.0,0.22844614832877297,0.0007278875507275985,0.10686809451171791,2.85021086122534,0.10067346041524347,2.6736872835746017,0.09380129170711915,2.452460221724793,0.3013428466340805
non-overlapping 21-session blocks,18.0,dlp0+dlp1+dlp2,65.0,0.2800968179028951,0.0006183416170654366,0.0815929991901818,2.3819711084922557,0.11740842707522975,3.520335311344351,0.10536924546530825,3.0059680437147045,0.3043706717307198
non-overlapping 21-session blocks,19.0,dlp0+dlp1+dlp2,65.0,0.2570925306316503,0.00043603771243212844,0.06964685303516555,1.8333903702272036,0.1345325939639297,3.626333241445087,0.10851272965612623,2.7561541914854515,0.3126921766552215
non-overlapping 21-session blocks,20.0,dlp0+dlp1+dlp2,65.0,0.3159230874171647,0.0004574241688723795,0.06607512469423141,1.647300621848915,0.1938756564118786,4.889065770600497,0.0978281716046028,2.3429100964449594,0.3577789527107128
