Firm,date,rating,rating_bucket,target,upside_vs_170_19_pct,implied_ev_fy27_ebitda_spot_basis_x,implied_ev_fy27_ebitda_fy27_basis_x,implied_pe_fy27_delivered_x,req_fy27_ebitda_musd_at_13.5x,req_fy27_revenue_musd_at_13.5x,req_fy27_rev_growth_pct_at_13.5x,req_fy27_nights_growth_pct_at_13.5x,req_fy27_eps_at_13.5x,req_ebitda_vs_delivered_pct_at_13.5x,req_fy27_ebitda_musd_at_16.5x,req_fy27_revenue_musd_at_16.5x,req_fy27_rev_growth_pct_at_16.5x,req_fy27_nights_growth_pct_at_16.5x,req_fy27_eps_at_16.5x,req_ebitda_vs_delivered_pct_at_16.5x,req_fy27_ebitda_musd_at_18.5x,req_fy27_revenue_musd_at_18.5x,req_fy27_rev_growth_pct_at_18.5x,req_fy27_nights_growth_pct_at_18.5x,req_fy27_eps_at_18.5x,req_ebitda_vs_delivered_pct_at_18.5x
DA Davidson,2026-08-31,Buy,Buy,220.0,29.267289499970616,20.98739914810608,19.814891922143193,36.1961171437973,9018.296296296296,24912.420708000816,75.05368769114689,70.98092212610312,10.734353276956204,55.46221591189686,7378.606060606061,20382.88967018249,43.225744474574746,39.89348173953893,8.364267250894267,27.196358473370186,6580.918918918919,18179.33403016276,27.74188020705315,24.76986209202121,7.211252427404677,13.445400800573392
Rosenblatt,2026-09-01,Buy,Buy,220.0,29.267289499970616,20.98739914810608,19.814891922143193,36.1961171437973,9018.296296296296,24912.420708000816,75.05368769114689,70.98092212610312,10.734353276956204,55.46221591189686,7378.606060606061,20382.88967018249,43.225744474574746,39.89348173953893,8.364267250894267,27.196358473370186,6580.918918918919,18179.33403016276,27.74188020705315,24.76986209202121,7.211252427404677,13.445400800573392
Bernstein,2026-08-24,Outperform,Buy,217.0,27.504553734061933,20.678656987114366,19.519750965228667,35.702533728200066,8885.62962962963,24545.938203396767,72.47850181671186,68.46565003292753,10.54259058547532,53.1752369415879,7270.060606060606,20083.04034823372,41.11877421367333,37.83553184512252,8.207370503318998,25.32519386129919,6484.108108108108,17911.90085112737,25.862690514897846,22.934393267271446,7.071317490378085,11.77652425467226
B. Riley Securities,2026-08-07,Buy,Buy,210.0,23.39150361360831,19.958258611467038,18.831088732428114,34.550839091806516,8576.074074074075,23690.81235932065,66.46973477636342,62.59668181551778,10.09514430535326,47.83895267753362,7016.787878787879,19383.391930353257,36.20251027157004,33.03364875815089,7.84127809231004,20.959143099800226,6258.216216216216,17287.890100044795,21.47791456653545,18.651632676188633,6.74480263731604,7.882478980902907
Wedbush,2026-08-07,Outperform,Buy,200.0,17.515717727246027,18.929118074827997,17.84728554271304,32.90556103981573,8133.851851851852,22469.204010640475,57.885781861579886,54.21244150493241,9.455935333750315,40.215689443170355,6654.969696969697,18383.894190524024,29.179276068565365,26.173815776762876,7.318288933725812,14.721927726230287,5935.513513513513,16396.446169926832,15.21394892601775,12.53340326035608,6.278352847227405,2.3195571612324217
Canaccord Genuity,2026-08-07,Buy,Buy,200.0,17.515717727246027,18.929118074827997,17.84728554271304,32.90556103981573,8133.851851851852,22469.204010640475,57.885781861579886,54.21244150493241,9.455935333750315,40.215689443170355,6654.969696969697,18383.894190524024,29.179276068565365,26.173815776762876,7.318288933725812,14.721927726230287,5935.513513513513,16396.446169926832,15.21394892601775,12.53340326035608,6.278352847227405,2.3195571612324217
Susquehanna,2026-08-07,Positive,Buy,200.0,17.515717727246027,18.929118074827997,17.84728554271304,32.90556103981573,8133.851851851852,22469.204010640475,57.885781861579886,54.21244150493241,9.455935333750315,40.215689443170355,6654.969696969697,18383.894190524024,29.179276068565365,26.173815776762876,7.318288933725812,14.721927726230287,5935.513513513513,16396.446169926832,15.21394892601775,12.53340326035608,6.278352847227405,2.3195571612324217
Evercore ISI Group,2026-08-24,Outperform,Buy,200.0,17.515717727246027,18.929118074827997,17.84728554271304,32.90556103981573,8133.851851851852,22469.204010640475,57.885781861579886,54.21244150493241,9.455935333750315,40.215689443170355,6654.969696969697,18383.894190524024,29.179276068565365,26.173815776762876,7.318288933725812,14.721927726230287,5935.513513513513,16396.446169926832,15.21394892601775,12.53340326035608,6.278352847227405,2.3195571612324217
Raymond James,2026-09-08,Outperform,Buy,200.0,17.515717727246027,18.929118074827997,17.84728554271304,32.90556103981573,8133.851851851852,22469.204010640475,57.885781861579886,54.21244150493241,9.455935333750315,40.215689443170355,6654.969696969697,18383.894190524024,29.179276068565365,26.173815776762876,7.318288933725812,14.721927726230287,5935.513513513513,16396.446169926832,15.21394892601775,12.53340326035608,6.278352847227405,2.3195571612324217
Baird,2026-09-08,Outperform,Buy,200.0,17.515717727246027,18.929118074827997,17.84728554271304,32.90556103981573,8133.851851851852,22469.204010640475,57.885781861579886,54.21244150493241,9.455935333750315,40.215689443170355,6654.969696969697,18383.894190524024,29.179276068565365,26.173815776762876,7.318288933725812,14.721927726230287,5935.513513513513,16396.446169926832,15.21394892601775,12.53340326035608,6.278352847227405,2.3195571612324217
